,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,2.4%,5.6%,5.7%,3.0%,3.3%,5.7%,5.5%,3.3%,3.2%,9.5%,8.5%
STD,3.1%,6.5%,6.9%,4.2%,4.2%,6.9%,6.8%,4.1%,4.0%,13.3%,12.6%
MEDIAN,0.2%,-0.1%,-4.5%,-1.0%,-0.8%,-4.5%,-4.8%,-0.8%,-1.2%,-7.9%,-5.6%
