,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,0.02716066,0.061129216,0.067562526,0.032790745,0.035762046,0.067526878,0.068062462,0.035168409,0.034232742,0.100618688,1.246711039
STD,0.032567783,0.098447083,0.080092247,0.043724974,0.045259741,0.079901814,0.079850435,0.044271605,0.042179111,0.156253363,3.514129611
MEDIAN,0.003658537,-0.015096367,-0.062291225,-0.011646777,-0.00646206,-0.062468978,-0.062296306,-0.006402259,-0.007719535,-0.026963809,-0.068185256
