Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,B_Mkt_Delta,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_20,Dollar_ADV_20,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SARK,0.8417306097789814,-0.04123015760017837,-0.0003623424790081892,0.0003195305847939274,0.0003826111003460934,1.0690518545768677,0.6776427976035453,-0.071687763842987,0.6053915226236026,1.3357340460344713,0.838737449001717,0.838737449001717,35.65665075360308,44.18777007469111,40.93999862670898,1593653.3,65244163.91345024,-0.405805548330331,0.09289908241558908,-0.0902222527398003,-0.0380639730805714,-0.3656647343359512,0.0227687874680643,0.024195417893716,0.0373159181590424,0.9981598020815048,0.1864845770406931,0.3503251898560013,0.4894256484005691,0.998257859845466,-0.48216752860337564,-0.04755315159187945,-0.988106394027888,13.748
OARK,0.2742924674971312,0.030717385786840953,0.0026046541624652766,-0.006168742235301148,-0.008567487953683187,-1.0275494388166242,-0.6964888225684878,0.6779996384473692,0.7631510728688089,0.5249879041408834,0.16687130433629796,0.3270793796087565,65.61305452400204,50.63774767141188,15.609999656677246,42951.9,670479.1442536354,-0.26589542412135847,0.08402778265284927,0.0568719819146681,-0.0213166242416121,,0.0119213046721953,0.0182353794314037,,0.7681994388793185,0.1551646892789622,0.2331371430222085,0.3693490265855151,0.7782735496981397,,,0.7369587804442594,0.365
TSLY,0.27396573427253973,-0.13722537248214864,0.0021841735889991405,-8.635372806296124e-05,0.005470870936948608,-0.5556871343032501,-0.3638420880343853,0.7004052139387194,0.2184689346673776,0.6863393181310131,0.22702307756680187,0.42873077042253827,68.99004132395311,47.63201557720961,14.039999961853027,250856.15,3522020.336430597,-0.3548683707739122,0.10900474968986762,0.0469798748403786,-0.1040204279837133,,0.0143460260238313,0.026270096569503,,0.7236301948373387,0.0925747297275313,0.1126643927050182,0.1603307873521859,0.7360508549675974,,,0.7575496300797127,0.44
LQDW,0.22047107930984294,0.015652596413297935,0.0004994640113023873,-0.0005250762291610074,-0.00035271353738002855,-4.509289910435462,-4.509289910435462,0.3311438874257453,0.2946488583628874,0.18245629117006754,0.09725255514224007,0.11368946343714253,26.9038344624985,36.5131841205878,33.499000549316406,28591.05,957771.5996555327,-0.06427370773131535,0.0038657962709247595,-0.0106615491591217,-0.0158930773108222,,0.0035838429029918,0.0038038099655104,,0.3739288277219177,0.0210072709154802,0.022791602621409,0.0419290947080503,0.4285512765011194,,,0.4431186285658507,0.446
TLTW,0.20589230488238394,0.01236175267275142,5.5583684546445577e-05,-3.3514000358139068e-06,-5.634620495477879e-06,-3.861651848828176,-3.861651848828176,0.481714364969645,0.7067571460534608,0.17581452172005468,0.1182579572753922,0.10946814868363446,27.957386484080303,40.10233329539183,32.970001220703125,176802.95,5829193.477323914,-0.06995767246439666,0.020427106758271307,-0.019041933294441,-0.0342705972426018,,0.0060997550358831,0.0066776450614432,,0.7134624418915659,0.0027524888850257,0.0001560248492438,0.0002732647846642,0.7642790796435074,,,0.5492295858861742,0.531
IEP,0.19412856946429724,-0.009991882485206813,0.11998119760868074,-0.04484511017169493,-0.05635496279020783,-0.1322294689947024,-0.1593121546473632,0.8226335691336859,0.049246088862581,0.23054754536329053,0.18443803629063243,0.18443803629063243,40.10620743468577,34.905250082005395,34.70000076293945,4582076.6,158998061.515847,-0.36236674144651193,0.15320706503735515,0.1532070650373551,-0.31517659331185,-0.374887375028459,0.1102545281548213,0.0690523812800867,0.0297714720442824,0.0767068191524734,0.1475201191506495,0.0775496205460231,0.0997639346248122,0.1676089397383164,-0.45181270746629876,-0.00856260203915693,1.1330351936046923,2.0
LABU,0.187299078255848,0.001203599600501297,-0.04867149107681117,0.15595199507656637,0.1221157490614237,-1.0163124954998457,-1.0163124954998457,3.0125529903541706,0.9966139532385396,-0.00688473523951337,-0.0075077881916106965,-0.0075077881916106965,47.90398386133194,52.90167959020668,6.420000076293945,32563633.9,209058532.1224081,-0.3021738902832921,0.4524886799723651,0.0078493236472758,0.2539062929281508,-0.0374812589415902,0.0481860443501495,0.0590449895053046,0.0714982023875617,0.4836036968664802,0.1710467958574802,0.306091529700746,0.234311786100104,0.6430058712918367,-0.6625386913492144,-0.28792571556206026,3.1283728929266754,0.005
SQQQ,0.16382781786429976,-0.12375942223673599,-0.0002995943269291238,0.0010578972916156207,-0.00024761055960998037,1.0036065317562888,0.5826887655230633,-1.6326964164382116,0.9994267057328836,0.02225130129954475,0.010355319818713194,0.010355319818713191,18.01861004350211,33.42300214247323,25.3799991607666,116946673.7,2968106480.360445,-0.5629412899234314,0.0,-0.1754386421512265,-0.2572431805444847,-0.4918919164542362,0.0267968216577941,0.0301907932375941,0.0519411399666708,0.9988425805727672,0.2427870014433064,0.4976765504387722,0.8094190178579714,0.9988750760812688,-0.615978202949063,-0.1213496306167654,-2.972231778934899,0.204
TMF,0.133730413113563,0.05879084565131075,-0.0001221110671875048,8.434016990253331e-05,0.000167038020120015,-1.0309911810153465,-1.0309911810153465,2.653498472888398,0.9950455700023342,0.008111254806540133,0.004489003845232108,0.004489003845232107,30.71316580733572,42.08264256028007,7.730000019073486,20468512.45,158221601.6289059,-0.24437924096097563,0.03619302674877467,-0.1001164281999824,-0.1304837209731425,-0.3865079535678697,0.0221573544573361,0.0315923332501386,0.037691770368659,0.996764398606373,0.0779010151306817,0.0203971467259702,0.0411541836395531,0.9968684901211086,-0.5583684886160328,-0.2805907630004686,2.88515514989421,0.035
HYGW,0.1161648566375946,-0.0024507102928103433,0.006407880311074008,-0.004152929261597842,-0.0038018602074901503,0.0634401949279406,0.0634401949279406,0.531744872683773,7.974354488338165e-05,0.1785184867710721,0.07816465916399988,0.10991364666577541,42.23944947337325,41.79799913529942,35.638301849365234,12752.2,454466.7528434754,-0.056438935201555296,0.003415366280553389,0.0022865439895531,-0.0156525328829942,,0.0032754026910648,0.0047358027998317,,0.4527647217496833,0.300957634373131,0.2240839716402419,0.3597521129211942,0.5421581090951118,,,0.6422988563089017,0.401
CLM,0.049275964019418445,0.016579473322811247,0.01658844522663195,-0.008081463006816727,-0.0414399719810586,-0.8578713794248979,-0.954153815046066,2.114771602682036,0.0709008434633151,0.17678847769705602,0.10686274094914529,0.10686274094914529,52.7255359256752,51.185431466475016,7.809999942779541,1112307.95,8687125.025853228,-0.08548009629207176,0.08171747503225757,0.0038560067046489,0.0413333257039387,-0.380650265232641,0.0118867324118414,0.0097861886243021,0.0211233656275682,0.1230645679675148,0.1394279695183886,0.089353952011697,0.1497618376842873,0.2064899858075165,-0.40625000980339565,-0.2976973627454025,0.3915518196852011,0.123
CRF,0.0489673561245055,0.009133912038159137,0.021137673623240365,-0.009527166417124635,-0.029252747637508788,-0.8071258649241971,-0.9613336916237876,1.6419433066437734,0.0685781532747096,0.17625638066378554,0.1065275198181849,0.10652751981818488,54.93984789858762,51.501840288037,7.449999809265137,631632.65,4705663.122025633,-0.09587378444135863,0.07814760836141921,0.0067567180072072,0.0419580013840947,-0.3755239213168346,0.0117626774921216,0.0103490732712727,0.0207482061868776,0.1361449203860516,0.1692143269737795,0.0994352580831628,0.1530260571092346,0.213626565303852,-0.40017364819154544,-0.28472227051302046,0.4304984165353427,0.117
