Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,B_Mkt_Delta,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_20,Dollar_ADV_20,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SARK,0.8598465056018335,-0.18801723537923234,-0.0003869336433427702,5.391449629931461e-05,5.110779645386579e-06,0.9308494921424534,0.5872386754364948,-0.099130382652787,0.4252362809408053,1.4473148441781913,0.9090333518322606,0.9090333518322606,29.39003533249449,38.68128375685775,37.79999923706055,1539955.9,58210331.845106885,-0.4513788330924371,0.010155026368509956,-0.0597015293614491,-0.0956937816509225,-0.3902242585324695,0.0156056814316408,0.0208372770838288,0.0361308234086514,0.998137543261135,0.1765976910132806,0.2768023952515647,0.3470315977321998,0.9982268624604508,-0.48272048571634685,-0.04755315159187945,-0.9919484505456392,13.748
OARK,0.37372991161173635,0.12711859281990104,0.0021024015859178757,-0.0014070493747868746,-0.0017225048621860076,-1.1226015880854197,-0.649252161914335,0.6198353382023313,0.7769337078697257,0.5100003908877189,0.16191818753180645,0.3176372462592629,50.05395640898861,53.08757263853674,16.059999465942383,54052.1,868076.6971330643,-0.21940313354379615,0.11527777023521457,0.0151706558626978,0.035460943194338,,0.0152036946615925,0.0147658991453307,,0.7811847164827321,0.1557769796114714,0.2019903289027077,0.3298494395193682,0.7986451420427862,,,0.6890283742150738,0.365
TSLY,0.3248316634233461,0.013132715206289197,0.00043783849380674584,-1.1648915966002567e-05,0.0008304583879589644,-0.6795939103374478,-0.3489311984694945,0.7027418493532042,0.2549144812159596,0.6183262041379046,0.20387891454336746,0.3858825086068799,61.04887122829988,57.97933791362009,15.5600004196167,296671.55,4616209.442488336,-0.24341143483607286,0.22906797844846682,0.0694158223808809,0.0471063781367526,,0.0186967826205007,0.023806357134793,,0.7061646232764882,0.0667970006028468,0.1066562274527024,0.1815933715218182,0.710200374637154,,,0.6969763665142482,0.44
IEP,0.20535551347813152,-0.02162868601850948,0.05339215544717077,0.006817305411751571,0.005153331361735908,-0.0540132768269394,-0.139921530857548,0.4121973511302706,0.0115366342240164,0.2958579781484442,0.23668638251875537,0.2366863825187554,57.57063391540031,37.91206481452648,27.040000915527344,4433557.9,119883409.6750435,-0.5031238179835574,0.31071265223078903,-0.0217076153173073,-0.4836738310669621,-0.470011746904783,0.0849471885162326,0.081708100604179,0.0346316228090617,0.0896062416079002,0.1069508655790154,0.0838829047426454,0.0485919168722766,0.1253370370675729,-0.624157416830703,-0.00856260203915693,1.307400417359972,2.0
TMF,0.19899809603689436,0.20990991076275745,-0.00033180054837059675,0.00017248811286866902,0.00024826663054944943,-1.028265933684959,-1.028265933684959,2.6684726643249195,0.9941378819182204,0.00861702132381536,0.0048936170590522885,0.0048936170590522885,38.28772768061095,42.65601215004377,7.519999980926514,20507094.5,154213350.2488582,-0.2649071048460082,0.023129262380914728,0.0013315248655014,-0.2075869165125948,-0.39354836997827,0.0238228002853476,0.0293840761454228,0.0370359567988721,0.9958880966422552,0.1120784186926687,0.072791659091224,0.1185699149268911,0.9965375063541996,-0.5583684886160328,-0.2805907630004686,2.8895277112130784,0.035
TLTW,0.1704539024784689,0.042910374218194686,0.00028871616711439676,-7.472744300076044e-05,-5.978029625217406e-05,-3.857075927267763,-3.857075927267763,0.5559676243681467,0.6742709539931675,0.17768295453495941,0.11952665855327464,0.11064526135702443,36.58941515492691,41.19370050423312,32.630001068115234,363181.85,11850624.153420066,-0.07954864976398912,0.009904044606099838,-0.0042721814981016,-0.053104993179817,,0.0091917771069356,0.0068409273030668,,0.6866771545481307,0.014071312156939,0.0166466012268154,0.0192902786411681,0.7261552540445428,,,0.5267918733436865,0.531
LQDW,0.16928322026205908,-0.0023887271233640852,9.03416302666664e-05,-1.3112578714501053e-07,-5.234970795771446e-07,-4.211321206672901,-4.211321206672901,0.3632091354237411,0.2357128784667781,0.18384812030075195,0.09800631578947369,0.11456631578947372,31.722388384141727,36.82731084332772,33.25,21622.0,718931.5,-0.07122903048614482,0.0,-0.0076404379763319,-0.0246406614499273,,0.0048386762251004,0.0033592614129199,,0.3334641213434725,0.0034294691842134,2.3035530042014862e-05,0.0005591350287489,0.36922044902492,,,0.4086770406838957,0.446
HYGW,0.14230739177762733,-0.0038604829389586796,0.00626407382438376,-0.0008834541370926431,-0.0010635614807333932,1.1905115448251535,1.1905115448251535,0.4501900383327211,0.025602179561912,0.17968812185177546,0.0787012540376768,0.11065051676661854,35.589426912278014,40.25879103554695,35.41490173339844,9490.9,336119.2908615112,-0.06235368535403718,0.00011020404337891421,-0.0058974952028508,-0.0121365902159448,,0.0041376836817634,0.0032992635616238,,0.2803841681643442,0.2376073619309845,0.1678447101217052,0.2740157693938945,0.3805934712317179,,,0.5224118828773172,0.401
ARKK,0.10457297044285327,0.19071748845833353,1.0389499532720892e-06,-1.6978779989695966e-06,1.4199427542507072e-06,-0.923423061883301,-0.5812333625489304,1.0000000000001434,0.4245071372668004,0.06663017751479292,0.039202011834319525,0.03920201183431953,70.5673985909591,61.03064471378452,42.25,16775792.15,708777218.3375,-0.04863769094423853,0.4254386258440852,0.0642317175832654,0.0954109498131421,-0.0285123391724484,0.0155429672302459,0.0210177715513938,0.0349706586608759,1.0,0.1707878291612905,0.2743852685774438,0.3452117052883304,1.0,-0.4320751069251849,-0.14907068373278975,1.0,0.783
SDOW,0.09595116572690321,0.029362795253847444,-0.0008368641672328353,-0.00022460515063463916,-0.00025425560882318777,-0.3373750392154277,-0.3373750392154277,-2.977722708353737,0.9977174037494554,0.024496275660698896,0.017597020528559125,0.017597020528559118,35.95111491765179,45.64738213684274,25.51000022888184,6842097.1,174541898.58703172,-0.1580857798280061,0.048499807187670774,-0.054134190643072,-0.0139157556502897,-0.1802699376305594,0.025398244201729,0.0222002000920552,0.0329874768925261,0.9977174037494554,0.7158891411878853,0.7673143707034038,0.7684699117994225,0.9978077510373806,-0.4517463152715777,-0.30376840720700793,-2.9572946655142798,0.22
LABU,0.08094801542447069,0.138650889987176,-0.028611542943875818,0.033596042049095484,0.013988529952545438,-1.0166608572303786,-1.0166608572303786,2.822579853486931,0.9968027693849,-0.007198879499441186,-0.007759103599552949,-0.007759103599552949,67.99332270703799,57.71565242709538,7.139999866485596,31738112.8,226610121.1545048,-0.22391304190082217,0.615384557294465,0.0142045319850039,0.4366197520926389,0.2184299835849219,0.0432502491880315,0.0561688235938793,0.0696269694366014,0.4263095910135014,0.1827896431795531,0.2983440149747143,0.1577698979076198,0.5544265018992545,-0.6625386913492144,-0.28792571556206026,2.7551077106539004,0.005
JEPQ,0.0614646419052282,0.02872726903132574,-0.0007800585671661522,0.0006322864418118956,-0.00024045011552408478,-3.9943666673521183,-1.9158132956771956,6.508565116452158,0.7721504176022167,0.11361366653065946,0.05491379367262054,0.07028160991431547,51.960278071941794,61.56865668620022,46.97999954223633,1912646.3,89856122.29846,-0.007604575606066644,0.167204957571089,0.0085873270815322,0.0533632544740159,-0.0382804296887627,0.00536958979122,0.0068190115797803,0.0123106337325523,0.7787699612577355,0.1082228993280903,0.3188595390252415,0.6028893962191807,0.7885436742385626,-0.19338679821230598,-0.051302631162513324,0.5798439769382315,0.363
TECL,0.05382208168877373,0.1325376192167284,-0.003229781316489148,-0.0016812259066485518,-0.010560762258441625,-1.0042448199425882,-1.0042448199425882,3.136929207026229,0.9986152031354996,-0.008298718452153235,-0.008638974761722588,-0.008638974761722588,53.94127487062811,61.8080101430017,45.2599983215332,2133111.65,96544629.69864292,-0.06352169239002259,1.2218947696045608,0.1472749669513782,0.2688533962678205,0.1755843719878753,0.0504521022443883,0.0371758156850281,0.0527704979329287,0.9173166433474096,0.1147662110965476,0.2923431914151457,0.718964954555011,0.9316013334030828,-0.587212911088274,0.0,3.1408669087867898,0.077
CLM,0.0261295124698164,-0.003311692223692824,0.015489051765791042,-0.0015042500972151777,-0.0016871089129681988,-0.5381142604641498,-0.844015752961119,1.477925194034391,0.0282597201232983,0.1682400910677328,0.10147725737267166,0.10147725737267166,83.15308084792062,63.96662637180711,8.180000305175781,1072168.55,8770339.066199875,-0.031952604755483005,0.13296406411095596,0.0473752067998811,0.0500642291697757,-0.2003909412309129,0.0058344704887609,0.0081870548327404,0.019704147163955,0.0902253933403497,0.1163701418261879,0.0716621585795165,0.0901692422047645,0.1312482860412036,-0.33209995282797067,-0.21831642171529564,0.3520298484140055,0.123
CRF,0.011213725624174725,-0.025797691649596385,0.01528904097307242,-0.0015028689769147673,7.853459648903337e-05,-0.5774201169674236,-0.8914711795730904,0.6073680954992862,0.0366003291260425,0.16803106635112577,0.10134557180120925,0.10134557180120923,83.20333946667071,63.71630691989245,7.789999961853027,622056.8,4845822.448270417,-0.04182043638400024,0.12735168362854443,0.0470429975726809,0.0512820677821781,-0.2170854159615945,0.007697028342658,0.0088939080109605,0.019102009683657,0.115047949117356,0.1346297474486828,0.0921984138817585,0.1052564976277743,0.149891391962944,-0.32977695769395454,-0.211445219830246,0.4215952366250764,0.117
JEPI,0.010507169978803155,-0.03712064683857918,-0.0011820135477152694,0.003998599252296822,0.0011217896406544479,-3.660332920350324,-3.424125410798294,6.393148378067557,0.4611071644282118,0.10118663877915664,0.047214942248455904,0.06245258243086868,55.229404591997664,50.29370765273936,54.40999984741211,5036256.5,274022715.39652824,-0.03408489119885105,0.043736787503950714,0.0016568511246966,0.0012881798790513,-0.0570190792378724,0.0044909110840838,0.0051838220164857,0.0083297094858158,0.7861473904405349,0.5400812568364297,0.7855525557326672,0.7131630060318692,0.8535953322215488,-0.12351418196691055,-0.02962958533353044,0.6170750762522818,0.365
QQQ,-0.00029294153187550036,0.052296465784746914,-3.768911924098946e-05,-1.9124702578852168e-05,-3.220831619092991e-05,-2.9854538757591063,-2.9854538757591063,1.0087719888362263,0.9990378169126732,0.003412533571347457,0.0014098961499488982,0.0014098961499488978,58.13895203970161,65.01024852702761,348.82000732421875,54037934.1,18849512568.54765,-0.017131548821719633,0.3410995737746887,0.0463763578473646,0.0967458598089285,0.1354078703802579,0.0132853143638487,0.0108316577243045,0.0169040841120226,0.9997007622455716,0.1711680670837255,0.38332990361058,0.7843722440116918,0.9997260826391432,-0.26711746808488135,0.0,0.9998138255021802,0.472
SVOL,-0.01382592391654832,-0.09846305573088412,0.01045384221942425,-0.0011658388506923408,0.0049263689800751265,-2.2711513701259616,-2.0917473561982325,15.45935033821283,0.3009967980187454,0.1661669065935584,0.10107887645744905,0.10268715115394178,75.70857301882934,63.12281445286694,22.71999931335449,249909.55,5677944.80440073,-0.007860275466124444,0.07068803244757871,0.0234233573218214,0.0383912333092821,-0.0189982960689346,0.0078286228492738,0.0065397109841963,0.0087022850698676,0.5356488649500903,0.4536154920059312,0.4094542742887552,0.4339617607141114,0.6157467613949135,-0.12016985203347685,-0.027600833952782677,0.6632551357916346,0.32
SQQQ,-0.06257278719730434,-0.15633588739194573,-0.0003383764767226502,0.00027482392125294784,-3.80217512440376e-05,1.0038381832868035,0.4809802687348483,-1.8514374022113351,0.9994284659790008,0.025826794857641146,0.01260788076031392,0.01260788076031392,40.15464186884661,35.070420189181,22.84000015258789,120214682.25,2745703360.933305,-0.6066815864883908,0.05253453223814608,-0.1305671962469304,-0.2439589260256813,-0.5186512163256498,0.03987175298841,0.0322725297543871,0.0502820712274046,0.9985701993623528,0.1746418232864661,0.3826155273277728,0.7846590149217753,0.9986398475787972,-0.6716598280321218,-0.1213496306167654,-2.972384412464248,0.204
