Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
CRF,0.18454283999270493,0.11236084125487747,-0.004464555424478665,0.01812596958613011,-0.02266989621795289,0.2479503753180483,0.15169473645037043,0.15169473645037043,53.34747889574173,46.390063189710816,7.980000019073486,-0.2652308336163769,0.36097164354594047,0.0541611410983795,-0.1385464893678244,-0.2894419720268462,0.0251427375181247,0.0239354502998235,0.023945190054437,0.4422826444823835,0.4236385850879877,0.3659499079269773,0.4213047262881101,0.4778001189539865,-0.36206373266259706,0.5675547091463644,0.923820696651258,0.173
CLM,0.18340186166018158,0.061908781599502735,-0.0047707709732628485,0.02013871155213218,0.025320743618345683,0.2501188490394553,0.15306087489485684,0.15306087489485684,54.79941661962088,46.215997645617605,8.279999732971191,-0.278218767938621,0.3854613497555748,0.0601792309391977,-0.1371313019602014,-0.284570336818188,0.0223580992176376,0.0228106607370597,0.0241544844456344,0.4408508053373341,0.4236782157382109,0.3599756094416776,0.4329039943775337,0.4829659775703947,-0.35229601135252586,0.5439151487829883,0.8745549642116492,0.181
IEP,0.1373974637134766,0.0007493787308352892,-0.004706077258316132,0.012595277742033414,0.004961624552723174,0.14925373559222255,0.11940298847377803,0.11940298847377805,45.34216975457686,56.72566479100578,53.59999847412109,-0.0179553558823079,0.018283645239407287,-0.0014903470678068,0.0505683652138193,0.0668803730147165,0.0057068549293669,0.0109244837978202,0.0114153270933009,0.3583784376429639,0.3427856385202047,0.2186240728799349,0.2782563500510634,0.473260619504167,-0.0179553558823079,0.018283645239407287,0.3892176392869451,2.0
SVOL,0.06815502556879148,0.0003117884132006213,-0.0010636949691290266,6.616089636956956e-05,0.021439966387941718,0.1807255262198323,0.10876705705654618,0.11185908151849433,71.37661696998732,51.24031263942474,21.190000534057617,-0.07375578743025968,0.07962887803167384,0.0368554979973896,-0.0437888284293389,-0.131964942508708,0.0046435653914689,0.0090925634101394,0.0122681985901034,0.5378321415604481,0.4981944260685235,0.5135624658995313,0.5519891222508702,0.558439154998319,-0.14031784751964116,0.1632206125424327,0.4406044470677692,0.32
RYLD,0.05352382517067474,0.023066149745903243,-0.0027485092417575863,0.0021218562366813517,-0.007341963368712857,0.1271200631450819,0.07329348478079631,0.07749563978140159,57.36729465884558,50.964616233440815,19.489999771118164,-0.08802626117178369,0.09652280260272361,0.0119418244809479,-0.0081424860314619,-0.1514953207314477,0.0086277312152208,0.0141669923383314,0.0118948773616875,0.8086974962376929,0.7262278879579428,0.6736602298936127,0.7284275226856005,0.8360419715152887,-0.1594190940796818,0.18965348005988814,0.6200492091652274,0.207
HYG,0.04432594346760174,-0.006583869595561686,-0.0002663300752169754,-0.0007818626182861023,0.04607420438546447,0.05086193233358827,0.029490017370160614,0.029490017370160607,47.18220968886313,48.79407634644116,72.91999816894531,-0.07034346665183022,0.07566608110469275,0.0099723164977316,-0.0138568925199895,-0.1217697638029405,0.0084351515858608,0.0094399551547694,0.0073398172794462,0.7150347969359543,0.6241982298402111,0.6877505731560009,0.7533380030468764,0.761204411987349,-0.13244548607549667,0.1526653183744744,0.485032458496694,0.351
JEPI,0.03738025008383324,0.006616243853385787,-0.0017219930919492364,-0.014214372789444036,-0.017267039624986626,0.1142132179871812,0.06466045180889589,0.07065932733192416,50.93979706153513,50.99485759301433,53.34999847412109,-0.059207876687148886,0.06293406930178969,0.023599377732985,-0.0109154888737573,-0.0488489278062389,0.0103934340351714,0.0121350990345504,0.009519015186454,0.879854115374885,0.8754174257478954,0.9223532466616228,0.8470356060555257,0.9425255482601378,-0.09289482660624748,0.10240800001029671,0.6462019224204312,0.481
TLT,0.0369603862373483,-0.021426327897052434,0.00034713240229892177,-0.015827849977587072,0.09036559998785977,0.028889206500988574,0.022811365200790863,0.02281136520079086,45.8582629338325,38.85349486121586,96.3499984741211,-0.19373400281332775,0.2402854684301825,-0.0018647084580134,-0.1237523459916214,-0.3328249531162814,0.0149592884197119,0.0134905241328053,0.0121729550472949,0.0291093310586283,0.0219775912839311,0.0490228759365625,0.047617282956325,0.161657956564605,-0.36497785505823854,0.5747482319560857,0.1412736771566543,0.244
XYLD,0.03557711827927804,0.01716855146827731,-0.0015663467352776395,3.804325383108494e-05,-0.018024402061553726,0.12070660197492264,0.06915071327362245,0.07345515924420126,58.74788502467956,51.40813039916396,39.810001373291016,-0.09631752060831367,0.10658336617652453,0.0207003780990122,-0.0099236719436188,-0.1135400905338209,0.006992244328539,0.0134461796976621,0.0100379718078489,0.8639239241314456,0.8094705384275389,0.8062783076121314,0.8233828809536337,0.8779454660398692,-0.14161874030091037,0.16498349503873788,0.7112896039524501,0.401
LQD,-0.007303279960778858,-0.014230556240822978,8.000302532861582e-05,-0.005739389248802513,0.05728467895493875,-0.0034,0,0,50.0630212912676,41.69650732604504,101.27999877929688,-0.1215196636740038,0.13832940664582938,0.012091526812858,-0.0655964632381996,-0.2412915228737229,0.0063594273031425,0.0084378932889375,0.0070284399080934,0.3743282509887331,0.316813417980495,0.3954318972743819,0.4255386420264144,0.4816029360788211,-0.2491103565180639,0.331753618764695,0.3210150745425505,0.0
TBF,-0.05053218395545049,0.02189382414102639,-0.0002818247172195754,0.01687422180474355,-0.09463525415459427,-0.007715691258980331,-0.008012553007184266,-0.008012553007184266,51.32660603577094,59.6190591803814,23.57999992370605,-0.044183224532508336,0.04622562154854237,-0.0021159220836352,0.1369334707776988,0.4484028826269486,0.0151186845272982,0.0139051719143839,0.0122256301781609,0.0276721899128452,0.0209966788831045,0.0483238255537428,0.0464147460292091,0.1689055865958871,-0.044183224532508336,0.04622562154854237,-0.1411916936717961,0.035
