Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo,Maxdrawdown_2yr,Maxdrawup_2yr
GOGL,0.369615278,0.131785696,-0.000430629,-1.72E-05,-0.005181079,0.146353166,0.153550863,0.156110044,30.14311786,37.43291661,10.42000008,-0.351183037,0.541266732,-0.110162251,-0.222023597,0.318426224,0.041421307,0.041922178,0.039393887,0.356201362,0.093522521,0.063389856,0.06691121,0.405371812,-0.351183037,0.541266732
ZIM,0.31952416,0.083117573,0.007651422,6.56E-06,-0.001889449,0.191919195,0.204713808,0.204713808,38.92319989,39.07566472,44.54999924,-0.398885439,0.663576405,-0.062302656,-0.297851718,0.620884505,0.035560886,0.048130371,0.038728281,0.371864825,0.244285613,0.206623922,0.219464654,0.377438365,-0.398885439,0.663576405
SBLK,0.308546996,0.118187159,0.004790107,-5.52E-05,-0.00635859,0.132457708,0.235084604,0.141288222,35.78916952,39.61000505,22.45999908,-0.309135643,0.447462139,-0.105535701,-0.222411954,0.38360468,0.047196118,0.045354147,0.040029182,0.335005427,0.125911201,0.074189426,0.080092089,0.369735184,-0.309135643,0.447462139
USOI,0.283525808,0.165202166,0.000107421,-1.53E-06,5.78E-05,0.277154321,0.34542687,0.23280963,42.43434761,41.43864015,4.989999771,-0.149914844,0.176352736,-0.005976137,-0.088018022,0.214813855,0.035961546,0.021747777,0.018362407,0.797905369,0.037778382,0.005412409,0.006212039,0.808292799,-0.149914844,0.176352736
SOXL,0.180083666,0.064406322,0.025330073,-0.001493369,0.181155121,0.001509705,0.001268152,0.001268152,48.43000961,41.13883469,13.90999985,-0.7877251,3.710872546,-0.007137786,-0.404282672,-0.65017892,0.08211335,0.089072202,0.069597421,0.860967131,0.744294009,0.606166925,0.82347312,0.914832531,-0.809391736,4.246362257
FNGU,0.122202559,0.272846419,0.00666379,-0.000740908,-0.012684004,0,0,0,62.88268548,48.50531832,9.270000458,-0.751274474,3.020496075,0.122276053,-0.109510029,-0.743070954,0.072393182,0.093914322,0.06901752,0.897609443,0.679736982,0.572293924,0.780638753,0.934887462,-0.809768099,4.25674187
GGB,0.105376164,0.076157319,-0.004673421,0.000178091,-0.008457487,0.078781041,0.083792328,0.084033111,48.51144936,39.74135882,4.429999828,-0.304981982,0.438811618,0.047281279,-0.17735139,-0.082684624,0.033232766,0.035194079,0.028575761,0.701112695,0.307336131,0.333851562,0.335444078,0.723189785,-0.304981982,0.438811618
IVR,0.101096242,0.033946594,-0.004125076,6.58E-05,0.001687581,0.182632664,0.156305993,0.153411438,51.06597704,46.54855032,14.51000023,-0.477901029,0.915345665,0.224472554,-0.156395373,-0.534667616,0.05509261,0.05381018,0.029049152,0.700013086,0.209854356,0.316169478,0.295293193,0.715634679,-0.55281427,1.236207313
PBR,0.099738531,-0.072409636,0.008797766,-1.64E-05,-0.012207996,0.205852418,0.313770993,0.172916031,51.56265885,44.94597081,11.78999996,-0.203378391,0.255301123,0.062162122,-0.079540285,0.54921472,0.032761691,0.029871892,0.027014145,0.557133225,0.253985171,0.156720609,0.15134692,0.641218663,-0.203378391,0.255301123
ORC,0.082763401,0.021504704,8.91E-05,-6.55E-05,-0.001904111,0.141114988,0.11853659,0.11853659,48.21266803,47.80914446,2.869999886,-0.333525121,0.500431646,0.007017537,-0.032781445,-0.339881118,0.021019712,0.02764709,0.019413296,0.745343074,0.209924419,0.262329103,0.25215155,0.774168491,-0.366185643,0.577749049
