Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,B_Mkt_Delta,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_20,Dollar_ADV_20,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SARK,1.1196415000833102,0.03255182972888264,-0.00012203587201484454,3.4684162789094896e-05,4.7565474828813376e-05,0.7675842025025921,0.3599271206597446,-0.2420619988412525,0.3232312172920873,1.7131508628067242,1.0765100435682362,1.0765100435682362,37.06112003352826,37.71010270246906,31.959999084472656,1382125.0,44172713.73462677,-0.309271692926684,0.01815863988236277,-0.0232274482847386,-0.2168586618722937,-0.3994739129761634,0.0305068471253697,0.0222445059066774,0.032851885298301,0.9987813499173048,0.2599390562040387,0.1081220157692028,0.2260214707265712,0.9987965072746356,-0.5448085874943644,-0.3290313069597759,-0.9974244103049696,13.748
KLIP,0.3659243855909835,-0.026803183702740953,0.00447937634564046,-0.0038133133830470273,0.0032387137575473446,-0.337457887715947,-0.3686660254638898,0.3710432670995213,0.0268314804754095,0.6104147803162034,0.32542650532610323,0.38104631159920815,34.73279040537083,42.88116979372328,18.780000686645508,183205.0,3440590.0257968903,-0.2414879398855867,0.031868126340252934,-0.0294573479889991,0.0064309131947843,,0.0155383684679589,0.0145686199744556,,0.5139417951829731,0.1305080252993401,0.1438857817223979,0.076907065848147,0.5592946847505372,,,0.3934759310567366,0.832
TSLY,0.29859476125091405,0.0063393146693178975,0.0006211265469929849,2.009968434006331e-05,-0.0010787419002880516,-0.6956345286236904,-0.1064546485373003,0.7752981497534278,0.3122184226481241,0.5730009748621334,0.4652745539525529,0.35732761416314407,48.09978726001471,52.06336977163319,16.959999084472656,1207900.0,20485982.89413452,-0.07675567176618503,0.3396523924871555,-0.036910931479288,0.1459458693176234,,0.0322414721082606,0.0283296149656293,,0.7047485474459206,0.0698788677237126,0.00081884664823,0.1226942877528585,0.7190984048545663,,,0.6939435606886172,1.066
IEP,0.2807776847751477,-0.005604579627766571,0.19749312174786487,-0.008414262990761194,0.03232781460081563,-0.0465764145967094,-0.1174284371941564,0.158469474216309,0.0131245894210857,0.23760025052150438,0.19008020041720353,0.19008020041720353,68.95202065342646,55.69718154507606,33.66999816894531,1219965.0,41076219.31617737,-0.38129365487264855,0.6320891681361633,0.0284055113867076,0.6305084160259034,-0.3546099415240596,0.0222997512828216,0.0448257469765212,0.0377925662127166,0.1241194497299881,0.1802704265688864,0.1089056403047362,0.0774490797486922,0.224001965363198,-0.624157416830703,-0.00856260203915693,2.0204914804242065,2.0
SDOW,0.22932637702330225,0.11153661944041651,-0.001167054967441532,0.0012342780697814227,-0.0005668101637857234,-0.3344966863549163,-0.3344966863549163,-3.2522985225568486,0.994372620843296,0.03697314666608559,0.027578517332868473,0.027578517332868473,29.11408315406035,35.052794967838494,21.96999931335449,5187115.0,113960912.98829076,-0.2749174961535136,0.007336077548371955,-0.0733867498231017,-0.1853911801000378,-0.3149360922226566,0.0136220449286773,0.0180360895552267,0.0301533324543636,0.994372620843296,0.5051441371086673,0.737262841118642,0.604443872847431,0.9945417569996976,-0.4988511204840388,-0.30376840720700793,-2.9727428145228947,0.258
OARK,0.19638720593784803,-0.017809934815483795,0.003265491747330869,0.0006828978113189826,-0.0034880138206731495,-1.194807496621551,-0.5011248108180245,0.5541833292009793,0.6424922396950393,0.4277727956719888,0.23179353988951443,0.2658338612733529,62.22560414209784,58.18419163293807,17.360000610351562,144355.0,2506002.8881073,-0.1562165299659275,0.20555562987739862,0.0314914253742193,0.0925110280218797,,0.0215227762673163,0.0160322589995326,,0.6428971109282082,0.2251022829727923,0.1095474934716267,0.1986329484181029,0.6501951662772298,,,0.5368482255296149,0.555
SQQQ,0.1543315911808636,0.09920157554673945,-0.0011345482682689992,-0.0005165247703170835,0.004693146823560573,1.0089851979021336,0.332415194415149,-2.538164027721229,0.9965715497133244,0.05283585244318328,0.029623587039205465,0.029623587039205465,33.01584959340273,33.93563740109867,16.959999084472656,111121410.0,1884619011.865311,-0.5883495444075659,0.01800715725139379,-0.0336182437741637,-0.2597119512251572,-0.6098459027326817,0.0333185196642212,0.0284567039528764,0.0458364610473451,0.9951534246257338,0.3964078172709931,0.1882476860174081,0.7404609168524614,0.995610664853416,-0.7412239739334934,-0.3600496657251392,-2.943489999398459,0.266
SVOL,0.1291578024454105,-0.0015980765260992305,0.004271626385864102,-0.0003778739068418045,0.010043894920243409,-1.8091678348858544,-1.5997109722576046,26.207400015751965,0.0909685560568189,0.16061136309852753,0.09368257144933168,0.09918715875207233,38.66969385959217,51.883543034160205,22.88999938964844,400060.0,9157373.155822756,-0.012084621740333201,0.07869934638701714,-0.0099481592230159,0.0399817878971147,0.0083699832741497,0.0042413958465745,0.0043702456845934,0.0078024578843243,0.1882441442217125,0.1493919641641223,0.1410965520955174,0.1386218419536554,0.2253261229627542,-0.12016985203347685,-0.01613584599054252,0.3210331447102379,0.3
TLTW,0.12300444269466565,-0.014526712224019935,0.0008880304093990611,1.546192172211811e-07,-7.722131935522964e-06,-3.132242670316352,-3.132242670316352,1.24928233512932,0.7417345297578826,0.17192451704447756,0.12207209251754009,0.10701744573802086,36.94462112718039,43.32565406884444,32.38999938964844,888500.0,28778514.45770264,-0.08631879569633294,0.011239482487406693,-0.0112942292686738,-0.013402449493318,,0.0078782982474305,0.0084553581866915,,0.7413031337303753,0.0427938770660772,0.018154449821948,0.0395930312610378,0.7658697909729086,,,0.6943498605314737,0.538
LQDW,0.09916822762824311,0.0152351505056633,0.0016680754885229942,-4.893842401705367e-06,0.00023383985907101797,-3.896927704895545,-3.896927704895545,-0.731384375566172,0.3646441834667926,0.1831808577935078,0.13710946068341262,0.1141459404099099,50.290423983088616,46.70732637575783,33.250999450683594,40780.0,1355975.757598877,-0.07120111286868969,0.014368538405321596,0.0010838265220629,-0.0066915319984456,,0.00430027598939,0.0048401326232949,,0.4539946491669323,0.0724274955265391,0.0341385199698711,0.0396305388134763,0.4785205295893263,,,0.5205287056392421,0.618
