Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo,Maxdrawdown_2yr,Maxdrawup_2yr
SOXL,0.2959474951452974,0.05560307083822827,0.04237122522599622,-0.06168964237318829,0.29927156073578143,0.0015498154763391998,0.0013018450001249277,0.0013018450001249279,31.848970472588547,38.417367649833245,13.550000190734863,-0.8120328339821952,4.32007808164367,-0.1402284267799005,-0.4702892794703446,-0.6963322171651551,0.0886388401569139,0.0927785867314555,0.0687747756014061,0.8998953672064212,0.8141230392711917,0.6299847161389298,0.8439324608319656,0.9326021940480256,-0.8143247996806767,4.38574886834755
ZIM,0.2933654444610648,0.01861654734476814,0.028861941135665477,0.004903265549709673,-0.030427484723142672,0.1815286683012902,0.19363057952137622,0.1936305795213762,33.2282160920887,39.59231240181023,47.09999847412109,-0.3644782182386682,0.5735101906791087,-0.0570571019522624,-0.1468972877744166,0.537418328565511,0.0360953474708896,0.0490745146058428,0.0386229330044494,0.3163214426225039,0.2635195361660012,0.2155889964119081,0.223484656552455,0.342158842856303,-0.3644782182386682,0.5735101906791087
GOGL,0.2579899666416541,0.03302808326571747,0.003180585730624751,0.005509398930891749,-0.027751499206036027,0.13249348129232394,0.13900955414276614,0.14132638004514553,31.55074039408652,40.67347411055159,11.510000228881836,-0.28331253974880244,0.3953083533085704,-0.1118827010028665,-0.0700376473746505,0.3654903048696047,0.0425653537773335,0.0411259257416504,0.0390551047386951,0.3153606275458639,0.09865804649954,0.0831986415566384,0.072061767135613,0.3526120275251889,-0.28331253974880244,0.3953083533085704
ARKK,0.21248096873301714,0.4316279983211439,-0.004303700962487013,-0.014564714156582096,-0.055170808783283586,0.014147194019407262,0.0118836429763021,0.0118836429763021,47.403325924378926,46.00181350112455,41.5099983215332,-0.5720177416661311,1.3365454537601416,0.1221950915914031,-0.1506036580972708,-0.6802209666206738,0.0494596990467481,0.0563575523500713,0.0362124621633553,0.824255384476382,0.5692493182474225,0.441065189134355,0.6159362240854509,0.884735464244134,-0.6799764476058341,2.124770013078044
SBLK,0.1896879854869134,0.026828687848668813,0.016438993965771545,0.0037750549660508135,-0.03679938188764908,0.11962203054319248,0.21230397353548106,0.12759683257940532,39.207638638941546,42.8969531896868,24.8700008392334,-0.2350045486541722,0.30719731501767433,-0.0536529608284453,-0.0983272951173536,0.3487323881307804,0.0491774233409518,0.0431242938868971,0.0397257273460518,0.2677529891132195,0.1295007138138748,0.0881610153416603,0.0822903038312401,0.2984903751293257,-0.2350045486541722,0.30719731501767433
LIFZF,0.18522500043880397,0.014371571655072083,0.012766468252731823,-0.0040930634343685785,0.007600794474233701,0.14393936524493303,0.05601775236044825,0.15353532292792857,36.45748031981571,39.685560012467526,22.849899291992188,-0.4140802736369166,0.7067184377068043,-0.0565689537656944,-0.1703014331016534,-0.3303118551837081,0.0378572365834181,0.0330923183239524,0.0280818788411401,0.3766948725852884,0.3116013660878397,0.229785559483272,0.2625844691943872,0.4070580324300205,-0.4140802736369166,0.7067184377068043
GGB,0.16962656179818572,0.03475134900285518,-0.004726169942348047,0.010595466331876401,-0.026200503044048532,0.07860360259060041,0.08360360252616296,0.0838438427633071,29.94683606012913,35.80926264926821,4.440000057220459,-0.3034130561196058,0.43557097758596885,-0.0975609779736127,-0.2261465721079484,-0.1683184739158854,0.0317239564693722,0.0335503963711422,0.0283771300451774,0.6760216225132016,0.3009210472688803,0.3537640543595259,0.3323617659203131,0.6989777017765011,-0.3034130561196058,0.43557097758596885
KIROY,0.16905756715883108,0.025801882928844323,-0.016446856813090913,-0.014360634910015409,0.09185546148891979,0.10746369789537415,0.09843919736280506,0.11462794442173242,46.87643815344027,46.44706185680648,11.020000457763672,-0.29584659895355414,0.4201450969545768,-0.0350262360646218,0.0825147472894292,-0.1281516515445941,0.0329082725705355,0.0418658063591503,0.0370796699746571,0.2963757419854429,0.1491805122337723,0.1375338712929269,0.174371910313271,0.3220368555679135,-0.29584659895355414,0.4201450969545768
PBR,0.16831677660653457,0.019014505264890947,0.014256251230302332,0.0019479670387321417,-0.03687104630173572,0.205156383402552,0.3127100611883249,0.17233136205814367,43.64292355834025,42.977896392970585,11.829999923706056,-0.2006756911319565,0.25105665986330594,-0.0692368301966752,-0.0374506170458942,0.3894854963015468,0.0349752256778496,0.0309622959288466,0.0272916824704083,0.5396422003282775,0.2457044498626139,0.1626184754246664,0.1549459286119762,0.6160410412338424,-0.2006756911319565,0.25105665986330594
IEP,0.14831663000780745,0.0025180001787459233,0.00777990716354134,0.0013968139690308705,-0.0013590491057025244,0.12381345673451517,0.13206768718348286,0.13206768718348286,38.14753832348197,41.377169074284325,48.459999084472656,-0.09375982901745317,0.10346024378482199,-0.0212078221098196,-0.061466544548079,0.0143910438763024,0.0134348228619198,0.0135140181481766,0.0117118277805171,0.2880121215903068,0.2869798981076562,0.2581403247498474,0.270625150065962,0.325751397066532,-0.09375982901745317,0.10346024378482199
IVR,0.13315143803151916,0.1261795452153782,-0.007856867731717987,-0.003908727554864852,0.015293665342869503,0.18583449912102798,0.1590462807571666,0.1561009792616635,63.23906329069781,45.33691328378119,14.260000228881836,-0.4868965317503723,0.9489246553162929,0.2846846611543718,-0.2164835367524058,-0.5879078164570603,0.0707072945391445,0.0542275326693041,0.0285284203373611,0.7027797469787795,0.2213830416119449,0.3051953713291009,0.3006405151554943,0.7195815402796073,-0.585794507987601,1.4142606007987593
ORC,0.13272898766027458,0.07771714732691463,0.0002281537745629363,-0.005106372625359309,0.00015363618312480768,0.14464285960611037,0.12150000206913271,0.12150000206913271,43.85680140548697,44.90914892723829,2.799999952316284,-0.3525772978775389,0.5445859354663907,0.0332102999639996,-0.0103414821100027,-0.3769152451369465,0.0376852337446084,0.0286125387152962,0.0192410818332006,0.7434738014840372,0.2321095244684985,0.2622528726008218,0.2689845917255057,0.7730590029827746,-0.38164451516749287,0.6171927386895715
FSK,0.12450680842593163,0.04969806904528693,0.0031887929440078465,-0.0020741873683230803,-0.005824924734861735,0.09864300704862884,0.1135699382739769,0.10521920751853743,44.12472064054632,43.254465490262895,19.15999984741211,-0.14156443856811374,0.16490980211954587,-0.0041580002420865,-0.073370911285322,0.0214754379248263,0.0239011534023649,0.0255184508347649,0.0152065517265916,0.8079576233869259,0.4239266764042197,0.3897510614503006,0.3917569481444195,0.8160669721011454,-0.14156443856811374,0.16490980211954587
USOI,0.08824450772173384,-0.14975341771773992,-0.0002697976970609312,-0.00012725395880589785,0.0011593215994603347,0.2619318077735832,0.32645453248240786,0.2200227185298099,39.92095176636372,43.86216054209499,5.28000020980835,-0.10051101997500955,0.11174235839133573,-0.0849219710117715,-0.0053521449630659,0.2781518414370754,0.0253332296861701,0.0163201800871748,0.0173289080212282,0.7804446631047627,0.0458683479608917,0.0062067345851497,0.0191720627870409,0.7985626182345805,-0.10051101997500955,0.11174235839133573
FNGU,0.06394094791486557,0.1615504205194804,0.0071539048071043426,-0.03609389612000892,-0.014840665459354144,0.0,0,0,45.88489647152669,43.83427639317128,8.130000114440918,-0.7968515736769878,3.9225092121066663,0.1121751269603406,-0.3485576592429843,-0.7910025759502273,0.0892367932841343,0.0995647310890562,0.0685003762926793,0.8952123401320526,0.7225276095058604,0.5549290399790643,0.7727445022786477,0.9296456805409584,-0.8331623190885872,4.993849797822221
RYLD,0.05895720119707723,-0.002659395457996691,0.00662857726754987,0.0003565821197144172,-0.025152663592660808,0.10589956000787491,0.07777474315937463,0.08895563040661493,44.31911256465141,42.25443653212341,20.51000022888184,-0.13017663409571967,0.14965869991361536,-0.0067796315852139,-0.0848644106396312,-0.1020965629213953,0.0157754008725442,0.0167277029733857,0.0108822038445602,0.8232004046361241,0.7221115571594814,0.5799156940474892,0.6870639739220012,0.8428713573929099,-0.1417199495941961,0.165120871127308
MSB,0.05235099385571972,-0.05249776657625293,0.012056598203912288,-0.00530661977579503,-0.006596829291897912,0.11418755158186973,0.1345189988192787,0.12180005502066105,44.11261830916607,46.092871982440414,24.739999771118164,-0.23269514330939844,0.30326296162520916,-0.0741017811795651,0.0081499123117094,-0.1830800014939105,0.0325578139153995,0.028601086899648,0.0366630785984279,0.455888394857351,0.2911376604203497,0.207845544160813,0.2363064320667119,0.4750845246431142,-0.23269514330939844,0.30326296162520916
VALE,0.030534159896440007,0.03394348603019268,0.0033585420405218918,0.005888631836897188,-0.041271360355949,0.06524029146648556,0.16421330275883106,0.06958964423091793,46.64203800825823,42.28595486514629,15.1899995803833,-0.28450306604277886,0.39763002822285887,-0.0404295860017238,-0.1064706129186293,-0.2638809359215285,0.0316113597471785,0.0276178633553709,0.026576234181007,0.6570028725417145,0.2625235045739219,0.2516352391435098,0.2346302070983785,0.7108947985745315,-0.28450306604277886,0.39763002822285887
TLT,-0.01880496881792852,-0.0010035908564884457,-0.00137619050775854,0.013901985977073863,0.015752846440183155,0.016360761878140204,0.017451479336682885,0.017451479336682885,56.6602163825457,46.46233440122954,113.87000274658205,-0.22563641070845808,0.2913830322457318,0.0465031274838827,-0.0558025448316322,-0.1945391288730357,0.0143228049635119,0.0138639989138237,0.0108831532346751,0.0001256539713549,0.0013655918095715,0.0073523670267869,0.0012674269036891,0.0826398044869681,-0.25570284742674565,0.3435494097252767
SHY,-0.02311442320688934,-0.0009809183686667802,-0.0002781465732518602,0.0007547332034661581,0.00638015830840051,0.007079753351629232,0.007551736908404513,0.007551736908404514,53.642396756881936,45.26737428967728,82.62999725341797,-0.03189890575447629,0.032949973865421756,0.0080516777221681,-0.0038718515281015,-0.0370960349759618,0.0015898094649153,0.0017256459573031,0.0011024057693268,0.0414387780822399,0.0076923172745825,0.0598667439988779,0.0517275331882166,0.159712729736798,-0.039271308427994533,0.040876585421568246
