Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,B_Mkt_Delta,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_20,Dollar_ADV_20,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
TSLY,0.5307935683607335,0.045852265553150355,-4.110221666150758e-05,-2.769194724103087e-05,-0.0006270011138251265,-0.5042021074411699,-0.1037398304829236,0.6211213419211276,0.1907227879822306,0.7302258345423579,0.43284467509232594,0.45637927576168547,28.71814952716743,42.91646510147993,15.418999671936035,38035.45,586468.5910719394,-0.2915039596567246,0.15793028609226845,-0.082202358799996,0.1250638276374747,,0.0410358498645247,0.034756408990343,,0.7623821760046497,0.0063075329180816,0.0091551084931922,0.0799850271171973,0.7646192593682528,,,0.6866382071298488,0.903
OARK,0.35194076599744945,-0.11324676621391147,0.00033825752215942373,0.0007367386177705914,0.0043965535859057615,-1.2301557845342272,-0.5033247427978721,0.675245353870611,0.5329982266063896,0.6739721420722623,0.5019419618103789,0.42093944950552525,27.35818586150437,37.80579208134498,16.09950065612793,17918.95,288486.1472821236,-0.242875249137549,0.0,-0.0742092454752292,-0.1060799305093912,,0.0228929978706237,0.0278889251623357,,0.6740147526213451,0.0358519088178764,0.2079617952429222,0.4231959187737384,0.6791303359182403,,,0.7023787204872358,1.09
LABU,0.26341025704752424,0.27194306955899444,0.00380416539294999,0.0025482007235364925,-0.03391577520871964,-1.0074740034705822,-1.0074740034705822,3.764128350406311,0.99662523477479,-0.00676375395541449,-0.007411003164331592,-0.007411003164331592,31.81017500487987,41.29202209894934,6.179999828338623,38065361.65,235243928.4626476,-0.39173229122510733,0.02657804782708406,-0.0898380172225997,-0.1082251109059266,-0.5367316523501138,0.0355936757281858,0.0500244298739875,0.0814728793746378,0.6197703570380636,0.1277227494669477,0.2720392475357106,0.4231476564788184,0.6662722568381795,-0.769067779273282,-0.46186439094102305,3.1381044129342195,0.005
LQDW,0.20162940483028804,0.03179166848819579,9.646510264102551e-05,-0.0001976085291597352,-0.00047505588973018867,-4.618120861849576,-4.618120861849576,0.6139515134350132,0.5100386511692268,0.207217365258016,0.10166889735335316,0.1292889401125501,31.47633113531065,34.30203607175446,33.529998779296875,82527.2,2767136.915258789,-0.12961088660744446,0.004794721382481937,-0.0112061654327678,-0.0269596002311468,,0.0061294132427054,0.0055718392040102,,0.5307458447970932,0.0118626119056326,0.0522575466022071,0.0619071453164721,0.5523654018760839,,,0.6096846914477052,0.466
HYGW,0.149362662317343,-0.0026955172860156787,0.0020193058280202647,-3.132250322929467e-05,-0.001436976623893596,-3.896835530081284,-3.896835530081284,0.5547659726987411,0.3167507855472683,0.1879795755043108,0.07239887315988444,0.1158741325677158,35.09556298950842,40.44129545276344,36.227500915527344,12132.95,439546.4572330475,-0.07500318987188892,0.011771802562194678,-0.0041918677325588,-0.0104479565268312,,0.005587748175676,0.0048598273414463,,0.5397399213904832,0.0972531040545349,0.1329159052036397,0.1726738016007188,0.6222276894556641,,,0.5964983207479988,0.38
IEP,0.12726984779766204,-0.00966795541460456,-0.00012382594421901636,-6.176018669823145e-05,0.0004992260062717764,-1.6013426732505256,-1.0469478456143295,2.265020150475308,0.0461072209871563,0.14883720930232558,0.11906976744186047,0.11906976744186047,41.93858631668719,52.835230131463945,53.75,432434.9,23243375.875,-0.017726630099856977,0.1003070968052282,-0.0025978732832446,0.0149169359740219,0.0041098678445739,0.0045297527809706,0.0045640699795761,0.0107695567108554,0.0762533609224556,0.0059910713313396,0.0442516320247428,0.0632420523915539,0.0842567772132959,-0.13709236220067145,-0.01423161817181362,0.1425323042757377,2.0
TLTW,0.09485416380558415,0.005396864628421354,-5.535228569535371e-05,-1.016951212533564e-05,4.293307496234187e-05,-3.162949195336814,-3.162949195336814,0.8603220698057322,0.8021530600117984,0.18064043073288139,0.06720338787134125,0.11250847136171527,48.50749968927616,44.05720622118571,33.040000915527344,78719.15,2600880.788069534,-0.1328994111867018,0.02259360913676045,0.0006057073739067,-0.0155826003067169,,0.0105835032200729,0.0103089863286835,,0.8013897854811111,0.0039327326170364,0.0169233278016071,0.0426001830229221,0.8048441057348665,,,0.759547597247038,0.309
JEPI,0.09423645013043774,0.001035850782771424,0.0029903371085925343,-0.005212964079677217,0.00017167375291562704,-4.41515585655107,-3.680878504801781,7.571876722981918,0.4225015504391067,0.11332242990654207,0.05457775700934579,0.0700981308411215,37.88387974483481,41.243737478715815,53.5,4584245.85,245257152.975,-0.057766799045667394,0.05149368861799464,-0.0121861124311588,-0.0125507622987374,-0.0912179213405133,0.0073515986827787,0.0061172580729424,0.0093524847718982,0.65255664307315,0.5242726977631663,0.8203844037199108,0.6253858402466356,0.824890071485123,-0.18238789261789567,-0.08757835132620329,0.4954609700923216,0.411
CRF,0.08479852885288738,-0.025116067908974818,-0.003360079760210625,-0.003127438015525067,0.025653727837816758,-1.5738364060095948,-0.8534790110200705,8.317659379414946,0.2867378955257363,0.17108982088352576,0.10327258715662124,0.10327258715662122,41.834258220786815,46.63038220285392,7.659999847412109,717818.55,5498489.983469582,-0.23705180512786117,0.08498582287471623,0.0065702645230591,0.0393487064255264,-0.43593520688904,0.0060220588162605,0.0105563114285195,0.0244082787373553,0.2955394875040357,0.0393745114014945,0.2397087857952065,0.3235214239215711,0.3774798215957904,-0.5010600612643092,-0.2904593475249959,0.770589246115189,0.117
SVOL,0.08361321218482362,0.01995651072126769,0.0012900980248196998,0.0007236997770921751,-0.0034280110522934516,-3.5420430707418804,-2.194880951984199,20.409471055768197,0.283163843671977,0.16892915445429024,0.10279319919338606,0.10442736730620285,57.15176829511853,51.29287757308302,22.36000061035156,156989.05,3510275.2538185115,-0.023580743108037594,0.07915064436995678,0.0094808575818483,0.0149795693790468,-0.0278260604194973,0.0055318595447866,0.0061235578611417,0.0101296621907934,0.3034072746104361,0.1291314791746395,0.2180041494861448,0.2912803119184218,0.310903937365981,-0.16262529308990026,-0.07452311272766698,0.3447547692006746,0.32
CLM,0.08211620571137036,-0.008126738098791091,-0.003727330602020093,-0.0043480025160857775,0.013616583062315439,-1.6914822116712598,-0.9366921354859092,8.141574364300855,0.2789472297253516,0.17115403292273212,0.10331304074132124,0.10331304074132124,43.53763390358896,49.17911364307154,8.050000190734863,1346733.35,10841203.724369004,-0.22892715380364892,0.11495850757097892,0.004993752897634,0.0468140612270067,-0.4196106519715102,0.0071195110073683,0.0103159457914922,0.0246190408035638,0.3015163285077464,0.038844273287043,0.2593229008711258,0.3193770746279505,0.3792927835438144,-0.5010366512125735,-0.27850729870601487,0.7143009636186572,0.123
JEPQ,0.05788501095641748,-0.022503664077901827,0.0034211516848744804,-0.0009830039295879926,-0.003155699482694037,-4.1107623608541575,-2.2884814638036404,0.4691444787219343,0.7861349913324125,0.13985286708700784,0.07325216606999972,0.08681230626481494,50.43532880725869,49.709956617167656,42.650001525878906,974478.35,41561503.11443596,-0.09830862127241369,0.05962736710258154,0.0025858158905542,0.0596273671025815,,0.0101138826662975,0.0081392728584351,,0.7887394005657442,0.293592803090874,0.592166616206457,0.776626833065938,0.8220412711879057,,,0.5686906510444792,0.433
SDOW,0.018251170897104575,0.07688691700458473,7.09684393702294e-05,0.0005766500409778938,0.0003989900810456148,-0.3370324345466078,-0.3370324345466078,-3.0380010479873225,0.998712872458516,0.004007219830806475,0.001205775864645181,0.001205775864645181,61.1244027280657,55.74854695869596,27.700000762939453,10382876.75,287605693.8965063,-0.363511018575875,0.16093881200161952,0.0198822134963596,0.0065407086548576,-0.1838538042502743,0.0266920152493809,0.0261814425975701,0.0364711582953943,0.998712872458516,0.5984770823490273,0.8764070757005307,0.7977868197579472,0.9988003618226644,-0.4517463152715777,0.0,-2.963254482619848,0.097
TMF,-0.0015860766489013411,0.02112249564280044,1.900405068767563e-07,4.1819071935417245e-05,0.00011058341865550446,-1.017667127133333,-1.017667127133333,2.527129777891707,0.9969759167745142,0.013588457333633038,0.00887076586690643,0.008870765866906433,50.511935189879885,45.59491461929501,7.96999979019165,17362012.85,138375238.77180475,-0.24740324123186985,0.26910820444620254,0.0165815861063278,-0.0590319316498149,-0.6554258504379686,0.0322840363032941,0.0334049131364458,0.0379625337717428,0.9967565726772198,0.0001322666516392,0.0324112152978197,0.0649728750726881,0.9968752633830376,-0.7192668764323766,-0.5265981334245313,2.935133292250678,0.047
TECL,-0.08851500601287075,-0.08498408934007043,0.004130614249475863,0.0016073051779406833,0.019746570959149837,-1.002778666512699,-1.002778666512699,2.3120029626972345,0.9994296365866364,-0.008374792682588146,-0.008699834146070517,-0.008699834146070517,56.18092402860118,53.80110006129389,30.149999618530277,3193810.35,96293380.83415803,-0.14297898359897043,0.5112781185722595,0.079098033007507,0.480117740616889,-0.3542514348826091,0.0379599585719818,0.0428482423624889,0.0597396618469792,0.9493789368274468,0.2496158195934326,0.5943097662160409,0.9105789065701712,0.9578714557362942,-0.7010787923059028,-0.47287981073979635,2.9877733119997862,0.049
SOXL,-0.10421009542980093,-0.11482540564894486,0.0014364205813336489,0.0050506847671542765,0.025209046670083755,-1.0171691364850994,-1.0171691364850994,2.832911634651189,0.9981044289465886,-0.00038583200722741573,-0.002308665605781933,-0.002308665605781932,58.16391327395735,54.380426903098325,15.8100004196167,73829177.55,1167239328.0454557,-0.11774551605435135,1.2813853984476853,0.1431670648469576,0.6520377140834479,-0.4655172258149256,0.0471127974267078,0.0626492562738534,0.0781301572497989,0.7997636539354653,0.156197927074575,0.4292862703107432,0.7306969099397365,0.8022145381384929,-0.8479596412912591,-0.6068451216233905,3.776035389600033,0.038
