Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt
USOI,0.22506775104117757,0.05353628842127698,-0.00022193295583751029,-4.231727506605837e-05,0.00012392357614190452,0.2942553310903724,0.3667404404149336,0.24717447811591278,41.69343612470913,41.2898675005166,4.699999809265137,-0.19931858587804896,0.2489361965478205,-0.0447155007352209,-0.1811846695684507,0.1129893895448297,0.0217765942784229,0.0245321495643013,0.0185710686736668,0.7873670485184059,0.0431232596725709,0.0023289651593881,0.0074313390557003,0.8101173684964013,-0.19931858587804896,0.2489361965478205,0.7012582479685083
TBF,0.1465035640890279,0.0002790110375828563,0.007975937117033562,-0.005825324801700173,-0.0013411804476480443,0.001835343500791945,0.0019576997341780745,0.0019576997341780745,26.71514791262048,40.70209980322876,19.06999969482422,-0.10131949519796635,0.11274250933070551,-0.0460230158493135,-0.0397784940205676,0.1764343474325744,0.0115316842111294,0.0126360766802024,0.0109738581678974,0.0043231463734303,0.018503661037969,0.0029597749723546,0.002357597072908,0.1724010148221384,-0.10131949519796635,0.11274250933070551,0.0482756308838962
GOGL,0.12554708909908793,0.0069245410231945324,0.0039020031735942234,-0.00419116526397697,0.0007795168489267794,0.13495574993444542,0.14159291796400833,0.14395279993007512,60.03379158383355,47.61829239944538,11.300000190734863,-0.2963885076896675,0.4212388668019984,0.0405157042327422,-0.2344173431228388,0.4736740578329164,0.0237957434900669,0.0350228962194968,0.0392115809311142,0.3797249977031527,0.1769163563599914,0.1121845797572136,0.1324315343102917,0.3896018710889807,-0.2963885076896675,0.4212388668019984,1.87583809424904
ZIM,0.11701576809681458,0.0008536892836242219,0.009550121694896583,-0.0031775186844295446,-0.05362118012679306,0.1719284150151334,0.18339030934947562,0.18339030934947562,60.80170440679211,49.84462350646857,49.72999954223633,-0.328991529937369,0.4902941536738894,0.0412479332063737,-0.2189414014202361,0.8065775812811595,0.0436130465232214,0.045658029447518,0.0383091254946963,0.2959895219321653,0.2523194602434662,0.2156441321136062,0.2474134853936322,0.3157859867454645,-0.328991529937369,0.4902941536738894,1.361100743778228
SBLK,0.09768446415235754,0.0067544451601426045,0.006683430148730489,-0.007279790577959967,0.005191714242640402,0.11018518518518519,0.19555555555555554,0.11753086419753087,71.19469549251394,54.64187174306397,27.0,-0.16948626902523156,0.20407401190863705,0.1020408163265305,-0.1317976121725913,0.7489378302437228,0.0255178847555197,0.040463015108085,0.0396162719212165,0.3453254744970497,0.1757049547778638,0.0997783231310218,0.1249621483390348,0.3603568920938127,-0.16948626902523156,0.20407401190863705,1.909631139171404
SOXL,0.08479382344318617,-0.003251143238689097,0.020974163275618518,-0.06651937283597843,0.2369509731668351,0.0010494752503645264,0.0008815592103062022,0.0008815592103062022,72.69847661746103,55.34441580125327,20.01000022888184,-0.6077304707150744,1.5492675962441336,0.3411528234959784,-0.1950925286562628,-0.5490321538993641,0.0716774562866263,0.0782220346253404,0.0706913296703923,0.8536935538047147,0.6553901262980828,0.5772621020916712,0.8179298410607272,0.9000914010367862,-0.7258036347905141,2.6470213572524948,3.477440473953965
ARKK,0.08147327841463008,0.20250797675211268,-0.004834772962232629,-0.017762838950052477,-0.008472466846702723,0.012852922251057185,0.010796454690888035,0.010796454690888035,51.57753080225801,51.04115484291626,45.68999862670898,-0.4072392638644051,0.6870213208103726,0.039117520087673,0.0362893732951639,-0.6161067694402584,0.0409268753803004,0.0464709239670115,0.0379747902781834,0.8167544708571199,0.4591560879727053,0.4308176085952204,0.635212273286718,0.8771234402314508,-0.6331353930880701,1.7258012388206785,1.949938952310677
PBR,0.07583807986662165,-0.014488352481822845,0.010851552182032789,-0.0028909177588252464,-0.011125148856897266,0.17212765491762488,0.2623659503486051,0.1445872301308049,82.21122983918583,64.05918777508141,14.100000381469728,-0.0472972838002631,0.04964537520049128,0.2292938145782792,0.0158501631999208,0.871850904421472,0.0281240882020597,0.0295174078786636,0.0274709548141022,0.5773360447373382,0.2436863972592989,0.1240859664725424,0.1236796847430199,0.6837352615310023,-0.0472972838002631,0.04964537520049128,1.213854445226156
MSB,0.07145933994767055,0.023643126877886875,0.0060673466709944635,-0.005857636251869641,0.0005117689756303166,0.10039090480716936,0.11826581635336621,0.10708363179431399,54.65555157934894,54.93843270436265,28.13999938964844,-0.058579309215607944,0.0622243698157936,0.0188268839469547,0.0334190180943856,-0.0625082050986817,0.046812262294883,0.0324619669975789,0.0376023343037188,0.3561551076446113,0.1896182830294862,0.0968344801503801,0.1284765486586301,0.3834393711800165,-0.12724501217843265,0.14579694639848628,0.6140849472468558
GNK,0.06951192778080345,0.006690553732731302,0.0024900719130639785,-0.005395375213682567,0.003504520081819218,0.1194556442425663,0.12741935385873737,0.12741935385873737,73.00023315995541,52.21649589378736,19.84000015258789,-0.26327516049917143,0.3573588759102446,0.118376573199773,-0.2142574196994895,0.2301961099691796,0.0247275026154003,0.0368221622720402,0.0365301753444564,0.3575391518883589,0.1718363338853273,0.105652386879222,0.1268620196672516,0.3679929143434489,-0.26327516049917143,0.3573588759102446,1.869675092180365
