Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
ZIM,0.8929471811599877,-0.07532937107107439,0.017843282010147975,0.03997934888588753,0.026380253761374504,0.6434134628582132,0.5147307702865705,0.5147307702865705,15.633443780760434,30.13179406955438,29.530000686645508,-0.5580519021418614,1.2627091390287895,-0.1579697478296906,-0.347923552918423,-0.2638761979667835,0.0250126884159884,0.0346800589714108,0.0389541350823064,0.0984152350899275,0.0498025440717043,0.0205281972488554,0.0814556746114431,0.2067969398963797,-0.5580519021418614,1.2627091390287895,0.8048468238929741,4.75
MSB,0.570474553768966,0.029087600087804578,0.01749869309289895,0.0010949090841011581,0.00045247254068521615,0.18190044934889077,0.12162895717657173,0.14552035947911263,14.969456284869022,34.15085469809174,22.100000381469727,-0.2415922839957083,0.3185519858217545,-0.0997962904981404,-0.1942427557220217,-0.1973593855889041,0.0188254903045626,0.0301188604765573,0.037856087019286,0.2684449783554417,0.0807884882815799,0.0022639944809179,0.0192392696268487,0.3396728724407523,-0.2942723500080582,0.41697721495171436,0.6289719623419612,0.84
USOI,0.44796839597535415,0.23362279047315435,0.0011690447632462621,8.979240334271554e-06,4.0438501411356765e-05,0.4679705800109004,0.15227827776778075,0.29167646540686726,42.0788268113708,44.91472898197973,4.420000076293945,-0.1658138739802283,0.1987732339440733,-0.0067415133161872,-0.0582058587782051,0.1477862324895,0.0218101286350716,0.0190010004060947,0.0185617325210644,0.963392218271394,0.1807651403424706,0.000616730274162,0.0137199811774657,0.9639256772591924,-0.1658138739802283,0.1987732339440733,0.824614939998527,0.094
PBR,0.34801975702395427,-0.004030060718401341,0.017867186489062617,0.00046267110825408013,-0.002346996068285301,0.3744020247208876,0.4982289931252459,0.2358732755741592,31.802978711637003,50.806119026928485,13.100000381469728,-0.13417050347763348,0.15496180716472918,-0.0927977311532584,0.3562882162297085,1.0779330834965122,0.0223657990557404,0.0305286604762646,0.0277436575660027,0.5751938439506759,0.1936420052211718,0.0362501184732828,0.0407439313742744,0.6635487503617998,-0.13417050347763348,0.15496180716472918,1.328683144820286,2.59
SBLK,0.3064608643122192,-0.04736998962285379,0.02060816004959112,0.01866602720173633,0.011444383007784071,0.2568027160903506,0.2693877498590168,0.2054421728722805,34.21515002079111,38.80725618827632,19.600000381469727,-0.35572872586508997,0.552141217754496,-0.0075949173939379,-0.1770035982308698,0.0198529040323214,0.0295035771161323,0.02750464286261,0.0393390964246777,0.170791954479697,0.0805540781717604,0.0194806413068228,0.0528190820588491,0.2063813247399569,-0.35572872586508997,0.552141217754496,1.44599556715706,1.65
GOGL,0.27575889126427966,-0.05484670252105925,0.019972503505803763,0.014427834750368998,0.007169494842147546,0.271493207983419,0.2171945663867352,0.21719456638673523,38.403022094651774,41.01431586385812,8.84000015258789,-0.41374396543311287,0.705739371601996,-0.0421900210948555,-0.1448436196167051,-0.0174519864469732,0.0305697087600987,0.0293193562212427,0.0393564070379986,0.224221344370784,0.1012461712493912,0.0223232749331746,0.0575301008195572,0.2616873994402737,-0.41374396543311287,0.705739371601996,1.5677412601130414,0.6
GNK,0.26635033227437604,-0.03295393875300084,0.036527127991727054,0.009939138559988297,0.00869522264370974,0.15060241266680593,0.12048193013344476,0.12048193013344476,27.534886792374976,32.75574157644494,13.279999732971191,-0.49248429627064894,0.9703823796027442,-0.0521056733750608,-0.2691231076445404,-0.3072472764669151,0.0272664872007108,0.0256947499427107,0.0359718245233714,0.1911309425262918,0.1059399166686021,0.0089222785590294,0.0434532747412184,0.303283130702879,-0.49248429627064894,0.9703823796027442,1.3374399337271203,0.5
CRF,0.20976364761562932,-0.04818746879452409,-0.008112785726422803,-0.04202365443448287,-0.004896117604868276,0.21668644651054023,0.13199846130164034,0.13199846130164034,22.89037430472303,41.041807074103,9.06999969482422,-0.3032521328809267,0.4352394132684172,-0.0610766213154703,0.0399988977344725,-0.1747194695759186,0.0182463349606144,0.0162072421350317,0.0224341854748753,0.2011762675822528,0.1088118677588755,0.2071878468414125,0.1998668475888347,0.2233108576419663,-0.3032521328809267,0.4352394132684172,0.6749555715821427,0.173
CLM,0.17412542808710027,-0.07509476367772508,-0.009230941746492855,-0.03849932327280299,-0.009935681355349307,0.21837324654019724,0.13306114532032426,0.13306114532032426,24.55720345226109,41.49483741020388,9.420000076293944,-0.29218910335418125,0.41280673233318366,-0.058941072836898,0.0493332661935863,-0.1466937142174922,0.0188431062990095,0.016363575563256,0.0227635338264244,0.1742989568437094,0.0835985928760044,0.1729589774736706,0.1716402877620484,0.1966190807510965,-0.29218910335418125,0.41280673233318366,0.6716835770783037,0.181
SVOL,0.15805499142983526,-0.012613411827289641,-0.006403513966333945,-0.011066343599825225,-0.010838850402269076,0.17528903429276319,0.1042645538788391,0.1084340916044408,30.216051118748272,43.28813663798473,22.059999465942383,-0.05737767981009645,0.0608702749565031,-0.0195555792914496,0.0058158520493714,-0.0753358163641307,0.0098756634412757,0.009057494671953,0.0125911185910273,0.4690949752666122,0.2380260191369034,0.4313903354057803,0.4485344034120533,0.5128660710932144,-0.11853083913082818,0.13446963818218105,0.4486723312395091,0.32
