Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,B_Mkt_Delta,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_21,Dollar_ADV_21,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SOXL,0.2476020232076685,0.23761198388075216,0.001039519267495962,0.028050196828276534,0.031352788233159276,-1.0155486321681575,-1.0155486321681575,2.741015730619477,0.9982855162068368,0.00037542689132500154,-0.0016996584869399985,-0.0016996584869399985,44.0392888326273,50.85409166903153,14.649999618530272,86108033.71428572,1261482661.0666776,-0.1824777033393823,1.1139971113162952,-0.1077953988757329,0.5803666553501434,-0.6493537566643075,0.0579027052378726,0.0644975600679448,0.0791946682121221,0.8372569412450935,0.2179670425580842,0.495412234248254,0.7722546576468275,0.8392645624228097,-0.8479596412912591,-0.6068451216233905,3.839268678856981,0.038
TECL,0.19151016265449125,0.180013385471217,0.0012484708569597746,0.004693883502297379,0.021526873974236714,-1.0027863252513198,-1.0027863252513198,2.290492819017705,0.9994923203633358,-0.008248749077853501,-0.008598999262282801,-0.008598999262282801,38.600273518809615,49.19148734793711,27.979999542236328,3788519.952380952,106002786.53337224,-0.20466175953614674,0.40250618908315916,-0.1348175816258513,0.2899953367129779,-0.5146574362244172,0.0383939742491247,0.0447288959506422,0.0602465898096944,0.9551643231349282,0.3033269694274699,0.636582744484431,0.9134388239550376,0.9617416398174764,-0.7010787923059028,-0.47287981073979635,3.0396587019824546,0.049
LQDW,0.18439954085165539,0.016182165707377523,-5.390044003912374e-06,-0.0018187043813223899,-0.0008838078664242005,-4.239085379506394,-4.239085379506394,0.5967895671181112,0.3874354256519696,0.2094272916380247,0.13183035519330213,0.13068119373195558,34.31014884118707,36.58535991139053,33.9900016784668,75590.80952380953,2569331.74259095,-0.1414498219888245,0.004135988497982801,-0.0139251385331554,-0.0016154058873965,,0.0045869848268833,0.0052700372065357,,0.4669170993806519,0.0146376618691596,0.0744265581119445,0.0818947425204252,0.4739569657407145,,,0.535048255559002,0.608
TMF,0.17783449757721978,0.18897078110697552,-6.8835739964759315e-09,0.0002124486383920461,0.00011116784580419365,-1.010058217250565,-1.010058217250565,2.477521773722954,0.9971425038350546,0.013797468067151467,0.009037974453721174,0.009037974453721174,40.04553645279725,43.00310259438056,7.900000095367432,15442982.333333334,121999561.9060909,-0.3265131795681815,0.2579617565981771,-0.0792540599516582,0.0167310315006483,-0.6415608091104106,0.0305269051129128,0.0335826061872481,0.0386353801611494,0.9969803841293065,9.273985198654522e-05,0.0424584831789723,0.0613964919771179,0.9971136284891668,-0.7413509047690234,-0.5168863587105224,2.959609547145161,0.047
TLTW,0.15664592354364174,0.042362612119582,-2.070189869075243e-05,-0.00011922151608638771,0.00020409886130392878,-3.274540113074273,-3.274540113074273,0.7191943904053024,0.7409438014557332,0.19487153287904385,0.102285283960843,0.12147406571379762,40.99670842381949,42.2660286931483,33.15999984741211,79615.0,2640033.387851715,-0.16540820632316933,0.02408890529855312,-0.023557104199874,0.0190534392882857,,0.0090115691359525,0.0102187050086775,,0.7371755593702536,0.0043567357694996,0.0229020231695268,0.0444966616527628,0.7478375297378377,,,0.6766852161113832,0.464
JEPI,0.14550444770984522,-0.0006990399891665748,0.001636521374147243,-0.02051668185138174,0.008457287752301569,-4.80434644767996,-3.939930340146476,7.775880438314445,0.4200467442139399,0.1152953130923897,0.05890267601540517,0.07134104724820552,28.789241920559995,40.222265829960506,53.790000915527344,5264222.857142857,283162552.3052543,-0.05265935061731197,0.05719339202678797,-0.0230657541970156,-0.0273055758113147,-0.1039479925147289,0.0046446798806459,0.0057391225737576,0.0094256517124696,0.6292615841301483,0.5783618537138067,0.7605184899437822,0.6164852610452931,0.7839799581236343,-0.18238789261789567,-0.08757835132620329,0.4456905972892032,0.444
CRF,0.13547882812701995,-0.0016286344792835572,-0.0010274943362564703,-0.01955915920186594,0.0371401137413961,-1.673189907911777,-0.9468904400553732,8.232513093357197,0.3040113878559847,0.17156963671935782,0.10357487113319544,0.10357487113319541,34.29496575513801,45.62159252963393,7.639999866485596,777517.2380952381,5940231.595237868,-0.23904383510819027,0.08215296436358144,-0.0485678554737998,0.0480109611061785,-0.4264264233088318,0.0083881643599766,0.0130664884647725,0.0244672560958467,0.3354555515383058,0.0669941384258056,0.2840349019749892,0.3603325548119805,0.4085586586132257,-0.5010600612643092,-0.2904593475249959,0.7949147390429981,0.117
LABU,0.13182202009374053,0.19145107682830062,0.0013652254818306761,0.0020485388119270685,-0.06510501045473051,-1.0090891292133823,-1.0090891292133823,3.825269019312844,0.9975885157543808,-0.006955860049096082,-0.007564688039276866,-0.007564688039276865,37.246016861854606,43.52825050335501,6.570000171661377,40503204.76190476,266106062.2385502,-0.3533464300853464,0.09136215821884686,-0.1085481311153395,0.0913621582188468,-0.6018181714144619,0.0562490180312997,0.0542337464744796,0.081752585536026,0.6592235745478867,0.2121311436303947,0.3857245839920054,0.5050883618093746,0.6895664513656354,-0.769067779273282,-0.46186439094102305,3.302232467458304,0.005
IEP,0.12043376891492802,0.0010746203542973676,-7.26933090671648e-05,-0.0003044219983282048,0.0013934362382387246,-2.3185891021317424,-1.3863619957808848,2.3640536159239764,0.0930168428458734,0.148671246902641,0.11893699752211281,0.1189369975221128,45.31235362193068,54.81643045790211,53.810001373291016,380688.5238095238,20484849.988986604,-0.01663011379955548,0.10153537470011487,-0.0003715485246766,0.0719123616630834,-0.0055442475268269,0.0049261541621676,0.0064931233888733,0.0108241052369753,0.1221121262149315,0.0203306667730707,0.0814707516561291,0.1083203458626272,0.1316883886836066,-0.13709236220067145,-0.01423161817181362,0.1769237180461498,2.0
JEPQ,0.11589596784160243,0.03649672540072525,0.001157494015173486,0.0009009070982408902,0.0008524738037572372,-4.311741644403229,-2.4116034177949657,0.6971061291526823,0.797051765930211,0.14536123449837005,0.07478034721895672,0.09028257773397314,43.39434088451488,48.611754175134976,42.59000015258789,935986.380952381,39863660.10758209,-0.09957714926942896,0.058136649753736336,-0.0132066658211167,0.0390338718859242,,0.0083887123822101,0.0078620783711652,,0.7988954088037116,0.3598711585393305,0.599757658141451,0.7903670023039979,0.8309321551787965,,,0.550194626110625,0.441
