Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_21,Dollar_ADV_21,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
LABU,0.3105667847448452,0.46281690718892443,0.005669727327368361,0.0035167277104172483,-0.030445637726136024,-0.0071711457546824635,-0.007736916603745971,-0.007736916603745971,58.10713768373687,50.93459699155967,7.070000171661377,61531690.47619048,435029062.22928137,-0.4527863676538475,0.17441863688731485,0.0679758752086883,-0.0497311670313765,-0.8105573357589847,0.066303679668659,0.068492335030962,0.0864030271258484,0.7652912733588124,0.4546900888607507,0.5370319555964893,0.6504019636596425,0.784579904838865,-0.82014754707017,-0.6713304598083181,3.2101594135628777,0.005
TLTW,0.26798172825263855,0.0022644466403417087,9.271408236476599e-05,-0.0015925276622649883,0.0012628891990205272,0.21000601094181737,0.11002821354776252,0.13100878689334494,20.84415030131993,32.402327716800656,32.43000030517578,35247.619047619046,1143080.2964710053,-0.1863820125530229,0.0015441394506248152,-0.0776450385120597,-0.0325467499851206,,0.0109657741798602,0.00962058670078,,0.6929694983028507,0.013502635058439,0.0830590362880556,0.1028396804052879,0.7334695687566781,,,0.615802600079904,0.487
SOXL,0.2563413853215115,0.04839607494764951,-0.008371523834632933,0.10177037016652085,0.11773688664757963,0.005718717559540542,0.0025749740476324334,0.002574974047632435,38.72978464309124,44.26988220944904,9.670000076293944,96765480.95238096,935722208.192144,-0.561848653828404,0.39538244095630803,-0.1517543508882473,0.0840807167696355,-0.8585430077537237,0.0608961358474693,0.0850485861045004,0.0815695158532252,0.884247029434822,0.5922648882705165,0.6482797831015119,0.8609991185849326,0.9068182783110376,-0.8658807173239428,-0.6938973625256619,3.949822304534284,0.038
CRF,0.24909816683242136,-0.008459596358908191,0.0008361890442313701,-0.00895145447113446,0.03744956983166986,0.28019437012463383,0.17200845317851932,0.17200845317851932,28.4413702429068,35.2619471603142,7.099999904632568,860828.5714285715,6111882.775047848,-0.311348242903706,0.005665717022269368,-0.0826873236965403,-0.1158156736319732,-0.4843863711980116,0.0258051252485402,0.0186818437985001,0.0244994407844141,0.3887038125171149,0.2971498834421563,0.3549709359003945,0.4036731067627445,0.4071541070455668,-0.4982332087603244,-0.271378042574988,0.8254043798078905,0.173
LQDW,0.23866001013010962,0.003771241227113296,0.0003070346656559577,-0.009921920324806353,-0.00319279712335247,0.21651238343715354,0.1146381702867725,0.13514480156540673,23.58365208986133,30.387413610478745,34.00899887084961,19809.52380952381,673702.0728701637,-0.14849774561316953,0.0010596443807857625,-0.0401072938776855,-0.0515380442582352,,0.0071174765047914,0.0065790561634841,,0.3681699913080157,0.1363718207671753,0.2397034651937728,0.2365110905036102,0.3987541191417483,,,0.4913685864934322,0.531
CLM,0.22466731986159444,-0.0015417311495667077,0.0014793510532063038,-0.0017483441147035331,0.0329892000460397,0.2825082813740416,0.1734662172656462,0.1734662172656462,33.077599616419725,35.98356334567207,7.369999885559082,1669990.4761904762,12307829.618408566,-0.31822390384140176,0.020775637081209553,-0.0844720855980135,-0.1109770905340633,-0.4798870962683403,0.0219688377441312,0.0185304509188968,0.0246883164919937,0.3934255449377621,0.2804184335317194,0.3403341726161386,0.4077268721113077,0.4119946985292282,-0.494166091974788,-0.25806447178878156,0.7815120358206753,0.181
TMF,0.15135772970657438,0.011417981508380786,-1.0136322802929255e-05,0.00014906130011548027,-5.618879156030522e-05,0.014671916381033696,0.009737533104826957,0.009737533104826957,26.594978642457225,41.69734209980361,7.619999885559082,17555980.95238095,133776572.84802029,-0.464135039207616,0.21337573741763083,-0.2357071533128512,0.0948275637636097,-0.7286324819706986,0.0313893310152608,0.042501711098412,0.0379620152436669,0.9921066313519435,0.024855774902069,0.0854853367677063,0.0861494791391372,0.9921355764990422,-0.729211085613521,-0.4946694891450578,3.0089570490748327,0.047
JEPQ,0.1467598575393106,0.014959597495720886,-0.0017029265250584976,0.0014626773697242613,-0.006634772824054386,0.15022549307066776,0.10322941376049218,0.0933470606345207,31.373980497938515,39.9296032802262,40.79999923706055,616442.8571428572,25150868.101119995,-0.18236476975053717,0.011904750641601458,-0.0406771594613466,-0.0538033337730143,,0.0111224655517828,0.0149172747182758,,0.9355705206068944,0.6608545402931301,0.7579006856856907,0.8898286859340985,0.9415415139526232,,,0.7348514709643869,0.576
HYGW,0.14419812746646068,0.005565687828488031,0.0003010848331961227,-0.007745965762131691,-0.0010888317864880097,0.20499222646124246,0.0952649829107154,0.12659210267058277,36.68119872721,39.16274324366607,36.25899887084961,8061.9047619047615,292316.59565880185,-0.09198137856046862,0.012651486289420033,-0.0268652575355887,-0.0325773929108715,,0.0077225348239162,0.0059336003487624,,0.4014585386354874,0.2255075854856701,0.3126172696717298,0.338227459355726,0.4188900417485219,,,0.4309292389259931,0.49
IEP,0.11960537939572234,0.015785224858686702,-0.005117113934822344,0.014642071551780463,0.0033409261895555034,0.1579466882328229,0.12635735058625833,0.12635735058625833,55.07662330382553,45.503249434675695,50.650001525878906,525552.380952381,26619228.89716739,-0.07724536183123265,0.03982760168075372,-0.0019704132831742,-0.0713237866584077,0.0172725566286013,0.0065427687107653,0.0083351696827717,0.0118104015356598,0.1650825865009211,0.1937464000727375,0.1293837534697639,0.1519124572118987,0.2311457485477115,-0.08902872453397903,-0.012769768056794417,0.2216523380244324,2.0
