,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,VALE,ZIM
ARKK,0.011650570659700184,0.003248914715062529,0.03210074597562316,0.004916830372343452,0.0018984305838800326,0.0017956292846899027,0.0009063919446955967,0.00654200316249013,0.0025608189128251656,0.0037690801039999863,0.0033484954611926908,0.004472747115765387,0.0017516654499811085,0.0026122668452843467,0.0025359559924801956,5.6252648323476606e-05,0.014575152205869711,-0.00021112105416702152,0.000201834344330964,-0.00032151134920828606,0.001643193919162237,0.003156666647140557
CLM,0.003248914715062529,0.017317653790049767,0.012430276253229833,0.005303602715745989,0.0008098780757556564,0.0009280209678795363,0.0009131363937363857,0.005761010461094027,-3.733571930164836e-05,0.00014815984195963344,0.0005143953796496814,0.004193849316142583,0.0027840636690470593,0.001201207829019519,0.0005411218839472882,8.754503863723945e-05,0.006122069815961971,-0.0012350775468210442,0.001814178580228532,-0.0005152518315028835,0.0008993515058757859,0.001209464537716365
FNGU,0.03210074597562316,0.012430276253229833,0.11544288034740544,0.02067151007520334,0.009899144647551731,0.012518213121637069,0.004015192437233999,0.02221177081178647,0.01141565601965334,0.014817868945975924,0.016543819570295812,0.01480356874749981,0.011073725410014489,0.008679349911537548,0.01606603293109343,8.720323806890583e-05,0.05323788868433699,0.0004022498295282518,-0.000893280323307111,0.0003762569086915812,0.009566476411346024,0.011364942822560554
FSK,0.004916830372343452,0.005303602715745989,0.02067151007520334,0.010679256762233365,0.0023595912308421825,0.008118310789114194,0.0016157276196684179,0.007322737691530869,0.0013620692246581422,0.003164332335994573,0.00474131064936246,0.004960609015752974,0.005769069407482917,0.0021022134987206463,0.00798325011148896,8.636855311225972e-07,0.011119939443161862,-0.0001820516916705458,0.00019261242502883376,-0.00019247725951388825,0.0028171192774856016,0.004010133212538093
GGB,0.0018984305838800326,0.0008098780757556564,0.009899144647551731,0.0023595912308421825,0.004089123136306813,0.005926072535285675,0.0006329392534108362,0.0031101061444610985,0.00281433657062514,0.004368651016682236,0.0044791717900662725,0.001596714710739366,0.004289379268741837,0.0009861904951577762,0.005795292295185563,3.98844423663333e-06,0.006210037014986946,0.0002418738972042637,-0.00034828365304565007,0.0005739577369866604,0.0034238215450111266,0.0036329311872738803
GOGL,0.0017956292846899027,0.0009280209678795363,0.012518213121637069,0.008118310789114194,0.005926072535285675,0.04018903586733933,0.0014509444450976382,0.003217206206196719,0.0029556039660752604,0.00897022140945499,0.010282952922833256,0.004242262460647647,0.012293587199777778,0.0020444128410310957,0.03779564336620339,-4.062809594613657e-05,0.010350607942034351,0.0007861795079233325,-0.0011774717922155775,0.0013874679798336399,0.006336133746584854,0.013023405113966975
IEP,0.0009063919446955967,0.0009131363937363857,0.004015192437233999,0.0016157276196684179,0.0006329392534108362,0.0014509444450976382,0.0005914001134996552,0.001408791832622782,0.0006210221295150529,0.0010460747617322226,0.0010710516743532709,0.0009336051279863446,0.0014269781526284476,0.00047200013076257544,0.0013907251942194556,-1.2952333835411636e-06,0.0023029929518159262,2.323540803476715e-05,-4.647950570426429e-05,0.00012453707193305682,0.0006358114614106219,0.0007818252264476856
IVR,0.00654200316249013,0.005761010461094027,0.02221177081178647,0.007322737691530869,0.0031101061444610985,0.003217206206196719,0.001408791832622782,0.02046150985446503,0.001944258333885057,0.003962758473527686,0.003078554151934013,0.011271536053482953,0.003264161791764094,0.0025698632762832224,0.0027157331838551257,9.868429235024539e-05,0.012643210572372646,-0.0011951866762884488,0.001749363774564778,9.226819210811986e-05,0.002917304600245947,0.0032980364874992583
KIROY,0.0025608189128251656,-3.733571930164836e-05,0.01141565601965334,0.0013620692246581422,0.00281433657062514,0.0029556039660752604,0.0006210221295150529,0.001944258333885057,0.00902583289556193,0.0050540421921578425,0.0043553992825902605,0.00102574927548097,0.004039176089538364,0.000980879056281702,0.004592089227288222,1.6675696699435944e-05,0.005987388511615611,0.00022627827066014559,-0.00034487212287907294,0.0006035598617263986,0.003519529543755274,0.0016909876562727487
LIFZF,0.0037690801039999863,0.00014815984195963344,0.014817868945975924,0.003164332335994573,0.004368651016682236,0.00897022140945499,0.0010460747617322226,0.003962758473527686,0.0050540421921578425,0.009375865099736397,0.008002657096676906,0.002666836874902427,0.006065092158626427,0.0016044961772408984,0.009077434291860214,1.3635882221586718e-05,0.008295036973765907,0.00019241499507919379,-0.0003016378944470238,0.0012238496217661771,0.004438860373072586,0.004033341193113701
MSB,0.0033484954611926908,0.0005143953796496814,0.016543819570295812,0.00474131064936246,0.0044791717900662725,0.010282952922833256,0.0010710516743532709,0.003078554151934013,0.0043553992825902605,0.008002657096676906,0.016512075275636195,0.001635826997307294,0.00929875573779544,0.0017463825177764939,0.01011952867365064,1.580862057918988e-05,0.010756711270428937,8.798451092295683e-05,-0.00011816010280062632,0.0016079243302199982,0.005042314213037236,0.004949162786999697
ORC,0.004472747115765387,0.004193849316142583,0.01480356874749981,0.004960609015752974,0.001596714710739366,0.004242262460647647,0.0009336051279863446,0.011271536053482953,0.00102574927548097,0.002666836874902427,0.001635826997307294,0.009450091062201826,0.0027078118473025823,0.0017552160264484758,0.004936991990284098,6.083073939379566e-05,0.008184381198580263,-0.00048703513834978034,0.0006715946127663418,-6.129535452963125e-06,0.0014608926830637235,0.002853724239818864
PBR,0.0017516654499811085,0.0027840636690470593,0.011073725410014489,0.005769069407482917,0.004289379268741837,0.012293587199777778,0.0014269781526284476,0.003264161791764094,0.004039176089538364,0.006065092158626427,0.00929875573779544,0.0027078118473025823,0.01518889505680115,0.0017544094340286847,0.011997758790792302,1.674892120655188e-05,0.007679901414062591,-3.439471405532386e-05,5.40471484400108e-05,0.0013979768837487185,0.0051013101580540945,0.00527855482637326
RYLD,0.0026122668452843467,0.001201207829019519,0.008679349911537548,0.0021022134987206463,0.0009861904951577762,0.0020444128410310957,0.00047200013076257544,0.0025698632762832224,0.000980879056281702,0.0016044961772408984,0.0017463825177764939,0.0017552160264484758,0.0017544094340286847,0.001053092136353759,0.0020083558607692114,6.4688980719878356e-06,0.004829751196410712,-2.801928321518106e-05,1.4535772285107173e-05,8.146141017573516e-05,0.0009650885277457342,0.0013629243195550278
SBLK,0.0025359559924801956,0.0005411218839472882,0.01606603293109343,0.00798325011148896,0.005795292295185563,0.03779564336620339,0.0013907251942194556,0.0027157331838551257,0.004592089227288222,0.009077434291860214,0.01011952867365064,0.004936991990284098,0.011997758790792302,0.0020083558607692114,0.044861532621831415,-4.664486361601006e-05,0.011087839851122659,0.0008501756048410952,-0.0013051401149141043,0.0013689858907252506,0.005687937376051748,0.01432550760610246
SHY,5.6252648323476606e-05,8.754503863723945e-05,8.720323806890583e-05,8.636855311225972e-07,3.98844423663333e-06,-4.062809594613657e-05,-1.2952333835411636e-06,9.868429235024539e-05,1.6675696699435944e-05,1.3635882221586718e-05,1.580862057918988e-05,6.083073939379566e-05,1.674892120655188e-05,6.4688980719878356e-06,-4.664486361601006e-05,4.828015191537869e-06,4.128223326745985e-05,-4.389737023012931e-05,6.59492455630627e-05,3.883423429569132e-06,1.3633018924676679e-05,7.52101153654332e-06
SOXL,0.014575152205869711,0.006122069815961971,0.05323788868433699,0.011119939443161862,0.006210037014986946,0.010350607942034351,0.0023029929518159262,0.012643210572372646,0.005987388511615611,0.008295036973765907,0.010756711270428937,0.008184381198580263,0.007679901414062591,0.004829751196410712,0.011087839851122659,4.128223326745985e-05,0.031658038345263165,2.1042600809696427e-05,-9.793572973980786e-05,0.00046022244073206514,0.005937764764990163,0.008638531941488801
TBF,-0.00021112105416702152,-0.0012350775468210442,0.0004022498295282518,-0.0001820516916705458,0.0002418738972042637,0.0007861795079233325,2.323540803476715e-05,-0.0011951866762884488,0.00022627827066014559,0.00019241499507919379,8.798451092295683e-05,-0.00048703513834978034,-3.439471405532386e-05,-2.801928321518106e-05,0.0008501756048410952,-4.389737023012931e-05,2.1042600809696427e-05,0.0008415578734295889,-0.00127425548385258,6.834807371175642e-05,-0.00010267440872608546,4.962646971649024e-05
TLT,0.000201834344330964,0.001814178580228532,-0.000893280323307111,0.00019261242502883376,-0.00034828365304565007,-0.0011774717922155775,-4.647950570426429e-05,0.001749363774564778,-0.00034487212287907294,-0.0003016378944470238,-0.00011816010280062632,0.0006715946127663418,5.40471484400108e-05,1.4535772285107173e-05,-0.0013051401149141043,6.59492455630627e-05,-9.793572973980786e-05,-0.00127425548385258,0.0019398709731643737,-0.00011176791192709692,0.0001861355696790777,-8.446858231797878e-05
USOI,-0.00032151134920828606,-0.0005152518315028835,0.0003762569086915812,-0.00019247725951388825,0.0005739577369866604,0.0013874679798336399,0.00012453707193305682,9.226819210811986e-05,0.0006035598617263986,0.0012238496217661771,0.0016079243302199982,-6.129535452963125e-06,0.0013979768837487185,8.146141017573516e-05,0.0013689858907252506,3.883423429569132e-06,0.00046022244073206514,6.834807371175642e-05,-0.00011176791192709692,0.0007125881553785734,0.0007210965747280439,0.0002755797606144795
VALE,0.001643193919162237,0.0008993515058757859,0.009566476411346024,0.0028171192774856016,0.0034238215450111266,0.006336133746584854,0.0006358114614106219,0.002917304600245947,0.003519529543755274,0.004438860373072586,0.005042314213037236,0.0014608926830637235,0.0051013101580540945,0.0009650885277457342,0.005687937376051748,1.3633018924676679e-05,0.005937764764990163,-0.00010267440872608546,0.0001861355696790777,0.0007210965747280439,0.0044570246332562265,0.003460932021903454
ZIM,0.003156666647140557,0.001209464537716365,0.011364942822560554,0.004010133212538093,0.0036329311872738803,0.013023405113966975,0.0007818252264476856,0.0032980364874992583,0.0016909876562727487,0.004033341193113701,0.004949162786999697,0.002853724239818864,0.00527855482637326,0.0013629243195550278,0.01432550760610246,7.52101153654332e-06,0.008638531941488801,4.962646971649024e-05,-8.446858231797878e-05,0.0002755797606144795,0.003460932021903454,0.00890102229807817
