,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.014965500808568033,0.012603823629799917,0.007615743047600276,0.010355708811607717,-0.01450497090209166,0.0031549003952143087,0.003343833312113796,0.002694885185869443,-0.00022464428889294255,0.005007859315402057,-0.017199054358927136,0.00020521461537446688,0.0005925070648083458,-0.0005818808841968183,0.007470451670308468,-0.00013509983245870084,-0.00013740391198050823,-0.0035952383007841785,0.010255607508670432
CLM,0.012603823629799917,0.026594373068832326,0.00811123515868251,0.011657012180582649,-0.017310856598528008,0.004170282694189939,0.0035999366041207176,0.006691450469376363,-0.0027922090478191084,0.008463136834127145,-0.010087262017938801,0.00022479281199622088,0.0008169547034717022,-0.0003430780584603054,0.005167261070179806,-0.001752369790507052,0.0012611607013240536,-0.0037060137816804775,0.011935027248139949
FSK,0.007615743047600276,0.00811123515868251,0.009046833067650107,0.009011510742316866,-0.0031433355807865466,0.003783492202649614,0.0031994266954238075,0.007321829074777105,0.0002032080454077074,0.006488722125736533,-0.0027258362971645357,0.00024874709926555623,0.0008386571204668367,-0.00022199655175440778,0.005141319523407065,0.00020413377244312385,-0.0003007851879450208,-0.0016216994731808243,0.00965516583013163
GGB,0.010355708811607717,0.011657012180582649,0.009011510742316866,0.032050341259687865,-0.0021695272132500006,0.009351455248296631,0.005701051569784967,0.0081950168810118,0.007788771401253048,0.00842037843933346,0.00832783991776434,0.00022883063082561236,0.003005530817810045,-0.0005351773140725136,0.007558742757976244,0.001866670432081822,-0.0017733641468175366,0.0005186021683853792,0.022932801051192584
GNK,-0.01450497090209166,-0.017310856598528008,-0.0031433355807865466,-0.0021695272132500006,0.06727454570577122,0.008631500598217115,-0.002369548200730255,0.015196748108391424,0.012825093965166347,0.007642141398634171,0.05152059413112086,0.00014895384257827826,0.005437120165349383,0.0016669296673715193,0.002985882191019249,0.0005268774892371175,4.11090386480283e-05,0.009203825363758753,0.014518069737176953
GOGL,0.0031549003952143087,0.004170282694189939,0.003783492202649614,0.009351455248296631,0.008631500598217115,0.010329570142258437,0.0019453928087929122,0.0020168742467281306,0.005082627985325746,0.003454326483638165,0.002997540830638388,0.00012029020432966265,0.003498834082969302,-0.00020168515994007372,0.0032932364642468404,0.0010359152493023248,-0.0009596030278689756,0.0007623520912828709,0.014674704092488321
IEP,0.003343833312113796,0.0035999366041207176,0.0031994266954238075,0.005701051569784967,-0.002369548200730255,0.0019453928087929122,0.0037162072925708313,0.0024812423602529276,0.0016798952158745043,0.0039318087310336045,-0.000826736742645575,0.00010364369411824048,0.0003518785182697624,-0.00015135216201414727,0.0018934453428494028,5.610832327562003e-07,-7.507860076433203e-05,-0.0004290864824067489,0.003669495742882171
IVR,0.002694885185869443,0.006691450469376363,0.007321829074777105,0.0081950168810118,0.015196748108391424,0.0020168742467281306,0.0024812423602529276,0.03627131096336017,0.0026389047735015324,0.018853221773620712,0.016535901052541133,0.0003974477450071803,0.0010847682233261883,0.000852265624398576,0.005993155481511973,-0.0024898303675878414,0.0022121334732108726,0.0011318566633051685,0.008262531181391822
MSB,-0.00022464428889294255,-0.0027922090478191084,0.0002032080454077074,0.007788771401253048,0.012825093965166347,0.005082627985325746,0.0016798952158745043,0.0026389047735015324,0.017048104660945463,0.0015929424275044131,0.010210940945629722,6.144460622718441e-05,0.0020139826739185144,3.1115428479485504e-05,0.0031234420774806596,0.0014076614620757405,-0.0012161703780540199,0.003249152529230276,0.007656083721609813
ORC,0.005007859315402057,0.008463136834127145,0.006488722125736533,0.00842037843933346,0.007642141398634171,0.003454326483638165,0.0039318087310336045,0.018853221773620712,0.0015929424275044131,0.0190556431155102,0.006761158860055732,0.00030731484097262194,0.0014444890556090263,0.00029993500074292523,0.00485294464135421,-0.0009344863243146285,0.0007586988810733575,-0.0004391858139346098,0.005863887780190723
