,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.07026684796635448,0.0020563274848473855,0.01253943926460178,0.012499636209671086,0.0051654170221833995,0.003275729325464117,0.003000090150117065,0.026464181079172193,0.0019880687272795243,0.0043830124826449044,0.0026489880584161483,0.0033553665508715084,0.009618648527950103,0.00025901172843271065,0.0876140927591183,0.0005050893600093258,-0.0004003799130475309,-0.0038833478736447855,0.020506573191055658
CLM,0.0020563274848473855,0.0013440217389948,0.001614148139837028,0.000825671748939283,0.0004295702572386294,0.0003978413175283714,0.0004646683319649369,0.0030207003056945455,-1.2971941411454175e-05,0.0005708267078705547,0.0007859750682034584,0.00016692371471077516,0.0011774134124430595,8.102142544022952e-05,0.004160097152204032,-0.000653514952445631,0.0003313767354356606,-0.0005919533025459804,0.0014659477335586377
FSK,0.01253943926460178,0.001614148139837028,0.010880871096061515,0.004691084555853578,0.006824203724676262,0.002623380714804933,0.0024751230299125677,0.012514583993993602,0.0010373741333819682,0.0020607380458362366,0.003996571002274195,0.0010813470918853937,0.007865065422750653,2.4516782144034422e-05,0.02605250808884823,-5.43156275209027e-05,-3.847384457044385e-05,-0.0010382601530256872,0.009185236591579864
GGB,0.012499636209671086,0.000825671748939283,0.004691084555853578,0.025356115229940256,0.012731915094538448,0.004889512962188391,0.0027124515989666717,0.014852095722436922,0.004241791352978309,0.0021932808047445194,0.010758369462697212,0.0011929641800849959,0.014321395974351461,0.00010259219299927609,0.035616131359761286,0.0017876974652172705,-0.0008973141630230225,0.006968681684380278,0.020978724312000766
GNK,0.0051654170221833995,0.0004295702572386294,0.006824203724676262,0.012731915094538448,0.029777564668921983,0.008443923540031265,0.002118753864277661,0.009997432483377977,0.004985284961409221,0.002231857970732057,0.009950450966096099,0.0008095048607017472,0.02878997507027359,-0.00011884796550972757,0.027018392718062768,0.0011338278958231427,-0.0006068169493691476,0.005916235600219907,0.02550910542599245
GOGL,0.003275729325464117,0.0003978413175283714,0.002623380714804933,0.004889512962188391,0.008443923540031265,0.003934575249357282,0.0008444821940746279,0.0026444662123742023,0.0017473442705147957,0.0005909852081705054,0.003247689883964551,0.00040073910056360806,0.011021855620549656,-3.908918767682079e-05,0.011145972475729855,0.0004904825210498973,-0.0002659567385215252,0.001861911127727115,0.008767889727905818
IEP,0.003000090150117065,0.0004646683319649369,0.0024751230299125677,0.0027124515989666717,0.002118753864277661,0.0008444821940746279,0.0016361237965330719,0.003926801755622725,0.0008492353612747544,0.0006072809856694808,0.0022328324094204113,0.00038462697000793633,0.002146905463753529,-1.80534551902696e-05,0.007762487055028284,5.8826452178158465e-05,-4.5032927144815625e-05,0.0008154047939751304,0.0030558350870024554
IVR,0.026464181079172193,0.0030207003056945455,0.012514583993993602,0.014852095722436922,0.009997432483377977,0.0026444662123742023,0.003926801755622725,0.06217844716274534,0.0026710520450868914,0.007505904918491197,0.005789181772747441,0.002317688990631173,0.00905190151715552,0.0006524302390082774,0.048271172912779305,-0.003530446649746667,0.0017513923830525847,-0.0005224387708219652,0.014100109931935573
MSB,0.0019880687272795243,-1.2971941411454175e-05,0.0010373741333819682,0.004241791352978309,0.004985284961409221,0.0017473442705147957,0.0008492353612747544,0.0026710520450868914,0.0037123136386073693,0.0002798566443136325,0.002608687377259719,0.0002750411598345951,0.00544998866353322,-9.275663776821489e-05,0.008643107733947827,0.0006646861336035215,-0.0003576624877132004,0.0026412182993654004,0.004129962660463202
ORC,0.0043830124826449044,0.0005708267078705547,0.0020607380458362366,0.0021932808047445194,0.002231857970732057,0.0005909852081705054,0.0006072809856694808,0.007505904918491197,0.0002798566443136325,0.0014386504312754005,0.0010864649872629145,0.00036112685817127316,0.0020637463759307227,8.98336547721355e-05,0.007606053090338932,-0.00034271291579261216,0.0001611299065608422,-0.0003501690104810168,0.002805604756641745
PBR,0.0026489880584161483,0.0007859750682034584,0.003996571002274195,0.010758369462697212,0.009950450966096099,0.003247689883964551,0.0022328324094204113,0.005789181772747441,0.002608687377259719,0.0010864649872629145,0.011201120074144675,0.0006594667701178996,0.009893479763114452,1.528315518739134e-05,0.013764792479878428,0.0008898610748122707,-0.00047446843549820854,0.0059086612383844744,0.010965498106902914
RYLD,0.0033553665508715084,0.00016692371471077516,0.0010813470918853937,0.0011929641800849959,0.0008095048607017472,0.00040073910056360806,0.00038462697000793633,0.002317688990631173,0.0002750411598345951,0.00036112685817127316,0.0006594667701178996,0.00031631111410423046,0.0011052634008172214,4.491222844359669e-06,0.005751012118987108,6.106745824120543e-05,-4.22038424121651e-05,-3.0033000587921773e-05,0.0015783336198712152
SBLK,0.009618648527950103,0.0011774134124430595,0.007865065422750653,0.014321395974351461,0.02878997507027359,0.011021855620549656,0.002146905463753529,0.00905190151715552,0.00544998866353322,0.0020637463759307227,0.009893479763114452,0.0011052634008172214,0.039187894948912255,-0.0001893273417409725,0.0341245855757652,0.0015052250933591208,-0.0008275672561821206,0.005362557256552206,0.028651057323351607
SHY,0.00025901172843271065,8.102142544022952e-05,2.4516782144034422e-05,0.00010259219299927609,-0.00011884796550972757,-3.908918767682079e-05,-1.80534551902696e-05,0.0006524302390082774,-9.275663776821489e-05,8.98336547721355e-05,1.528315518739134e-05,4.491222844359669e-06,-0.0001893273417409725,7.882460155038981e-05,1.9932042833346812e-05,-0.00039232962435348885,0.00020375140782836153,-7.800838742190672e-05,-6.992208700151652e-05
SOXL,0.0876140927591183,0.004160097152204032,0.02605250808884823,0.035616131359761286,0.027018392718062768,0.011145972475729855,0.007762487055028284,0.048271172912779305,0.008643107733947827,0.007606053090338932,0.013764792479878428,0.005751012118987108,0.0341245855757652,1.9932042833346812e-05,0.17691499898927987,0.004243950145143236,-0.002262357725224302,0.0018452404007223144,0.04850368265195853
TBF,0.0005050893600093258,-0.000653514952445631,-5.43156275209027e-05,0.0017876974652172705,0.0011338278958231427,0.0004904825210498973,5.8826452178158465e-05,-0.003530446649746667,0.0006646861336035215,-0.00034271291579261216,0.0008898610748122707,6.106745824120543e-05,0.0015052250933591208,-0.00039232962435348885,0.004243950145143236,0.004128477234681038,-0.002131152283422654,0.0019229254374592162,0.0018984560766748375
TLT,-0.0004003799130475309,0.0003313767354356606,-3.847384457044385e-05,-0.0008973141630230225,-0.0006068169493691476,-0.0002659567385215252,-4.5032927144815625e-05,0.0017513923830525847,-0.0003576624877132004,0.0001611299065608422,-0.00047446843549820854,-4.22038424121651e-05,-0.0008275672561821206,0.00020375140782836153,-0.002262357725224302,-0.002131152283422654,0.0011062845835221407,-0.0010234933455142304,-0.0009941667829461767
USOI,-0.0038833478736447855,-0.0005919533025459804,-0.0010382601530256872,0.006968681684380278,0.005916235600219907,0.001861911127727115,0.0008154047939751304,-0.0005224387708219652,0.0026412182993654004,-0.0003501690104810168,0.0059086612383844744,-3.0033000587921773e-05,0.005362557256552206,-7.800838742190672e-05,0.0018452404007223144,0.0019229254374592162,-0.0010234933455142304,0.012410337662593312,0.003689064240574503
ZIM,0.020506573191055658,0.0014659477335586377,0.009185236591579864,0.020978724312000766,0.02550910542599245,0.008767889727905818,0.0030558350870024554,0.014100109931935573,0.004129962660463202,0.002805604756641745,0.010965498106902914,0.0015783336198712152,0.028651057323351607,-6.992208700151652e-05,0.04850368265195853,0.0018984560766748375,-0.0009941667829461767,0.003689064240574503,0.04347765374237138
