,CLM,CRF,GNK,GOGL,HYG,IEP,LQD,MSB,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.004038979401025797,0.009082204901719008,0.0031153077491865577,0.00446954052696003,0.00030423892448518147,0.0015633833197395604,0.001172297661189797,0.00016575085854432056,0.003917648404872657,0.0030886355152510763,0.0014621184879651831,0.0014173571456876873,0.0004965682161736598,-0.00046713656713710295,6.91608260995642e-05,0.000530424941990076,0.004095886722975315
CRF,0.009082204901719008,0.02238087472207883,0.005652572382666467,0.008096032931587014,0.0007748037289295778,0.003522882151439504,0.003031657748664572,-8.833638042671918e-06,0.009120501496421329,0.007744297699286598,0.003578643909746266,0.0026613475961654565,0.001510021604864547,-0.0010898324347179383,0.0005312922139323148,0.001298101016936704,0.009571962801741279
GNK,0.0031153077491865577,0.005652572382666467,0.06182817380261233,0.04775927802894023,0.00031292898645457115,0.002911029462098661,-0.0010332878349541513,0.0070114615200185535,0.01999863385892195,0.00417100020730645,0.0035106559836654066,0.016010374167804514,-0.0003587043727059426,0.0010069423600141867,0.006302996952433951,0.0010548240864724438,0.022070529882266474
GOGL,0.00446954052696003,0.008096032931587014,0.04775927802894023,0.0541317718893735,0.0003939343347035385,0.004619762025389232,-0.0005668868531596725,0.005344214860360017,0.01672752443139401,0.001991191310521792,0.003422635447528175,0.015150038536922154,-0.00011433981237440823,0.0007183016736600604,0.004609685387111116,0.0011251377982462165,0.019956265774073674
HYG,0.00030423892448518147,0.0007748037289295778,0.00031292898645457115,0.0003939343347035385,0.00011353675557854968,0.0003495922211417196,0.00042253539546002674,9.459744107109661e-05,0.0005840959029299119,0.0010639596586985163,0.0003549449243984942,0.00010550939511160155,0.00027194110548475504,-9.873200887034954e-05,5.9307284762590176e-05,0.00014395311337502077,0.00037435511057185597
IEP,0.0015633833197395604,0.003522882151439504,0.002911029462098661,0.004619762025389232,0.0003495922211417196,0.005740799991041366,0.0013039112707634668,0.001729374558182651,0.003962406273235899,0.002566442080192533,0.0015578857536238276,0.000847625994404379,0.0007436331941108287,-0.00023567951804284653,0.00136709240450315,0.0005413198052622265,0.0021482476660619637
LQD,0.001172297661189797,0.003031657748664572,-0.0010332878349541513,-0.0005668868531596725,0.00042253539546002674,0.0013039112707634668,0.0032942411995524785,-2.9082332486741868e-05,0.0017853764840582516,0.0036494350206066834,0.0012425460679652404,-0.00043355884507394947,0.0009986110007535983,-0.0018228231396852535,-0.0006196210315329335,0.000431757334132279,7.062176407009098e-05
MSB,0.00016575085854432056,-8.833638042671918e-06,0.0070114615200185535,0.005344214860360017,9.459744107109661e-05,0.001729374558182651,-2.9082332486741868e-05,0.00675005404676087,0.004440898154959524,0.0019257913545345372,0.0009170784549299293,0.0021388120950653192,4.009995007050559e-05,0.00030893138861852324,0.002414436857691182,0.00023290475915513625,0.0033941835486014774
PBR,0.003917648404872657,0.009120501496421329,0.01999863385892195,0.01672752443139401,0.0005840959029299119,0.003962406273235899,0.0017853764840582516,0.004440898154959524,0.04495133649846919,0.004058631410180423,0.0028025500965302517,0.005154953713929755,0.0011254881987552404,-0.00023658344886946358,0.007034412783732793,0.0008906170460010897,0.011350411836821016
QQQX,0.0030886355152510763,0.007744297699286598,0.00417100020730645,0.001991191310521792,0.0010639596586985163,0.002566442080192533,0.0036494350206066834,0.0019257913545345372,0.004058631410180423,0.01613543153183845,0.004545774957865886,0.000714451136195956,0.0026418935160688072,-0.000434437472332945,0.0009586092692206819,0.001851751961276019,0.005118145965647633
RYLD,0.0014621184879651831,0.003578643909746266,0.0035106559836654066,0.003422635447528175,0.0003549449243984942,0.0015578857536238276,0.0012425460679652404,0.0009170784549299293,0.0028025500965302517,0.004545774957865886,0.0026826378529583935,0.0010319983834190466,0.0010268615226439346,-0.00028786888757028934,0.00043461198463784294,0.0009151658572854572,0.0023733408754958076
SBLK,0.0014173571456876873,0.0026613475961654565,0.016010374167804514,0.015150038536922154,0.00010550939511160155,0.000847625994404379,-0.00043355884507394947,0.0021388120950653192,0.005154953713929755,0.000714451136195956,0.0010319983834190466,0.005428213346084789,-9.752657612862782e-05,0.0003410212857431607,0.0014147174824977503,0.00030470354202550025,0.006975267206342369
SVOL,0.0004965682161736598,0.001510021604864547,-0.0003587043727059426,-0.00011433981237440823,0.00027194110548475504,0.0007436331941108287,0.0009986110007535983,4.009995007050559e-05,0.0011254881987552404,0.0026418935160688072,0.0010268615226439346,-9.752657612862782e-05,0.001205920498323968,-0.00013146817274632168,-4.802883716007573e-05,0.000417832381671185,0.000345315473795179
TBF,-0.00046713656713710295,-0.0010898324347179383,0.0010069423600141867,0.0007183016736600604,-9.873200887034954e-05,-0.00023567951804284653,-0.0018228231396852535,0.00030893138861852324,-0.00023658344886946358,-0.000434437472332945,-0.00028786888757028934,0.0003410212857431607,-0.00013146817274632168,0.0016759007035888577,0.0011194498273324996,-2.1439084836175068e-05,0.0006204545154201442
USOI,6.91608260995642e-05,0.0005312922139323148,0.006302996952433951,0.004609685387111116,5.9307284762590176e-05,0.00136709240450315,-0.0006196210315329335,0.002414436857691182,0.007034412783732793,0.0009586092692206819,0.00043461198463784294,0.0014147174824977503,-4.802883716007573e-05,0.0011194498273324996,0.006015732177962126,0.00010865005305343695,0.004172698168324607
XYLD,0.000530424941990076,0.001298101016936704,0.0010548240864724438,0.0011251377982462165,0.00014395311337502077,0.0005413198052622265,0.000431757334132279,0.00023290475915513625,0.0008906170460010897,0.001851751961276019,0.0009151658572854572,0.00030470354202550025,0.000417832381671185,-2.1439084836175068e-05,0.00010865005305343695,0.0003679320021677783,0.0006259172657924056
ZIM,0.004095886722975315,0.009571962801741279,0.022070529882266474,0.019956265774073674,0.00037435511057185597,0.0021482476660619637,7.062176407009098e-05,0.0033941835486014774,0.011350411836821016,0.005118145965647633,0.0023733408754958076,0.006975267206342369,0.000345315473795179,0.0006204545154201442,0.004172698168324607,0.0006259172657924056,0.02842180065060512
