,CLM,CRF,EGLE,GOGL,HYG,IEP,LQD,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.013762481422811232,0.002750108713337729,0.006162235959242747,0.011635796763109012,0.0016146076447539667,0.004534196416766789,0.003228100141000818,0.009252466296661776,0.0027056794290316512,0.0025304420203080837,0.00398023839996698,0.0017226536942176547,-0.0004821971154287966,0.002740892245748408,0.0035992881335524976,0.01462019786657343
CRF,0.002750108713337729,0.0006007155841365363,0.0012528122364861007,0.00220997771905068,0.0003316217746615051,0.0009342162567563955,0.0006107668836433637,0.002172856110061716,0.0005457237703652999,0.0005262212025567758,0.0007797422564349993,0.0003634736295181406,-6.883297507142771e-05,0.0006722100250118638,0.0007295736492150045,0.003142722406012764
EGLE,0.006162235959242747,0.0012528122364861007,0.06491384432270775,0.05674587273597618,0.00032826596430731347,0.00287145895227848,-0.001159616667181555,0.017946271855553163,0.00015208299982639596,0.0014122909763281174,0.025512992979916868,-0.00031120149092085073,0.0007284836431214623,0.010400874926639212,0.0007363844943692588,0.04115553972273714
GOGL,0.011635796763109012,0.00220997771905068,0.05674587273597618,0.06724994455381184,0.0012586575799589613,0.0065122152299734205,0.0005827953461648858,0.018523368451663504,0.0010690216762478512,0.002830095193138254,0.024950878629373098,0.000642247951042625,0.0004700395525593779,0.009877793250280051,0.003662147733476032,0.03710763207843851
HYG,0.0016146076447539667,0.0003316217746615051,0.00032826596430731347,0.0012586575799589613,0.0004237931073602878,0.000740580241716602,0.000858990252307641,0.0016332297589231833,0.0005547229697687267,0.0004356596692895811,0.0004538243516835561,0.0004567091271067902,-0.00015875577718736834,0.0002637706778464575,0.0007235821349727642,0.0014948485668424818
IEP,0.004534196416766789,0.0009342162567563955,0.00287145895227848,0.0065122152299734205,0.000740580241716602,0.005307984916080549,0.0014563700465992184,0.004572351684717981,0.0007587360885469891,0.0010272432632935145,0.001504863340434256,0.0007245721500726793,-0.0001740520223949326,0.0019753916570423857,0.0013843057334483942,0.004403763067077164
LQD,0.003228100141000818,0.0006107668836433637,-0.001159616667181555,0.0005827953461648858,0.000858990252307641,0.0014563700465992184,0.0036286763606706027,0.0027904941442218906,0.0010319137089375497,0.0008052606263574778,-0.0003423367696170657,0.0009509422112406614,-0.0014279549012609389,-0.0006952650659442851,0.0011892431292165676,0.0003661114587447924
PBR,0.009252466296661776,0.002172856110061716,0.017946271855553163,0.018523368451663504,0.0016332297589231833,0.004572351684717981,0.0027904941442218906,0.041593822101001474,0.0017245318106918525,0.002180898936229122,0.006906757746512717,0.0022643780041933467,-0.00020261478575670677,0.009791987249726774,0.002705007441099384,0.018589531653281227
QQQX,0.0027056794290316512,0.0005457237703652999,0.00015208299982639596,0.0010690216762478512,0.0005547229697687267,0.0007587360885469891,0.0010319137089375497,0.0017245318106918525,0.0011837812571815962,0.0007528268481899173,0.0005133797038781826,0.0005812856316636982,-0.0001286695540201958,0.00037144327894066603,0.0012981283830086926,0.002793338612421306
RYLD,0.0025304420203080837,0.0005262212025567758,0.0014122909763281174,0.002830095193138254,0.0004356596692895811,0.0010272432632935145,0.0008052606263574778,0.002180898936229122,0.0007528268481899173,0.0009795386282628413,0.0010946820987528672,0.0005630663249297225,-0.00013908704121759247,0.0004591422021879548,0.0013990148487504144,0.0027343390844675156
SBLK,0.00398023839996698,0.0007797422564349993,0.025512992979916868,0.024950878629373098,0.0004538243516835561,0.001504863340434256,-0.0003423367696170657,0.006906757746512717,0.0005133797038781826,0.0010946820987528672,0.012210569442963882,0.00020044001523859272,0.00040142396844738433,0.004003589240810952,0.0013428079069025944,0.017194000341956287
SVOL,0.0017226536942176547,0.0003634736295181406,-0.00031120149092085073,0.000642247951042625,0.0004567091271067902,0.0007245721500726793,0.0009509422112406614,0.0022643780041933467,0.0005812856316636982,0.0005630663249297225,0.00020044001523859272,0.0009328071013646279,-0.00015201744775614036,0.00010304782841011216,0.0009333867450260606,0.0010506646410460873
TBF,-0.0004821971154287966,-6.883297507142771e-05,0.0007284836431214623,0.0004700395525593779,-0.00015875577718736834,-0.0001740520223949326,-0.0014279549012609389,-0.00020261478575670677,-0.0001286695540201958,-0.00013908704121759247,0.00040142396844738433,-0.00015201744775614036,0.0008681315566127563,0.0009904264053569713,-8.681138772311149e-05,0.000941386200529909
USOI,0.002740892245748408,0.0006722100250118638,0.010400874926639212,0.009877793250280051,0.0002637706778464575,0.0019753916570423857,-0.0006952650659442851,0.009791987249726774,0.00037144327894066603,0.0004591422021879548,0.004003589240810952,0.00010304782841011216,0.0009904264053569713,0.009549449721558452,0.0004336184908904127,0.010088398771919884
XYLD,0.0035992881335524976,0.0007295736492150045,0.0007363844943692588,0.003662147733476032,0.0007235821349727642,0.0013843057334483942,0.0011892431292165676,0.002705007441099384,0.0012981283830086926,0.0013990148487504144,0.0013428079069025944,0.0009333867450260606,-8.681138772311149e-05,0.0004336184908904127,0.002395046763237471,0.0029470490072103814
ZIM,0.01462019786657343,0.003142722406012764,0.04115553972273714,0.03710763207843851,0.0014948485668424818,0.004403763067077164,0.0003661114587447924,0.018589531653281227,0.002793338612421306,0.0027343390844675156,0.017194000341956287,0.0010506646410460873,0.000941386200529909,0.010088398771919884,0.0029470490072103814,0.07477705486462022
