,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.0173746880524104,0.0038186893837646144,0.02936381984970042,0.005551118185193968,0.006787487073469113,0.0019575555773764823,0.0024864546050749592,0.00444831900247032,0.00358720092547287,0.0018693414271739894,0.0016426942795934728,0.004027101065701518,0.0032747029781883953,6.650655699000738e-05,0.024945844821332504,0.0001196272503191398,-0.00032160988471064685,-0.000366658369244874,0.009048200819267455
CLM,0.0038186893837646144,0.014473001522192252,0.008724986683846303,0.004308028305846638,0.00245996074510328,0.0007318700826961248,0.0017625079850981872,0.003029979563296655,0.0005637936604584267,0.001320158897979255,0.0017094704258029654,0.0014423863516854936,0.0007214481695752312,9.082510951094724e-05,0.008211094380734035,-0.0022557945193391596,0.002306186247224791,-0.00033885766898166593,0.0030973087374328934
FNGU,0.02936381984970042,0.008724986683846303,0.06476094399924147,0.014126902071490468,0.020121684214763683,0.006975050166827658,0.006404486536039864,0.009268740857906863,0.011016400546815085,0.0037529962217883943,0.005746022297645925,0.008287444107869678,0.010364710423744138,5.491029102623639e-05,0.05560584670876243,0.0018989187180564345,-0.0022946869287475326,6.171152121046576e-05,0.020098515675619964
FSK,0.005551118185193968,0.004308028305846638,0.014126902071490468,0.008501045479387365,0.0051408725569524315,0.004434080129093543,0.002869710208251317,0.003568694336247861,0.004248634832606103,0.0014927155015582035,0.003085622161076849,0.002403179401337441,0.005182947831121996,-4.375628395713152e-08,0.014102165397338488,-9.887601195584817e-05,8.060642701426668e-06,-0.00017694928538684713,0.008264382680657935
GGB,0.006787487073469113,0.00245996074510328,0.020121684214763683,0.0051408725569524315,0.02585279154844747,0.009777497677500252,0.0035015881209450738,0.004266957831058797,0.012447316304923418,0.001359795772465006,0.007153844473479826,0.0031435318288481583,0.011900732711548389,8.790950332244049e-07,0.023695948951463743,0.0015057450527839987,-0.0015510971985956677,0.0013619831833208192,0.02223813563480945
GOGL,0.0019575555773764823,0.0007318700826961248,0.006975050166827658,0.004434080129093543,0.009777497677500252,0.015355866402303254,0.0018003384209216873,0.0012251716120228768,0.0071989098923282546,0.0008233054453562619,0.004790582518305339,0.0017168258934277193,0.01673129943752225,-2.9216502075925895e-05,0.009937083192698008,0.0014140793274357434,-0.0015049332324982697,0.0008656953605177552,0.018303152327150855
IEP,0.0024864546050749592,0.0017625079850981872,0.006404486536039864,0.002869710208251317,0.0035015881209450738,0.0018003384209216873,0.0024874290071273276,0.0015213661143281345,0.0028043074483188944,0.0006532583789943047,0.001940703091849665,0.0012815856608558716,0.002093970862111678,-3.3966816327233347e-06,0.007352264187332025,9.637313566838361e-05,-0.00013769701225332487,0.00026783000864427186,0.0043423336232314294
IVR,0.00444831900247032,0.003029979563296655,0.009268740857906863,0.003568694336247861,0.004266957831058797,0.0012251716120228768,0.0015213661143281345,0.006716451217562408,0.001762461252339674,0.002166011669196614,0.0010944816171078533,0.0018436635802563158,0.0013006620717330127,6.726579413528386e-05,0.009833002097234677,-0.0013263623803945763,0.0013428602079600133,-6.493210076685347e-05,0.004194338198411338
MSB,0.00358720092547287,0.0005637936604584267,0.011016400546815085,0.004248634832606103,0.012447316304923418,0.0071989098923282546,0.0028043074483188944,0.001762461252339674,0.017455422295210337,0.0005396445298646315,0.0058531851719897336,0.0022782970230453637,0.008680908993553194,-2.649507989429736e-06,0.014667306620962457,0.0006453903216535616,-0.0006608527808364035,0.0013131363125702283,0.011556888074126942
ORC,0.0018693414271739894,0.001320158897979255,0.0037529962217883943,0.0014927155015582035,0.001359795772465006,0.0008233054453562619,0.0006532583789943047,0.002166011669196614,0.0005396445298646315,0.0011011077316497643,0.0005664151813724189,0.0007522441025258939,0.0011577849661453066,2.2266479587299466e-05,0.003965663604246306,-0.00019749063973248908,0.00017349007914556127,-2.926810677716564e-05,0.002094994335552294
PBR,0.0016426942795934728,0.0017094704258029654,0.005746022297645925,0.003085622161076849,0.007153844473479826,0.004790582518305339,0.001940703091849665,0.0010944816171078533,0.0058531851719897336,0.0005664151813724189,0.005649438068500403,0.0013962556120857064,0.005566178579486288,3.3760556774504955e-06,0.007249687048337689,0.00013149668165255332,-0.00014642857696525578,0.0007977126347880271,0.007782786265696382
RYLD,0.004027101065701518,0.0014423863516854936,0.008287444107869678,0.002403179401337441,0.0031435318288481583,0.0017168258934277193,0.0012815856608558716,0.0018436635802563158,0.0022782970230453637,0.0007522441025258939,0.0013962556120857064,0.0017601277592159612,0.002017552246297578,7.780191708276734e-06,0.008609119904664272,1.0477242994110383e-06,-5.079664830451097e-05,6.649396041625899e-05,0.004018456539082923
SBLK,0.0032747029781883953,0.0007214481695752312,0.010364710423744138,0.005182947831121996,0.011900732711548389,0.01673129943752225,0.002093970862111678,0.0013006620717330127,0.008680908993553194,0.0011577849661453066,0.005566178579486288,0.002017552246297578,0.023618580163309984,-3.801191323073712e-05,0.013092983463157086,0.0018831207538476558,-0.0020427119601825468,0.0009922745993356226,0.02405657841063691
SHY,6.650655699000738e-05,9.082510951094724e-05,5.491029102623639e-05,-4.375628395713152e-08,8.790950332244049e-07,-2.9216502075925895e-05,-3.3966816327233347e-06,6.726579413528386e-05,-2.649507989429736e-06,2.2266479587299466e-05,3.3760556774504955e-06,7.780191708276734e-06,-3.801191323073712e-05,6.337626714928274e-06,2.9956721817129118e-05,-0.00010262103443487175,0.00010748574607815114,-2.7618532125425616e-07,-2.6544586495201223e-06
SOXL,0.024945844821332504,0.008211094380734035,0.05560584670876243,0.014102165397338488,0.023695948951463743,0.009937083192698008,0.007352264187332025,0.009833002097234677,0.014667306620962457,0.003965663604246306,0.007249687048337689,0.008609119904664272,0.013092983463157086,2.9956721817129118e-05,0.06236213928889845,0.001518988309949645,-0.0017319200633524267,0.0005531500050221594,0.027804795889408217
TBF,0.0001196272503191398,-0.0022557945193391596,0.0018989187180564345,-9.887601195584817e-05,0.0015057450527839987,0.0014140793274357434,9.637313566838361e-05,-0.0013263623803945763,0.0006453903216535616,-0.00019749063973248908,0.00013149668165255332,1.0477242994110383e-06,0.0018831207538476558,-0.00010262103443487175,0.001518988309949645,0.0034851660379189666,-0.003672121899745468,0.00024368448480630077,0.0011914849935847293
TLT,-0.00032160988471064685,0.002306186247224791,-0.0022946869287475326,8.060642701426668e-06,-0.0015510971985956677,-0.0015049332324982697,-0.00013769701225332487,0.0013428602079600133,-0.0006608527808364035,0.00017349007914556127,-0.00014642857696525578,-5.079664830451097e-05,-0.0020427119601825468,0.00010748574607815114,-0.0017319200633524267,-0.003672121899745468,0.003890049054826032,-0.0002676955112923764,-0.0013066183887168663
USOI,-0.000366658369244874,-0.00033885766898166593,6.171152121046576e-05,-0.00017694928538684713,0.0013619831833208192,0.0008656953605177552,0.00026783000864427186,-6.493210076685347e-05,0.0013131363125702283,-2.926810677716564e-05,0.0007977126347880271,6.649396041625899e-05,0.0009922745993356226,-2.7618532125425616e-07,0.0005531500050221594,0.00024368448480630077,-0.0002676955112923764,0.0005123311353891428,0.0005810680151600712
ZIM,0.009048200819267455,0.0030973087374328934,0.020098515675619964,0.008264382680657935,0.02223813563480945,0.018303152327150855,0.0043423336232314294,0.004194338198411338,0.011556888074126942,0.002094994335552294,0.007782786265696382,0.004018456539082923,0.02405657841063691,-2.6544586495201223e-06,0.027804795889408217,0.0011914849935847293,-0.0013066183887168663,0.0005810680151600712,0.04627537130274037
