,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.008024950773089234,0.003983731214703355,0.018172209271491383,0.0029232818037717274,0.0025122238462522667,0.0018508330696870878,0.001961269935703877,0.005294682491835196,0.002160331488662535,0.0018282000602855804,0.0020563837935045058,0.0013429565322110434,0.001505341895420729,8.614615924736853e-05,0.021374646861022466,1.3501667282041722e-05,-9.94466101876567e-05,-0.0009170001919580981,0.00648769888101173
CLM,0.003983731214703355,0.03327434225720995,0.012291979467377676,0.00511460371370231,0.002008507497991465,0.0017543356329680927,0.00315275368370061,0.00809330688698999,0.0009395144877511714,0.0029138138225277633,0.004711138828676984,0.0010817742691528443,0.0009210047171943202,0.0002606116187298108,0.015997790786075945,-0.001236800407523428,0.0020327709610117382,-0.0020653589065796666,0.005228158222166538
FNGU,0.018172209271491383,0.012291979467377676,0.0536419140157381,0.010094834977697593,0.009858632331370146,0.009220530502017883,0.006863125837813522,0.014860313769896414,0.008915743987623567,0.004975174639215423,0.009336896138972256,0.003696461526850853,0.006891924667279369,9.907780409932453e-05,0.06381073571924613,0.0004985820957882265,-0.0009931908099609374,0.0001869694739658537,0.01955978876798204
FSK,0.0029232818037717274,0.00511460371370231,0.010094834977697593,0.005222458279138851,0.00226623583758012,0.0049568217757600865,0.0026946016091780644,0.0049205951170290425,0.002867895247122181,0.0017169704539625123,0.004605501835882901,0.0009238810484127092,0.0028647052863832617,-3.6110877712937157e-06,0.01384102812065866,-2.506257715429244e-05,-1.0926830973123658e-06,-0.0003440389816145694,0.006734658469281315
GGB,0.0025122238462522667,0.002008507497991465,0.009858632331370146,0.00226623583758012,0.007699538651386132,0.007396776624370081,0.0022078639295748837,0.004141063091669535,0.0057479644279218745,0.0010737323954930103,0.0071448219681330746,0.0008365851739647873,0.004489387450273532,2.955125697214807e-06,0.015978986653057074,0.00032091020759055135,-0.0005293268024511418,0.0030976349161071777,0.012198637079916115
GOGL,0.0018508330696870878,0.0017543356329680927,0.009220530502017883,0.0049568217757600865,0.007396776624370081,0.030264766117904043,0.003249970777119348,0.003141034500181701,0.008761707335680165,0.0018199374951552978,0.012168218796576397,0.001171958917753981,0.016843103524471974,-8.360367314240291e-05,0.017508194207181957,0.0005916345671832096,-0.0010052950121167943,0.004980474826140916,0.026567172466440976
IEP,0.001961269935703877,0.00315275368370061,0.006863125837813522,0.0026946016091780644,0.0022078639295748837,0.003249970777119348,0.0034469731650272066,0.003144688355175069,0.0028564797999714037,0.0011128756955584348,0.004251854671807778,0.0007346511683828607,0.0019227109348837993,-7.94041931729574e-06,0.010664332768430556,5.910643185436643e-05,-0.00012083749641525018,0.0014646904904850792,0.005023166909832992
IVR,0.005294682491835196,0.00809330688698999,0.014860313769896414,0.0049205951170290425,0.004141063091669535,0.003141034500181701,0.003144688355175069,0.020954091138348837,0.0026770106317800784,0.005577701879216573,0.003709053084626907,0.0015921018075078053,0.0016156888795827106,0.00022248639752736453,0.021624875476492746,-0.0007987088383287228,0.0012973603669645384,-0.0001549026027620925,0.00747324456641546
MSB,0.002160331488662535,0.0009395144877511714,0.008915743987623567,0.002867895247122181,0.0057479644279218745,0.008761707335680165,0.0028564797999714037,0.0026770106317800784,0.012857406418127555,0.0006851116689042317,0.009022324958202627,0.0009658597434626992,0.005359172995848855,-1.9543851243304946e-06,0.016174410319090664,0.00012771938146725965,-0.000207055345497003,0.004660503716889541,0.010657727454878573
ORC,0.0018282000602855804,0.0029138138225277633,0.004975174639215423,0.0017169704539625123,0.0010737323954930103,0.0018199374951552978,0.0011128756955584348,0.005577701879216573,0.0006851116689042317,0.0023449179767320804,0.0016045272674676976,0.0005353668478124604,0.0012447725456139769,6.066992466327765e-05,0.007125032071113502,-8.203911491750248e-05,0.00011140929929573582,-1.3245144576669578e-05,0.002971895970979134
