,CLM,CRF,GOGL,HYG,IEP,LQD,PBR,QQQX,RIV,RYLD,SBLK,SVOL,TBF,XYLD,ZIM
CLM,0.013623508928547795,0.004649352057256266,0.006607230261956215,0.002220886803553841,0.002696802524322288,0.0012203053073419818,0.0062131935589940625,0.008719209285948102,0.0018596842255604294,0.004632573083082242,0.007857068364084369,0.0019456804312136975,-0.0015318762284691782,0.002686868203513536,0.017900489761182886
CRF,0.004649352057256266,0.0017286056393249084,0.0022731291440929407,0.0007776769162980374,0.000955452519913333,0.00041161302109755536,0.0025058493160592774,0.00311642513240988,0.000679233130616602,0.0016667776113004206,0.002789571206584193,0.0007092826291302683,-0.00048331724630313797,0.0009744168769036124,0.00652683401799646
GOGL,0.006607230261956215,0.0022731291440929407,0.01439294320779077,0.0008671133409036872,0.002047831442957337,0.00024333343108287633,0.005994080876275553,0.003864779578787835,0.0007689364510976988,0.0025149074314868977,0.018271372185530533,0.0007769777162147648,0.0003152155033225477,0.0015080987895972418,0.01651839559779594
HYG,0.002220886803553841,0.0007776769162980374,0.0008671133409036872,0.0006395306251258595,0.0005264104211378204,0.000347588242721437,0.0010936657695630177,0.0021862364670720033,0.00023313036240114296,0.0009745696301557533,0.0009258396943045174,0.0005953830408595629,-0.00045292409772851354,0.0006792615244746587,0.0026280116553555797
IEP,0.002696802524322288,0.000955452519913333,0.002047831442957337,0.0005264104211378204,0.001421707167956875,0.0002826462067259571,0.0015511383938673173,0.0017587038182381126,0.00039477450903238316,0.0010553204125278892,0.0018487175276227757,0.00044692703796980407,-0.0003150192220324721,0.0006396434814509853,0.0033391443785706376
LQD,0.0012203053073419818,0.00041161302109755536,0.00024333343108287633,0.000347588242721437,0.0002826462067259571,0.0003515389302366578,0.0007514459308903045,0.0011178224388561071,0.0001390122336605358,0.0005153373742547719,-3.889953965671791e-05,0.0003134290059962319,-0.0007761964073072574,0.00031426758994682334,0.0009397130336100532
PBR,0.0062131935589940625,0.0025058493160592774,0.005994080876275553,0.0010936657695630177,0.0015511383938673173,0.0007514459308903045,0.01965040388046281,0.00416286332371364,0.0011206364394715936,0.0025791113928207254,0.006518591073506233,0.001588687780244425,-0.0007948063725378169,0.0015582849518376248,0.012090727368208988
QQQX,0.008719209285948102,0.00311642513240988,0.003864779578787835,0.0021862364670720033,0.0017587038182381126,0.0011178224388561071,0.00416286332371364,0.010487403313587619,0.0010082007307942473,0.004251767535832252,0.005380458041616213,0.0018732606257163575,-0.0012063947938220861,0.0029720632532033915,0.013181524133075172
RIV,0.0018596842255604294,0.000679233130616602,0.0007689364510976988,0.00023313036240114296,0.00039477450903238316,0.0001390122336605358,0.0011206364394715936,0.0010082007307942473,0.00046167722751313465,0.000707272456983973,0.0009020736033867358,0.00022843224999136912,-0.00019640753808692103,0.0003539640310129484,0.002130610029807646
RYLD,0.004632573083082242,0.0016667776113004206,0.0025149074314868977,0.0009745696301557533,0.0010553204125278892,0.0005153373742547719,0.0025791113928207254,0.004251767535832252,0.000707272456983973,0.002600318858193538,0.0032523244932780664,0.0009962803638149567,-0.0007236691076521655,0.0015991232561304353,0.0061215632297392415
SBLK,0.007857068364084369,0.002789571206584193,0.018271372185530533,0.0009258396943045174,0.0018487175276227757,-3.889953965671791e-05,0.006518591073506233,0.005380458041616213,0.0009020736033867358,0.0032523244932780664,0.03067965942259144,0.0009369054518558816,0.001306197810686032,0.0018800121893896339,0.02688992513569255
SVOL,0.0019456804312136975,0.0007092826291302683,0.0007769777162147648,0.0005953830408595629,0.00044692703796980407,0.0003134290059962319,0.001588687780244425,0.0018732606257163575,0.00022843224999136912,0.0009962803638149567,0.0009369054518558816,0.0009073765270365211,-0.0003587871599096998,0.000687973862507182,0.0023141410617150532
TBF,-0.0015318762284691782,-0.00048331724630313797,0.0003152155033225477,-0.00045292409772851354,-0.0003150192220324721,-0.0007761964073072574,-0.0007948063725378169,-0.0012063947938220861,-0.00019640753808692103,-0.0007236691076521655,0.001306197810686032,-0.0003587871599096998,0.0024857394346461505,-0.00032155735492408127,4.3650150988995155e-05
XYLD,0.002686868203513536,0.0009744168769036124,0.0015080987895972418,0.0006792615244746587,0.0006396434814509853,0.00031426758994682334,0.0015582849518376248,0.0029720632532033915,0.0003539640310129484,0.0015991232561304353,0.0018800121893896339,0.000687973862507182,-0.00032155735492408127,0.0011594634278113268,0.003146525638506646
ZIM,0.017900489761182886,0.00652683401799646,0.01651839559779594,0.0026280116553555797,0.0033391443785706376,0.0009397130336100532,0.012090727368208988,0.013181524133075172,0.002130610029807646,0.0061215632297392415,0.02688992513569255,0.0023141410617150532,4.3650150988995155e-05,0.003146525638506646,0.07442954172162917
