,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,QQQ,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.007429065910175345,0.008768132625679152,0.0030274179496002783,0.00182323209658175,0.0019095655767234663,0.0034080751926136334,0.0024080073300945704,0.0076876088265329,0.004682784503736302,0.004825446763625233,0.0018160231773584102,0.0031011079029381085,-0.0012648236004460902,0.0017321787614908168,0.004001788912733568,0.0019739397486628184
CRF,0.008768132625679152,0.01117270482945276,0.0036359629909000404,0.002271864287906821,0.0023449263423177247,0.004485383047339477,0.002936596793682193,0.00957471894757572,0.005842291124774109,0.006204652964253799,0.002296397556781416,0.004037801441922505,-0.0014340179102082383,0.0019789914185193444,0.005175924237134545,0.0025335339857607136
GOGL,0.0030274179496002783,0.0036359629909000404,0.006664472530668603,0.0006708070195948343,0.0012426401815130814,0.0014120274502140676,0.0004230324940274697,0.0027727621323002916,0.0017439208036620643,0.0025434512463979424,0.004756534990563164,0.001231732783130043,0.00016923246564557617,-0.0002639014096744953,0.0020585785451023397,0.0018133183360460737
HYG,0.00182323209658175,0.002271864287906821,0.0006708070195948343,0.000881109871809158,0.0005291618107534852,0.0016209103359642462,0.001115322771757785,0.003371029828563724,0.0008832054930481883,0.0019179631833630753,0.0003095375667404683,0.00151329036012868,-0.000591755326193108,0.0008208957755110786,0.001751285146099055,0.00043260544730743894
IEP,0.0019095655767234663,0.0023449263423177247,0.0012426401815130814,0.0005291618107534852,0.001145088601819059,0.0010842366195110518,0.0005813651455740385,0.002202512135398125,0.0014186231218621982,0.001595360910443565,0.0005559821334766136,0.0008613876881823057,-0.0001549151629033257,0.00019602264974755536,0.0013376979892411496,0.0005324803269257875
JEPI,0.0034080751926136334,0.004485383047339477,0.0014120274502140676,0.0016209103359642462,0.0010842366195110518,0.004555672306663399,0.001979626301078017,0.007425375090384253,0.0022126511240571057,0.004964901249858637,0.0005139007744513152,0.0031482198862839857,-0.0007759219886936521,0.0010854174196261988,0.004810563177410163,0.0010952348626403964
LQD,0.0024080073300945704,0.002936596793682193,0.0004230324940274697,0.001115322771757785,0.0005813651455740385,0.001979626301078017,0.0024287591922555044,0.0039361352039020085,0.0013937182284177554,0.0023926927971788365,-0.00012094498961453652,0.0018811597742447162,-0.002033371440767594,0.002816811020781558,0.001992294651849922,0.0003863501861761483
QQQ,0.0076876088265329,0.00957471894757572,0.0027727621323002916,0.003371029828563724,0.002202512135398125,0.007425375090384253,0.0039361352039020085,0.01762226818964895,0.004561639432072232,0.009010003724099762,0.0013386785511211841,0.006070646046930684,-0.0012577987459385428,0.0017463893125903298,0.00876574701957649,0.0023960969639054953
RIV,0.004682784503736302,0.005842291124774109,0.0017439208036620643,0.0008832054930481883,0.0014186231218621982,0.0022126511240571057,0.0013937182284177554,0.004561639432072232,0.006102975863869225,0.003872629349138144,0.0007227311398793142,0.0016391255594302937,-0.0005888609036192965,0.0007927977470573649,0.00280575230662973,0.001127430515576419
RYLD,0.004825446763625233,0.006204652964253799,0.0025434512463979424,0.0019179631833630753,0.001595360910443565,0.004964901249858637,0.0023926927971788365,0.009010003724099762,0.003872629349138144,0.006968485445373799,0.0014242703564382405,0.0034730688423819708,-0.001096163443175414,0.001530425179327014,0.005913367315565916,0.001544133548754558
SBLK,0.0018160231773584102,0.002296397556781416,0.004756534990563164,0.0003095375667404683,0.0005559821334766136,0.0005139007744513152,-0.00012094498961453652,0.0013386785511211841,0.0007227311398793142,0.0014242703564382405,0.004574157387276611,0.0007725410888295959,0.0004156588017417163,-0.0006186883314242309,0.0010544982597696859,0.0014784249321636027
SVOL,0.0031011079029381085,0.004037801441922505,0.001231732783130043,0.00151329036012868,0.0008613876881823057,0.0031482198862839857,0.0018811597742447162,0.006070646046930684,0.0016391255594302937,0.0034730688423819708,0.0007725410888295959,0.004239476425472795,-0.0009049135564530747,0.001252712103653823,0.003234910598295745,0.000832124941789966
TBF,-0.0012648236004460902,-0.0014340179102082383,0.00016923246564557617,-0.000591755326193108,-0.0001549151629033257,-0.0007759219886936521,-0.002033371440767594,-0.0012577987459385428,-0.0005888609036192965,-0.001096163443175414,0.0004156588017417163,-0.0009049135564530747,0.0025756430360634546,-0.003571491117423075,-0.0006488491889513347,4.2931069351403675e-05
TLT,0.0017321787614908168,0.0019789914185193444,-0.0002639014096744953,0.0008208957755110786,0.00019602264974755536,0.0010854174196261988,0.002816811020781558,0.0017463893125903298,0.0007927977470573649,0.001530425179327014,-0.0006186883314242309,0.001252712103653823,-0.003571491117423075,0.004964661881160765,0.0009083651650397405,-6.364528739116815e-05
XYLD,0.004001788912733568,0.005175924237134545,0.0020585785451023397,0.001751285146099055,0.0013376979892411496,0.004810563177410163,0.001992294651849922,0.00876574701957649,0.00280575230662973,0.005913367315565916,0.0010544982597696859,0.003234910598295745,-0.0006488491889513347,0.0009083651650397405,0.005738986315103205,0.001193531871065982
ZIM,0.0019739397486628184,0.0025335339857607136,0.0018133183360460737,0.00043260544730743894,0.0005324803269257875,0.0010952348626403964,0.0003863501861761483,0.0023960969639054953,0.001127430515576419,0.001544133548754558,0.0014784249321636027,0.000832124941789966,4.2931069351403675e-05,-6.364528739116815e-05,0.001193531871065982,0.0018662287158431213
