,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.0005631416820158526,0.0019051199161944218,0.0018822770174926687,0.00043429347748324504,0.0006078444592212291,0.00046924239654565415,0.0007863631520429359,0.0018062398902059598,0.0012623525031194586,0.0010532772154833697,0.0009048161062221333,-0.00018620377354487035,0.0006648724636543875,0.0007515493354169719,0.0026317284553727845
CRF,0.0019051199161944218,0.006989298941245145,0.006380545224765782,0.0015284881398100073,0.0021349707296485177,0.0017613199941417302,0.002675676699031013,0.006536918407439336,0.00464069975211328,0.0037047988107550035,0.00332237158144891,-0.0005790815019310231,0.00207632528465017,0.002775861404976459,0.009778341700006547
GOGL,0.0018822770174926687,0.006380545224765782,0.03204051220547608,0.001254975347633907,0.003286759115658269,0.0015147721923319385,0.0010633558619791822,0.005421483508158948,0.005125852357183631,0.020807308589939125,0.002775877726548217,0.00018336258115030722,-0.000737076779425135,0.0030114062674142313,0.01872699431262568
HYG,0.00043429347748324504,0.0015284881398100073,0.001254975347633907,0.0006374292817548302,0.0005414233729272865,0.0006778497083983879,0.0010946319134455984,0.001044720640591507,0.0015121599546906385,0.0005258784805558932,0.0013329262720533444,-0.0002582527588507112,0.0009322138675734911,0.0009977410688991012,0.0016549912661432394
IEP,0.0006078444592212291,0.0021349707296485177,0.003286759115658269,0.0005414233729272865,0.0015144925073338228,0.0006343562707248053,0.0008431703599113152,0.002277791461358854,0.00177489157611463,0.0014237730848015034,0.0010871752221420351,-0.00011964583560890276,0.0004082993078837672,0.0010659743732911841,0.0030188235305959395
JEPI,0.00046924239654565415,0.0017613199941417302,0.0015147721923319385,0.0006778497083983879,0.0006343562707248053,0.0011115730843619118,0.0011138563544164227,0.0015496416860277535,0.0022960874153554606,0.0004855751405472333,0.0016043504473867817,-0.00019185881550046432,0.000697088719584424,0.0016014999908048834,0.002553132450834583
LQD,0.0007863631520429359,0.002675676699031013,0.0010633558619791822,0.0010946319134455984,0.0008431703599113152,0.0011138563544164227,0.0031975918319626664,0.002215597896831119,0.0025158082674378,-0.0002970861763616271,0.0022405245897556703,-0.0011750429174442226,0.004230575351920385,0.001523124356629735,0.0017591165336927868
RIV,0.0018062398902059598,0.006536918407439336,0.005421483508158948,0.001044720640591507,0.002277791461358854,0.0015496416860277535,0.002215597896831119,0.012290327032457788,0.0051900348587358685,0.0020556389881296617,0.0023790624784044393,-0.00040527071688585835,0.0014111715365168712,0.002688391218559128,0.007956280775749718
RYLD,0.0012623525031194586,0.00464069975211328,0.005125852357183631,0.0015121599546906385,0.00177489157611463,0.0022960874153554606,0.0025158082674378,0.0051900348587358685,0.006112463169583806,0.0025457571207749535,0.003332181878664933,-0.0004980839431712357,0.0018032900890035163,0.003733034258981619,0.00683940543293632
SBLK,0.0010532772154833697,0.0037047988107550035,0.020807308589939125,0.0005258784805558932,0.0014237730848015034,0.0004855751405472333,-0.0002970861763616271,0.0020556389881296617,0.0025457571207749535,0.018232455238229025,0.0015636924932435968,0.0004244660888374882,-0.0016335318096836907,0.0013791272628901608,0.013795933906714398
SVOL,0.0009048161062221333,0.00332237158144891,0.002775877726548217,0.0013329262720533444,0.0010871752221420351,0.0016043504473867817,0.0022405245897556703,0.0023790624784044393,0.003332181878664933,0.0015636924932435968,0.00453027890187506,-0.00047842995840192433,0.0017232257027020202,0.0022452394852109704,0.003881699031980396
TBF,-0.00018620377354487035,-0.0005790815019310231,0.00018336258115030722,-0.0002582527588507112,-0.00011964583560890276,-0.00019185881550046432,-0.0011750429174442226,-0.00040527071688585835,-0.0004980839431712357,0.0004244660888374882,-0.00047842995840192433,0.0006491924809581735,-0.002338241954720935,-0.00021622313826306667,0.00024597211511609543
TLT,0.0006648724636543875,0.00207632528465017,-0.000737076779425135,0.0009322138675734911,0.0004082993078837672,0.000697088719584424,0.004230575351920385,0.0014111715365168712,0.0018032900890035163,-0.0016335318096836907,0.0017232257027020202,-0.002338241954720935,0.008443077973946188,0.0007860378111098642,-0.0009357480216713595
XYLD,0.0007515493354169719,0.002775861404976459,0.0030114062674142313,0.0009977410688991012,0.0010659743732911841,0.0016014999908048834,0.001523124356629735,0.002688391218559128,0.003733034258981619,0.0013791272628901608,0.0022452394852109704,-0.00021622313826306667,0.0007860378111098642,0.002607953779901619,0.00379438141930768
ZIM,0.0026317284553727845,0.009778341700006547,0.01872699431262568,0.0016549912661432394,0.0030188235305959395,0.002553132450834583,0.0017591165336927868,0.007956280775749718,0.00683940543293632,0.013795933906714398,0.003881699031980396,0.00024597211511609543,-0.0009357480216713595,0.00379438141930768,0.0441101194944229
