,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.001851947,0.003326607,0.003204367,0.000318159,0.001359124,0.001214222,0.000608353,0.004069378,0.002143318,0.003217587,0.001000688,-0.001190795,0.00035691,0.001946753,0.002579053
CRF,0.003326607,0.006474618,0.005744846,0.000596384,0.002534153,0.002375195,0.001085863,0.007678262,0.004094235,0.006022911,0.00195489,-0.001993436,0.000596016,0.003710649,0.005073849
GOGL,0.003204367,0.005744846,0.027690734,0.000442776,0.003980679,0.002156782,0.0003994,0.005596832,0.004642086,0.030975388,0.001447058,0.000784079,-0.000266795,0.004120556,0.010297332
HYG,0.000318159,0.000596384,0.000442776,9.56E-05,0.000281509,0.000374986,0.000180057,0.000493093,0.000506148,0.000387365,0.000317382,-0.000369302,0.000110335,0.000532302,0.00042155
IEP,0.001359124,0.002534153,0.003980679,0.000281509,0.002787737,0.001234475,0.00048411,0.003329131,0.002081422,0.00272356,0.000882621,-0.00058068,0.000166117,0.001980079,0.002075853
JEPI,0.001214222,0.002375195,0.002156782,0.000374986,0.001234475,0.002274932,0.000668437,0.00257211,0.0028143,0.00149644,0.001427406,-0.000980401,0.000298212,0.00315397,0.00236417
LQD,0.000608353,0.001085863,0.0003994,0.000180057,0.00048411,0.000668437,0.000587934,0.001109303,0.00091716,-0.000223723,0.000586447,-0.001842789,0.000552743,0.000871165,0.000421689
RIV,0.004069378,0.007678262,0.005596832,0.000493093,0.003329131,0.00257211,0.001109303,0.019816049,0.005401004,0.003410111,0.001719759,-0.001228301,0.000412671,0.004480548,0.005092705
RYLD,0.002143318,0.004094235,0.004642086,0.000506148,0.002081422,0.0028143,0.00091716,0.005401004,0.004622812,0.004703259,0.00186188,-0.001637583,0.000489176,0.004439555,0.004113289
SBLK,0.003217587,0.006022911,0.030975388,0.000387365,0.00272356,0.00149644,-0.000223723,0.003410111,0.004703259,0.047463495,0.00135425,0.002669276,-0.000885735,0.003683824,0.013567459
SVOL,0.001000688,0.00195489,0.001447058,0.000317382,0.000882621,0.001427406,0.000586447,0.001719759,0.00186188,0.00135425,0.001706083,-0.001077946,0.000321603,0.001952252,0.001343759
TBF,-0.001190795,-0.001993436,0.000784079,-0.000369302,-0.00058068,-0.000980401,-0.001842789,-0.001228301,-0.001637583,0.002669276,-0.001077946,0.008752182,-0.002608475,-0.001021455,0.000830432
TLT,0.00035691,0.000596016,-0.000266795,0.000110335,0.000166117,0.000298212,0.000552743,0.000412671,0.000489176,-0.000885735,0.000321603,-0.002608475,0.000781286,0.000312782,-0.000259779
XYLD,0.001946753,0.003710649,0.004120556,0.000532302,0.001980079,0.00315397,0.000871165,0.004480548,0.004439555,0.003683824,0.001952252,-0.001021455,0.000312782,0.004982796,0.003467101
ZIM,0.002579053,0.005073849,0.010297332,0.00042155,0.002075853,0.00236417,0.000421689,0.005092705,0.004113289,0.013567459,0.001343759,0.000830432,-0.000259779,0.003467101,0.014951566
