,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.006496369997514339,0.008303443282995622,0.001259730014013979,0.0023556452999302325,0.002954614533271577,0.001432360451006227,0.0014359106086982872,0.0037136653348563997,0.0044393574803204576,0.005052085061988644,0.0027972414253550565,-0.001402086627933627,0.002250140136137575,0.0011947725643787653,0.00330714883526188
CRF,0.008303443282995622,0.011478079837598198,0.0015857384209320901,0.0030954105952709396,0.003857525626079118,0.0019843528236354905,0.0018162764870570938,0.004985604914627843,0.006042364021864137,0.006692131701242908,0.003834875675180445,-0.0016599825249920032,0.0026587447791588973,0.00162183982335208,0.004659122083308373
GOGL,0.001259730014013979,0.0015857384209320901,0.001336017857409683,0.00039363045787962415,0.0010136285691086239,0.00028072376396533183,0.00010602985360580492,0.0005547286989485344,0.0010523484645613447,0.00602745936161609,0.00048009878892802635,9.921313452053768e-05,-0.00018193725521670822,0.0002744068824830286,0.001475294205115499
HYG,0.0023556452999302325,0.0030954105952709396,0.00039363045787962415,0.0014525094681304273,0.0012055003392232868,0.0008863656114348824,0.0008572372235412604,0.0009243457571081014,0.002151882051474893,0.0014671482184599332,0.001823342999765079,-0.0008628553643045648,0.0013786345085599078,0.0006558139580849816,0.0011822482885973375
IEP,0.002954614533271577,0.003857525626079118,0.0010136285691086239,0.0012055003392232868,0.003485150283486022,0.0008432871385574166,0.0006589192713011449,0.0018145548210976386,0.0025939464971928635,0.0029753671104240783,0.0014357945108393261,-0.0003642902541359573,0.0005547753188223303,0.0007113667647256133,0.0017347841145529625
JEPI,0.001432360451006227,0.0019843528236354905,0.00028072376396533183,0.0008863656114348824,0.0008432871385574166,0.0008496562257387942,0.0005062838034631714,0.0007897920871818074,0.0018939148049411875,0.0008032929288897023,0.001277240785671416,-0.00036630633686837434,0.0005964533745991995,0.0006171878349873925,0.0010330764514172729
LQD,0.0014359106086982872,0.0018162764870570938,0.00010602985360580492,0.0008572372235412604,0.0006589192713011449,0.0005062838034631714,0.0008851084993749217,0.0006803011911345724,0.0012564005686093473,-0.00022098566975666342,0.0010569558549178078,-0.0013679543449351096,0.0021950274842979216,0.0003481986845669725,0.00040945372427121185
RIV,0.0037136653348563997,0.004985604914627843,0.0005547286989485344,0.0009243457571081014,0.0018145548210976386,0.0007897920871818074,0.0006803011911345724,0.004540024982324617,0.0029071561968546326,0.001330624853734346,0.0012228691280863188,-0.00038575911754353855,0.0006883883933975716,0.0007178004938018286,0.0017520724286473185
RYLD,0.0044393574803204576,0.006042364021864137,0.0010523484645613447,0.002151882051474893,0.0025939464971928635,0.0018939148049411875,0.0012564005686093473,0.0029071561968546326,0.005514138926106048,0.004293054223491121,0.0029871551900616912,-0.001116780835768592,0.0017871653819307928,0.0015578742491614173,0.003110287930251927
SBLK,0.005052085061988644,0.006692131701242908,0.00602745936161609,0.0014671482184599332,0.0029753671104240783,0.0008032929288897023,-0.00022098566975666342,0.001330624853734346,0.004293054223491121,0.03724119430865554,0.0018893924115460493,0.0013676330062113648,-0.002440725958796943,0.0009966513746067045,0.007804232708506283
SVOL,0.0027972414253550565,0.003834875675180445,0.00048009878892802635,0.001823342999765079,0.0014357945108393261,0.001277240785671416,0.0010569558549178078,0.0012228691280863188,0.0029871551900616912,0.0018893924115460493,0.003717883036642308,-0.0009534823699602475,0.0015214529982349745,0.0009099739780561962,0.0014177529401389224
TBF,-0.001402086627933627,-0.0016599825249920032,9.921313452053768e-05,-0.0008628553643045648,-0.0003642902541359573,-0.00036630633686837434,-0.0013679543449351096,-0.00038575911754353855,-0.001116780835768592,0.0013676330062113648,-0.0009534823699602475,0.003217255399251193,-0.005128644884540438,-0.00020551639333045332,0.000261881403279488
TLT,0.002250140136137575,0.0026587447791588973,-0.00018193725521670822,0.0013786345085599078,0.0005547753188223303,0.0005964533745991995,0.0021950274842979216,0.0006883883933975716,0.0017871653819307928,-0.002440725958796943,0.0015214529982349745,-0.005128644884540438,0.008216385394181324,0.0003369215528346538,-0.00044135383468214416
XYLD,0.0011947725643787653,0.00162183982335208,0.0002744068824830286,0.0006558139580849816,0.0007113667647256133,0.0006171878349873925,0.0003481986845669725,0.0007178004938018286,0.0015578742491614173,0.0009966513746067045,0.0009099739780561962,-0.00020551639333045332,0.0003369215528346538,0.0005091901721401935,0.0007887647618594928
ZIM,0.00330714883526188,0.004659122083308373,0.001475294205115499,0.0011822482885973375,0.0017347841145529625,0.0010330764514172729,0.00040945372427121185,0.0017520724286473185,0.003110287930251927,0.007804232708506283,0.0014177529401389224,0.000261881403279488,-0.00044135383468214416,0.0007887647618594928,0.006799424990538676
