,CLM,CRF,GOGL,HYG,IEP,LQD,PBR,QQQX,RIV,RYLD,SBLK,SVOL,TBF,XYLD,ZIM
CLM,0.0016928916922767585,0.0028445554444697495,0.001799839583961069,0.0008854329917155528,0.0006647439059388127,0.0007943859714753007,0.00316223441644758,0.0006654481293451287,0.002659218230591719,0.0018531055298134987,0.0014946627439405178,0.0008032238277429074,-0.0005342452094256605,0.0018639477828626355,0.005305000148656703
CRF,0.0028445554444697495,0.005186263587608179,0.0030322841270929526,0.0015279160493948162,0.0011529640712629361,0.0013133373260280634,0.006298275290310514,0.0011729884521548461,0.004764575030701968,0.003269437246843029,0.0025935921566355457,0.001450932762783096,-0.0008159804472011506,0.0033167343877071897,0.009493140586013627
GOGL,0.001799839583961069,0.0030322841270929526,0.009107896983145644,0.0007452993932439306,0.0011132450376769192,0.0003353308543156899,0.006811068546622879,0.0006165811639524822,0.002451168881743845,0.002161292757166256,0.008412466637854174,0.0006881760719478531,0.00021930679332772185,0.0021959013702633713,0.010861672260158363
HYG,0.0008854329917155528,0.0015279160493948162,0.0007452993932439306,0.000804514830545501,0.0004144407194989911,0.0007116027660837654,0.0017738833906121587,0.000526380322262706,0.001072341188045607,0.0012418283817465247,0.0005367823074969347,0.0007758022038958973,-0.0004905860084720016,0.0014849535757767737,0.0025053444752435763
IEP,0.0006647439059388127,0.0011529640712629361,0.0011132450376769192,0.0004144407194989911,0.0006767884346533112,0.00035540008269457397,0.001588402384663796,0.0002659081988339203,0.0011169572864146592,0.00082367094445224,0.0007084065877097297,0.0003714732764809757,-0.00019979387020997044,0.0008609461330815433,0.001961836727887344
LQD,0.0007943859714753007,0.0013133373260280634,0.0003353308543156899,0.0007116027660837654,0.00035540008269457397,0.0011280890534222275,0.00203480543070495,0.0004417358328964555,0.0010373952117477168,0.0010570273498455146,-8.365780560187731e-05,0.0006788128309059466,-0.0012513729060354005,0.001117200089312296,0.0014927040278633794
PBR,0.00316223441644758,0.006298275290310514,0.006811068546622879,0.0017738833906121587,0.001588402384663796,0.00203480543070495,0.04086009317040449,0.0012889614753828589,0.006591939192617084,0.004254230620887224,0.00526093463209737,0.0026117445616934813,-0.0012592888318500078,0.004427979057020528,0.01468377623615635
QQQX,0.0006654481293451287,0.0011729884521548461,0.0006165811639524822,0.000526380322262706,0.0002659081988339203,0.0004417358328964555,0.0012889614753828589,0.0004803040867337267,0.0008791034345631044,0.0010333029626073355,0.0005802419019862091,0.0004683423272711692,-0.0002616339075532676,0.0012426937224903165,0.0023741182513202495
RIV,0.002659218230591719,0.004764575030701968,0.002451168881743845,0.001072341188045607,0.0011169572864146592,0.0010373952117477168,0.006591939192617084,0.0008791034345631044,0.0076071675187546605,0.0032190428235970036,0.0020335557520714657,0.0010872263031031818,-0.0007696335789271721,0.0027850361758915004,0.0072909946021547985
RYLD,0.0018531055298134987,0.003269437246843029,0.002161292757166256,0.0012418283817465247,0.00082367094445224,0.0010570273498455146,0.004254230620887224,0.0010333029626073355,0.0032190428235970036,0.003260168244838227,0.0019393710935523337,0.0013244020216960947,-0.0007575984059528916,0.0034608622394647856,0.00581413837741177
SBLK,0.0014946627439405178,0.0025935921566355457,0.008412466637854174,0.0005367823074969347,0.0007084065877097297,-8.365780560187731e-05,0.00526093463209737,0.0005802419019862091,0.0020335557520714657,0.0019393710935523337,0.010323159869443222,0.000562134556282994,0.0007042425051987047,0.001862287168496615,0.012698054665803865
SVOL,0.0008032238277429074,0.001450932762783096,0.0006881760719478531,0.0007758022038958973,0.0003714732764809757,0.0006788128309059466,0.0026117445616934813,0.0004683423272711692,0.0010872263031031818,0.0013244020216960947,0.000562134556282994,0.0012088234943206267,-0.00043999623083030247,0.0015681735015905971,0.0022913759114139725
TBF,-0.0005342452094256605,-0.0008159804472011506,0.00021930679332772185,-0.0004905860084720016,-0.00019979387020997044,-0.0012513729060354005,-0.0012592888318500078,-0.0002616339075532676,-0.0007696335789271721,-0.0007575984059528916,0.0007042425051987047,-0.00043999623083030247,0.001989578881956769,-0.0006010181358076587,-8.865425502792451e-05
XYLD,0.0018639477828626355,0.0033167343877071897,0.0021959013702633713,0.0014849535757767737,0.0008609461330815433,0.001117200089312296,0.004427979057020528,0.0012426937224903165,0.0027850361758915004,0.0034608622394647856,0.001862287168496615,0.0015681735015905971,-0.0006010181358076587,0.004302512260964017,0.005204977596196197
ZIM,0.005305000148656703,0.009493140586013627,0.010861672260158363,0.0025053444752435763,0.001961836727887344,0.0014927040278633794,0.01468377623615635,0.0023741182513202495,0.0072909946021547985,0.00581413837741177,0.012698054665803865,0.0022913759114139725,-8.865425502792451e-05,0.005204977596196197,0.05187020745466764
