,ARKK,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TLT,USOI,VALE,ZIM
ARKK,0.006533332992928544,0.025779396704442334,0.002512645996529559,0.003415845214887247,0.0014227013585992514,0.0004670996441156686,0.002713251707285198,0.00328925036708584,0.004215022763611766,0.0022966979874288504,0.002509249218321804,0.001848773333888006,0.0033388123858308616,0.002710771495782037,6.875339842240234e-05,0.00844836119316277,0.0002205080235234795,-5.189136188463968e-05,0.002922397942624291,0.003936513481891997
FNGU,0.025779396704442334,0.13324405697746758,0.015537496582104814,0.02430530614434178,0.010767716098049149,0.002810488702909578,0.013231119128639952,0.02031408631181235,0.02204562201233571,0.013958405992511686,0.011852134021488459,0.013449337880647312,0.015612375921168525,0.018934349154564722,0.0001558085603436089,0.04284399224557243,-0.0010317337097406575,0.001744622951554034,0.020643062475764994,0.018066851388487556
FSK,0.002512645996529559,0.015537496582104814,0.005352484212691789,0.004151445695428633,0.004613978988015278,0.0007401327541598404,0.0027627141659579283,0.0018967192665374378,0.0032871000388453695,0.0026442037487224047,0.002551579916420457,0.004610277212761035,0.002489677348411732,0.006137097794607707,-1.1759148318566866e-05,0.006007636768013074,0.00010419604199744291,4.931357068368044e-05,0.0041841183708959916,0.004012818447016758
GGB,0.003415845214887247,0.02430530614434178,0.004151445695428633,0.02063674113427919,0.009448360222815831,0.0008939267938875025,0.004026140877437472,0.009896409323721399,0.012010618865209152,0.007204484963790173,0.0027086703552872274,0.00962663644334992,0.003704542004555207,0.012115028140409463,3.25800127422364e-05,0.009725365777661126,-0.0006091713901757454,0.001650524111897094,0.01382702921822406,0.010368319928166135
GOGL,0.0014227013585992514,0.010767716098049149,0.004613978988015278,0.009448360222815831,0.01958584906938868,0.000722618405175235,0.0019433683068230381,0.0037788233466347684,0.00812166509363899,0.0056785670707261565,0.002450889556041227,0.008646424708584803,0.002553829398502675,0.02439758081979413,-5.230414415516671e-05,0.00483815087400073,-0.0008567186497265114,0.001614967167418997,0.008012771619255515,0.01140828771706377
IEP,0.0004670996441156686,0.002810488702909578,0.0007401327541598404,0.0008939267938875025,0.000722618405175235,0.0002470894153253561,0.0005015618505818908,0.0006475412235518111,0.0008206960647801995,0.0004887404975595877,0.0004601279976923827,0.0009258778426412909,0.0005116075265655706,0.0009070234500637429,-2.9194062289998687e-06,0.0010937415190530539,-1.1167204452370663e-05,0.00014644594633473763,0.0007847236621934943,0.0006707057085183113
IVR,0.002713251707285198,0.013231119128639952,0.0027627141659579283,0.004026140877437472,0.0019433683068230381,0.0005015618505818908,0.005245616589582951,0.0014522771403095078,0.00293654449539618,0.00129885140076257,0.0041897046511172875,0.0020359243362259513,0.002256141531098605,0.00214718202608275,6.935556034454633e-05,0.005388748892008833,0.0009883891147093556,0.00018108416281310924,0.003170129825030419,0.002548399673667603
KIROY,0.00328925036708584,0.02031408631181235,0.0018967192665374378,0.009896409323721399,0.0037788233466347684,0.0006475412235518111,0.0014522771403095078,0.021431076740529024,0.009012239505867627,0.00499120212129152,0.0010860117067914418,0.005833995019893868,0.0026361668896963137,0.007046381278391104,3.654208066932451e-05,0.007000931107910206,-0.00048672826282361516,0.0007337856984219653,0.010214980276973451,0.0038626167094044555
LIFZF,0.004215022763611766,0.02204562201233571,0.0032871000388453695,0.012010618865209152,0.00812166509363899,0.0008206960647801995,0.00293654449539618,0.009012239505867627,0.014894117385367278,0.007033103747592256,0.002515692945762966,0.006925039442858912,0.0035096920202179554,0.010437604874964593,3.8902505504517587e-05,0.008600357997447355,-0.00034088316233508916,0.001867952948083506,0.009490511438436362,0.006874718530400841
MSB,0.0022966979874288504,0.013958405992511686,0.0026442037487224047,0.007204484963790173,0.0056785670707261565,0.0004887404975595877,0.00129885140076257,0.00499120212129152,0.007033103747592256,0.009044715167316527,0.0008488938910416143,0.006664508898296468,0.0021935173296247492,0.007443957984992396,3.273440916473648e-05,0.006132340967463802,0.0001702343951960742,0.0014749308477769766,0.006656085148431473,0.005018528821651863
