,CLM,CRF,GNK,GOGL,HYG,IEP,LQD,MSB,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.0316947749242317,0.01708291246592703,0.0015338704088673815,0.009807078833015535,0.005007263337735653,0.0022353925862176544,0.0005740880706243162,-0.003934780255611804,0.008283771356818934,0.003103897399863009,0.004356566046591968,0.012599999214709794,0.0020602089125156113,-0.0011104572596323358,-0.0009844792047434875,0.0021125877666774403,0.004310078102299198
CRF,0.01708291246592703,0.009946422624421226,0.0004955397180293937,0.004148225952506146,0.003005387162034096,0.0010061374053419855,0.0003397399062756258,-0.002963396678375559,0.004438429322244516,0.001843079792752928,0.0024982474112963094,0.0061243611914338,0.0013769265026044673,-0.0005753429511048527,-0.0002776671048306263,0.0012104044965475264,0.002412728327827722
GNK,0.0015338704088673815,0.0004955397180293937,0.010670602823673984,0.023836214567345252,0.000627573325442948,0.0010904798737761,-0.00011592409621939696,0.00909615743272448,0.009712414569803042,0.0004935703912842903,0.0013759970537411048,0.026258683018618143,-0.0005548541727265817,0.0004638948827324345,0.0033196722240016376,0.0005225887960612561,0.004680471321389998
GOGL,0.009807078833015535,0.004148225952506146,0.023836214567345252,0.07714721088098596,0.0025779939060481456,0.004134881615843144,-0.00023466685229200072,0.019339371250993324,0.022426520693062838,0.0006981541771749215,0.003932526635775978,0.07365135638511727,-0.0014750997787652635,0.0012164918726446376,0.007211260827182327,0.0016452101484374466,0.012364052432396121
HYG,0.005007263337735653,0.003005387162034096,0.000627573325442948,0.0025779939060481456,0.004103510543402843,0.0017569449582476855,0.0004056299659448853,0.0011278014954848043,0.0037509511578781166,0.0023176486259833093,0.0023540533858183465,0.0025815492514736907,0.0024533049766083627,-0.00037294590952453827,0.0003417311481466993,0.0012779093027007287,0.0010297169703398462
IEP,0.0022353925862176544,0.0010061374053419855,0.0010904798737761,0.004134881615843144,0.0017569449582476855,0.00541347877334435,0.00016165508368492755,0.005157142596641192,0.0049598296625838235,0.0007629011684774847,0.0014612331501359676,0.0012632035348055023,0.0012180462616996274,-8.477286057409367e-05,0.0015544963900978213,0.000710887328664542,0.0008966604736670924
LQD,0.0005740880706243162,0.0003397399062756258,-0.00011592409621939696,-0.00023466685229200072,0.0004056299659448853,0.00016165508368492755,8.303250447147334e-05,-0.00015855818892988164,0.0003137953022583234,0.00022107166356414893,0.00021250790323203495,-0.00035793830704953426,0.0002590634308303828,-0.00018336317438489284,-0.00013400592055574223,0.00010499807928008868,-2.1594939869870852e-05
MSB,-0.003934780255611804,-0.002963396678375559,0.00909615743272448,0.019339371250993324,0.0011278014954848043,0.005157142596641192,-0.00015855818892988164,0.051660146558672716,0.016153838888210363,0.001693730872731553,0.0023901529700324983,0.023049273266354746,-7.442464878347497e-05,0.001103255820261658,0.00833896533919733,0.0008086489264048091,0.0053852480625031845
PBR,0.008283771356818934,0.004438429322244516,0.009712414569803042,0.022426520693062838,0.0037509511578781166,0.0049598296625838235,0.0003137953022583234,0.016153838888210363,0.05712990014929239,0.0013921917022813026,0.0034973828179742433,0.021424247342632263,0.0018367200883525013,-0.00018871176820974315,0.009235459741905407,0.0014098524497181233,0.006597749762813621
QQQX,0.003103897399863009,0.001843079792752928,0.0004935703912842903,0.0006981541771749215,0.0023176486259833093,0.0007629011684774847,0.00022107166356414893,0.001693730872731553,0.0013921917022813026,0.002083595109005502,0.0018393248076436434,0.00102565077999741,0.0014243942053802305,-0.00014270953334400823,0.0003214785698509154,0.0009852731205971525,0.0008276333625514748
RYLD,0.004356566046591968,0.0024982474112963094,0.0013759970537411048,0.003932526635775978,0.0023540533858183465,0.0014612331501359676,0.00021250790323203495,0.0023901529700324983,0.0034973828179742433,0.0018393248076436434,0.0032828243838017596,0.0041076802067878115,0.001762957906141089,-0.0001824306546553051,0.0004898127003240445,0.001508155454141051,0.0011486801065852636
SBLK,0.012599999214709794,0.0061243611914338,0.026258683018618143,0.07365135638511727,0.0025815492514736907,0.0012632035348055023,-0.00035793830704953426,0.023049273266354746,0.021424247342632263,0.00102565077999741,0.0041076802067878115,0.08908444478262395,-0.0022662113926156706,0.0015359095965885089,0.007180480315664976,0.0014769593932089334,0.01434040338773303
SVOL,0.0020602089125156113,0.0013769265026044673,-0.0005548541727265817,-0.0014750997787652635,0.0024533049766083627,0.0012180462616996274,0.0002590634308303828,-7.442464878347497e-05,0.0018367200883525013,0.0014243942053802305,0.001762957906141089,-0.0022662113926156706,0.0029968384221830163,-0.00023445605216866427,-0.0002641491030218368,0.0009627040200345496,2.4153637591958387e-05
TBF,-0.0011104572596323358,-0.0005753429511048527,0.0004638948827324345,0.0012164918726446376,-0.00037294590952453827,-8.477286057409367e-05,-0.00018336317438489284,0.001103255820261658,-0.00018871176820974315,-0.00014270953334400823,-0.0001824306546553051,0.0015359095965885089,-0.00023445605216866427,0.0006896373108094396,0.000914730097033497,-3.811417191421035e-05,0.0003019877519704247
USOI,-0.0009844792047434875,-0.0002776671048306263,0.0033196722240016376,0.007211260827182327,0.0003417311481466993,0.0015544963900978213,-0.00013400592055574223,0.00833896533919733,0.009235459741905407,0.0003214785698509154,0.0004898127003240445,0.007180480315664976,-0.0002641491030218368,0.000914730097033497,0.007783765925619556,0.00013543287552340342,0.0025807199148385005
XYLD,0.0021125877666774403,0.0012104044965475264,0.0005225887960612561,0.0016452101484374466,0.0012779093027007287,0.000710887328664542,0.00010499807928008868,0.0008086489264048091,0.0014098524497181233,0.0009852731205971525,0.001508155454141051,0.0014769593932089334,0.0009627040200345496,-3.811417191421035e-05,0.00013543287552340342,0.0008098728316701768,0.00037142743677494983
ZIM,0.004310078102299198,0.002412728327827722,0.004680471321389998,0.012364052432396121,0.0010297169703398462,0.0008966604736670924,-2.1594939869870852e-05,0.0053852480625031845,0.006597749762813621,0.0008276333625514748,0.0011486801065852636,0.01434040338773303,2.4153637591958387e-05,0.0003019877519704247,0.0025807199148385005,0.00037142743677494983,0.0071243619445603154
