,ARKK,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TLT,USOI,VALE,ZIM
ARKK,0.040718837758561596,0.05407454041753696,0.008729871248545936,0.005843857708202159,0.0012826199812936564,0.0014160154683933136,0.014531814308987003,0.010178508634843647,0.00871898324684248,0.004173720117815969,0.01079082508208874,0.0033309359103338137,0.010433244836973518,0.0032160923407863876,0.000113790160102045,0.06459254080690795,0.0002504979722987545,-0.00030160244715439667,0.0036282065986491738,0.006074226511610406
FNGU,0.05407454041753696,0.09393995078738283,0.018096353504551965,0.014069722880868727,0.0034111830829153815,0.0028972737840398423,0.023507974134387963,0.021449310076347334,0.015436238750546756,0.008850869324513452,0.016881251328239397,0.008693900592750848,0.01639105381967528,0.00802847679712002,8.997952312700002e-05,0.11007178720303154,-0.00043384118738608193,0.0028737015578249644,0.008944608403639432,0.009662714158419704
FSK,0.008729871248545936,0.018096353504551965,0.010300929501836692,0.004029021185167111,0.002484337504420832,0.0012815004337665586,0.007954080166692268,0.0034591780293321108,0.003895576546207938,0.002934040236050033,0.005885194569955931,0.0051893355495113945,0.004323798799802575,0.004514473945851737,-8.103438461794606e-06,0.025498960460761694,8.612624346170232e-05,0.00020980811156517173,0.0031467498992333192,0.003721034784635062
GGB,0.005843857708202159,0.014069722880868727,0.004029021185167111,0.009898252252732668,0.0025473943772349418,0.0007858467965094393,0.005792576572536336,0.00871508139895325,0.007050162116366844,0.003917527698213083,0.0031307898077829834,0.005444505793657331,0.00321797971740241,0.004448792574955152,1.60514949721095e-05,0.0205505591960653,-0.00021260449707973027,0.0023448189716909914,0.005086709436185984,0.004695186812988041
GOGL,0.0012826199812936564,0.0034111830829153815,0.002484337504420832,0.0025473943772349418,0.0028679515203576377,0.00036199774448135934,0.0015161166557217248,0.0018990038039484315,0.0026978831110777454,0.0017561030149988242,0.0015711200814337045,0.002816828689425124,0.0012325387683985124,0.004841466388376215,-1.4196055368950843e-05,0.005628409026314879,-0.00017082510541125461,0.0013056048466744666,0.0017056431378184253,0.0028433951260467914
IEP,0.0014160154683933136,0.0028972737840398423,0.0012815004337665586,0.0007858467965094393,0.00036199774448135934,0.0003811920489983627,0.0012870042339790748,0.0010366944929964446,0.0008863725524784383,0.0005002787546124025,0.0009549532683025502,0.0009757676634841349,0.0007938873662208153,0.0006287393102725251,-2.5418193551728917e-06,0.00412176489284401,-9.245768246299423e-06,0.00038839644405283395,0.0005460686424082771,0.0005613202489948008
IVR,0.014531814308987003,0.023507974134387963,0.007954080166692268,0.005792576572536336,0.0015161166557217248,0.0012870042339790748,0.023212239445911706,0.003955985543422862,0.005054367763180009,0.002123048958819368,0.014757788139094022,0.0032045649941006954,0.005916344204619012,0.002323579939495713,0.00010973451790555617,0.03478944042759024,0.001097970666529592,0.0006566123660284635,0.0034630181817351226,0.0035921513580929525
KIROY,0.010178508634843647,0.021449310076347334,0.0034591780293321108,0.00871508139895325,0.0018990038039484315,0.0010366944929964446,0.003955985543422862,0.03396069397067425,0.009664713693436446,0.004865910182204226,0.0024532209534131213,0.006029047461974429,0.004200500401055776,0.004672073005929376,2.6840638505763467e-05,0.027032076591215214,-0.0003426747560116093,0.0019752166830897503,0.006783747489565744,0.003128775939926487
LIFZF,0.00871898324684248,0.015436238750546756,0.003895576546207938,0.007050162116366844,0.0026978831110777454,0.0008863725524784383,0.005054367763180009,0.009664713693436446,0.010584842089932975,0.004692473326921841,0.0034995421328041986,0.004978601841123001,0.003698129777429014,0.004761175445839491,2.3299751822681627e-05,0.022000172121126767,-0.00014642565624659374,0.003233493666630267,0.004350226062186912,0.00387659305813648
MSB,0.004173720117815969,0.008850869324513452,0.002934040236050033,0.003917527698213083,0.0017561030149988242,0.0005002787546124025,0.002123048958819368,0.004865910182204226,0.004692473326921841,0.005348141971707486,0.0011956862486678724,0.0043771675077636015,0.0021331488722554073,0.0031247230507130117,1.2906299744574501e-05,0.014272101924523512,2.8876344877631813e-05,0.002386795812066966,0.0028130253087861987,0.0025101765062316792
ORC,0.01079082508208874,0.016881251328239397,0.005885194569955931,0.0031307898077829834,0.0015711200814337045,0.0009549532683025502,0.014757788139094022,0.0024532209534131213,0.0034995421328041986,0.0011956862486678724,0.013786597101651098,0.0026843085422164673,0.004484122733911265,0.0032478243259858037,6.586033451140884e-05,0.024821110280278457,0.0004168608610436407,6.749068193996071e-05,0.0020691067014248503,0.00332013578904371
PBR,0.0033309359103338137,0.008693900592750848,0.0051893355495113945,0.005444505793657331,0.002816828689425124,0.0009757676634841349,0.0032045649941006954,0.006029047461974429,0.004978601841123001,0.0043771675077636015,0.0026843085422164673,0.01023661864984734,0.003079232093206752,0.004792127346275937,1.3237319516101574e-05,0.014493079299789538,5.608306616043503e-05,0.0033267169976709523,0.004039693801221098,0.003521457793875308
RYLD,0.010433244836973518,0.01639105381967528,0.004323798799802575,0.00321797971740241,0.0012325387683985124,0.0007938873662208153,0.005916344204619012,0.004200500401055776,0.003698129777429014,0.0021331488722554073,0.004484122733911265,0.003079232093206752,0.004522213587765765,0.0022217182434453183,1.2592875721404005e-05,0.02282847651766612,2.9349495225931023e-05,0.000711892204834604,0.0020490550676141453,0.002500135276012896
SBLK,0.0032160923407863876,0.00802847679712002,0.004514473945851737,0.004448792574955152,0.004841466388376215,0.0006287393102725251,0.002323579939495713,0.004672073005929376,0.004761175445839491,0.0031247230507130117,0.0032478243259858037,0.004792127346275937,0.0022217182434453183,0.010471031628536215,-3.3588592776324924e-05,0.011780267669223186,-0.00038730678520217777,0.0019008240267252693,0.0027289824556892177,0.005775734046539723
SHY,0.000113790160102045,8.997952312700002e-05,-8.103438461794606e-06,1.60514949721095e-05,-1.4196055368950843e-05,-2.5418193551728917e-06,0.00010973451790555617,2.6840638505763467e-05,2.3299751822681627e-05,1.2906299744574501e-05,6.586033451140884e-05,1.3237319516101574e-05,1.2592875721404005e-05,-3.3588592776324924e-05,6.504084272070345e-06,0.00015883849460794646,4.7648309158798193e-05,2.0905653184902935e-05,1.8762139985581714e-05,1.2917835811442946e-05
SOXL,0.06459254080690795,0.11007178720303154,0.025498960460761694,0.0205505591960653,0.005628409026314879,0.00412176489284401,0.03478944042759024,0.027032076591215214,0.022000172121126767,0.014272101924523512,0.024821110280278457,0.014493079299789538,0.02282847651766612,0.011780267669223186,0.00015883849460794646,0.16192244222112162,0.00012952698846979872,0.00525738273672754,0.012092776497446707,0.01633858998539142
TLT,0.0002504979722987545,-0.00043384118738608193,8.612624346170232e-05,-0.00021260449707973027,-0.00017082510541125461,-9.245768246299423e-06,0.001097970666529592,-0.0003426747560116093,-0.00014642565624659374,2.8876344877631813e-05,0.0004168608610436407,5.608306616043503e-05,2.9349495225931023e-05,-0.00038730678520217777,4.7648309158798193e-05,0.00012952698846979872,0.0008534254079822585,-0.00020991837887450004,0.00023525337314543596,5.5460296936354066e-05
