,CLM,CRF,EGLE,GOGL,HYG,IEP,LQD,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.0006495915789320636,0.0032404408994904815,0.0012439878097229384,0.0007513861149268591,0.0009969912760984842,0.001183468165077025,0.0006723000318994002,0.0006548285069626098,0.0009702140967334106,0.0005561864866185201,0.0006813143543327984,0.0002760346975936502,-0.0003139235030566422,0.0010294983924169555,0.0001836350367675822,0.002838179586020461
CRF,0.0032404408994904815,0.017626011385224676,0.006485932515397265,0.003652984596274145,0.005060591407678441,0.006076776839479263,0.003148395485856275,0.003896006569006026,0.004887498433277402,0.002842361909293251,0.0034849304441126783,0.0014455755304984355,-0.0012093303261982466,0.005862602538945773,0.0009261413584907722,0.015253010972853908
EGLE,0.0012439878097229384,0.006485932515397265,0.07007835063591913,0.019813637957497767,0.0006455061592073948,0.0032230703028035693,-0.0011812977365177255,0.006332087708561996,0.00013708978806390042,0.001175348879798125,0.02618347041924632,-0.0002600566722875931,0.001573035563147228,0.014070287272967344,0.00013896786824178602,0.037398280681229926
GOGL,0.0007513861149268591,0.003652984596274145,0.019813637957497767,0.007572983500315773,0.0009798678180863037,0.0024510612665773978,2.5907064675338206e-05,0.002116727124528813,0.00048422862650903005,0.000780181646791355,0.00830385089694018,0.00011921289961641037,0.0004419782883567305,0.004242516240409705,0.0002539000281759289,0.010773055516672762
HYG,0.0009969912760984842,0.005060591407678441,0.0006455061592073948,0.0009798678180863037,0.0031315806060900767,0.002387898645226379,0.0021209740320771607,0.0014377980636745987,0.0024780379653315215,0.001191612846590964,0.0008838164482710947,0.0008959056736682297,-0.001076470179268944,0.0014033606452617383,0.0004570394481997051,0.0037711046956233223
IEP,0.001183468165077025,0.006076776839479263,0.0032230703028035693,0.0024510612665773978,0.002387898645226379,0.0071888953889164275,0.0016009862302469528,0.0017803522988055374,0.0015350514841314953,0.001180034512484896,0.0015213183894914285,0.0006397211239356075,-0.0006309146713540957,0.0033369093210223375,0.0003824967460177301,0.004726840769246679
LQD,0.0006723000318994002,0.003148395485856275,-0.0011812977365177255,2.5907064675338206e-05,0.0021209740320771607,0.0016009862302469528,0.0027262342486059576,0.0007817398255727626,0.0015165734726779493,0.0007803849403567928,-0.0005727297608984819,0.0006031054314812042,-0.0024518123613927983,-0.00018155113027401633,0.0002562955374621141,0.0006155224236736972
PBR,0.0006548285069626098,0.003896006569006026,0.006332087708561996,0.002116727124528813,0.0014377980636745987,0.0017803522988055374,0.0007817398255727626,0.004823455775846328,0.0009352291349405237,0.000665199260677624,0.002315023824696573,0.0005400706600999744,-0.00013340831910349822,0.004475852826123903,0.00020368577127281197,0.005572098879695951
QQQX,0.0009702140967334106,0.004887498433277402,0.00013708978806390042,0.00048422862650903005,0.0024780379653315215,0.0015350514841314953,0.0015165734726779493,0.0009352291349405237,0.0030985257481691265,0.0011999695423839988,0.0006145966895788255,0.0006802573203037621,-0.000552560689441808,0.001179868363845241,0.0004832751693635648,0.004137209858482771
RYLD,0.0005561864866185201,0.002842361909293251,0.001175348879798125,0.000780181646791355,0.001191612846590964,0.001180034512484896,0.0007803849403567928,0.000665199260677624,0.0011999695423839988,0.0009127593144490319,0.0007909291267511231,0.0003977703294596853,-0.00043539913314300345,0.0008803662456132607,0.00030667710354732766,0.0024055491281304293
SBLK,0.0006813143543327984,0.0034849304441126783,0.02618347041924632,0.00830385089694018,0.0008838164482710947,0.0015213183894914285,-0.0005727297608984819,0.002315023824696573,0.0006145966895788255,0.0007909291267511231,0.01201978596183474,7.093724072882026e-05,0.001054432258510926,0.004746510489784615,0.00025111938436428915,0.01447386068725127
SVOL,0.0002760346975936502,0.0014455755304984355,-0.0002600566722875931,0.00011921289961641037,0.0008959056736682297,0.0006397211239356075,0.0006031054314812042,0.0005400706600999744,0.0006802573203037621,0.0003977703294596853,7.093724072882026e-05,0.00046591230060557106,-0.0002539267384522548,0.00024051703340848975,0.00015338512144264814,0.0007245837895126058
TBF,-0.0003139235030566422,-0.0012093303261982466,0.001573035563147228,0.0004419782883567305,-0.001076470179268944,-0.0006309146713540957,-0.0024518123613927983,-0.00013340831910349822,-0.000552560689441808,-0.00043539913314300345,0.001054432258510926,-0.0002539267384522548,0.0032439488267830266,0.0017726498698540896,-7.830486652067517e-05,0.0011397401659901745
USOI,0.0010294983924169555,0.005862602538945773,0.014070287272967344,0.004242516240409705,0.0014033606452617383,0.0033369093210223375,-0.00018155113027401633,0.004475852826123903,0.001179868363845241,0.0008803662456132607,0.004746510489784615,0.00024051703340848975,0.0017726498698540896,0.018464964304891238,0.00020738205838162052,0.012755568421939667
XYLD,0.0001836350367675822,0.0009261413584907722,0.00013896786824178602,0.0002539000281759289,0.0004570394481997051,0.0003824967460177301,0.0002562955374621141,0.00020368577127281197,0.0004832751693635648,0.00030667710354732766,0.00025111938436428915,0.00015338512144264814,-7.830486652067517e-05,0.00020738205838162052,0.00012378611550167845,0.0006262345079856849
ZIM,0.002838179586020461,0.015253010972853908,0.037398280681229926,0.010773055516672762,0.0037711046956233223,0.004726840769246679,0.0006155224236736972,0.005572098879695951,0.004137209858482771,0.0024055491281304293,0.01447386068725127,0.0007245837895126058,0.0011397401659901745,0.012755568421939667,0.0006262345079856849,0.05857548420583601
