,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.0021807124389789153,0.0015137135515091344,0.0020831311829164986,0.0021069854624553735,0.0003498677756543831,0.0012127472879624023,0.0007817433541959553,0.0015669738952615857,0.0002087309742344049,0.0019448503656709008,0.00015165517934086074,0.0017796699559287502,0.0017390648462680726,3.4453010294898706e-05,0.014579370120630191,0.00013465308455358173,-0.0003162225912485505,-0.000438268970000575,0.004122442071870712
CLM,0.0015137135515091344,0.024461236534334567,0.006877189104883841,0.003331787817750244,0.0006934870147420867,0.003613035508234269,0.0029862626416044644,0.0047000633943892565,-0.00011191300659662116,0.006125301670959366,0.0013799702696932613,0.0021835177740147965,0.005179831507906007,0.0003227009978167811,0.016526493574329646,-0.0013992214118763258,0.002767335673734456,-0.0015273297558622827,0.007041311314863585
FSK,0.0020831311829164986,0.006877189104883841,0.010801673129929568,0.004475755296427015,0.002626504213792717,0.005547658242578031,0.0037574313253113337,0.00432534614363322,0.0006581081092997226,0.005180135512832752,0.0015724644836534506,0.0031890653305602715,0.008149975211091473,6.590705744509286e-06,0.02392966419009138,0.0001300988138868634,-0.0003856619221899793,-0.0006038873692665711,0.010410343292674724
GGB,0.0021069854624553735,0.003331787817750244,0.004475755296427015,0.02151128690364282,0.004455907685440679,0.009475997563344028,0.0038134207914719315,0.005205724846252954,0.0029158744421323456,0.005119128667576925,0.004042068644367301,0.0036173818445199625,0.013645235408947862,9.6639122005213e-05,0.0321210401324127,0.0007781381834981934,-0.0015151672892290437,0.00427875083122665,0.02100081303338108
GNK,0.0003498677756543831,0.0006934870147420867,0.002626504213792717,0.004455907685440679,0.004316981220177449,0.00667652404546764,0.0012491988698806122,0.0014283004327096404,0.0014291628803491654,0.0021477532587531986,0.0015033863482669856,0.0009969756567214394,0.011314004497851872,-4.30827276332771e-05,0.010096680253026026,0.0002258099982517644,-0.00047006377186701985,0.001458041563310144,0.01044304027588673
GOGL,0.0012127472879624023,0.003613035508234269,0.005547658242578031,0.009475997563344028,0.00667652404546764,0.017156207835614237,0.002619440712771415,0.0020066729961788388,0.002672060545393046,0.0030994718592042402,0.0028081485680658924,0.0026615985523705055,0.023682979359687308,-7.101389067109239e-05,0.022088289032732467,0.0004851497776691831,-0.0010226596939409615,0.002686510764039553,0.020019381077235467
IEP,0.0007817433541959553,0.0029862626416044644,0.0037574313253113337,0.0038134207914719315,0.0012491988698806122,0.002619440712771415,0.003952238102991246,0.002194212361470926,0.0009895939784284782,0.0023521419773444496,0.0012886735923855505,0.0018563490323665274,0.0033810253931245435,-3.487195354273906e-05,0.011631114110687459,0.00011888135982478537,-0.00028427201072189106,0.000734881289684645,0.004952168627449403
IVR,0.0015669738952615857,0.0047000633943892565,0.00432534614363322,0.005205724846252954,0.0014283004327096404,0.0020066729961788388,0.002194212361470926,0.008375224770798209,0.0006379406315684582,0.007056227681834604,0.0007602262138758602,0.0024348404709155108,0.0034054723998253474,0.00020994351940499049,0.015900591646337357,-0.0004824883742372815,0.0009256364457487317,-0.00012929714549847092,0.005957550076686705
MSB,0.0002087309742344049,-0.00011191300659662116,0.0006581081092997226,0.0029158744421323456,0.0014291628803491654,0.002672060545393046,0.0009895939784284782,0.0006379406315684582,0.0020944585388418123,0.000501195575652711,0.0007192912288446041,0.0005741917926882914,0.004196118898649995,-7.329807130086944e-05,0.006038653982496601,0.00032190261529059354,-0.0006677583288191378,0.0012425661861248903,0.003295755586827349
ORC,0.0019448503656709008,0.006125301670959366,0.005180135512832752,0.005119128667576925,0.0021477532587531986,0.0030994718592042402,0.0023521419773444496,0.007056227681834604,0.000501195575652711,0.00918252559197163,0.0010737158240645998,0.0028790246447725457,0.005363557059060554,0.00020888087354243014,0.018435605223340656,-0.0003984576907259537,0.0007237861867515486,-0.0005644020473558374,0.00770877712105419
