,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.041687424,0.008160025,0.009600139,0.003318341,0.002451156,0.001327387,0.00346604,0.012035225,0.003116691,0.003625707,0.003511746,0.009765027,0.007337338,6.14E-05,0.026570356,0.000349192,-0.000625581,-0.001091134,0.007094018
CLM,0.008160025,0.031171214,0.007449356,0.001211241,0.000917734,0.001233787,0.002442779,0.008109578,0.000922761,0.002658406,0.003860862,0.003250538,0.004436131,7.50E-05,0.007448041,-0.002690256,0.002673572,-0.000832602,0.002511771
FSK,0.009600139,0.007449356,0.010460212,0.001914997,0.007498874,0.001869999,0.002891063,0.006935632,0.002670658,0.002083298,0.004710141,0.004169473,0.007596508,1.71E-06,0.010748336,-0.000143948,5.61E-05,-0.000332795,0.004716044
GGB,0.003318341,0.001211241,0.001914997,0.002564517,0.00541192,0.001180238,0.001043378,0.002510242,0.002136116,0.000624547,0.003107082,0.001471128,0.004973719,3.61E-07,0.004969306,0.000369752,-0.000368325,0.000745134,0.003560533
GNK,0.002451156,0.000917734,0.007498874,0.00541192,0.036958922,0.006908935,0.002242682,0.004375274,0.006583417,0.001818304,0.011520483,0.002916122,0.031431625,-2.18E-05,0.009858674,0.00152972,-0.001560646,0.002391201,0.016183111
GOGL,0.001327387,0.001233787,0.001869999,0.001180238,0.006908935,0.001923916,0.000577798,0.000926204,0.001334174,0.000369353,0.002358285,0.000957395,0.007305634,-5.54E-06,0.002856055,0.000367498,-0.000377984,0.00051972,0.003499512
IEP,0.00346604,0.002442779,0.002891063,0.001043378,0.002242682,0.000577798,0.002052321,0.002464362,0.001304883,0.000765943,0.002296761,0.001803548,0.00230381,-1.32E-06,0.004552037,2.05E-05,-4.81E-05,0.000351589,0.001956841
IVR,0.012035225,0.008109578,0.006935632,0.002510242,0.004375274,0.000926204,0.002464362,0.019863724,0.00183334,0.004593104,0.002829681,0.005023399,0.003529014,7.64E-05,0.011817749,-0.002202349,0.002183156,-0.000126801,0.003835003
MSB,0.003116691,0.000922761,0.002670658,0.002136116,0.006583417,0.001334174,0.001304883,0.00183334,0.005280018,0.000376673,0.004359703,0.001850703,0.005704415,-4.03E-06,0.005676998,0.000318896,-0.000310929,0.001261258,0.003369241
ORC,0.003625707,0.002658406,0.002083298,0.000624547,0.001818304,0.000369353,0.000765943,0.004593104,0.000376673,0.001659615,0.001036701,0.001449022,0.001815925,1.85E-05,0.003343369,-0.000287915,0.000259041,-6.59E-05,0.001370129
PBR,0.003511746,0.003860862,0.004710141,0.003107082,0.011520483,0.002358285,0.002296761,0.002829681,0.004359703,0.001036701,0.010155225,0.002768154,0.00959335,2.18E-06,0.006474925,0.000122064,-0.000127595,0.001930339,0.005476182
RYLD,0.009765027,0.003250538,0.004169473,0.001471128,0.002916122,0.000957395,0.001803548,0.005023399,0.001850703,0.001449022,0.002768154,0.00438286,0.003859728,5.99E-06,0.009385703,4.17E-05,-0.000108953,5.82E-05,0.003078428
SBLK,0.007337338,0.004436131,0.007596508,0.004973719,0.031431625,0.007305634,0.00230381,0.003529014,0.005704415,0.001815925,0.00959335,0.003859728,0.036760437,-2.76E-05,0.012885459,0.001832222,-0.001934181,0.002138382,0.015907343
SHY,6.14E-05,7.50E-05,1.71E-06,3.61E-07,-2.18E-05,-5.54E-06,-1.32E-06,7.64E-05,-4.03E-06,1.85E-05,2.18E-06,5.99E-06,-2.76E-05,2.42E-06,9.55E-06,-6.00E-05,6.13E-05,-3.11E-06,-3.47E-07
SOXL,0.026570356,0.007448041,0.010748336,0.004969306,0.009858674,0.002856055,0.004552037,0.011817749,0.005676998,0.003343369,0.006474925,0.009385703,0.012885459,9.55E-06,0.030437617,0.001247115,-0.001352148,0.000643497,0.00949216
TBF,0.000349192,-0.002690256,-0.000143948,0.000369752,0.00152972,0.000367498,2.05E-05,-0.002202349,0.000318896,-0.000287915,0.000122064,4.17E-05,0.001832222,-6.00E-05,0.001247115,0.003025747,-0.003113646,0.000446639,0.000562964
TLT,-0.000625581,0.002673572,5.61E-05,-0.000368325,-0.001560646,-0.000377984,-4.81E-05,0.002183156,-0.000310929,0.000259041,-0.000127595,-0.000108953,-0.001934181,6.13E-05,-0.001352148,-0.003113646,0.003221369,-0.000472554,-0.00059634
USOI,-0.001091134,-0.000832602,-0.000332795,0.000745134,0.002391201,0.00051972,0.000351589,-0.000126801,0.001261258,-6.59E-05,0.001930339,5.82E-05,0.002138382,-3.11E-06,0.000643497,0.000446639,-0.000472554,0.001646437,0.000616214
ZIM,0.007094018,0.002511771,0.004716044,0.003560533,0.016183111,0.003499512,0.001956841,0.003835003,0.003369241,0.001370129,0.005476182,0.003078428,0.015907343,-3.47E-07,0.00949216,0.000562964,-0.00059634,0.000616214,0.011726064
