,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,4.93%,4.20%,5.37%,6.10%,4.04%,5.38%,5.41%,4.04%,4.46%,5.92%,9.39%
STD,7.18%,4.76%,6.62%,8.53%,5.22%,6.63%,6.72%,5.22%,5.45%,7.83%,12.57%
MEDIAN,0.00%,1.23%,-1.19%,-2.66%,-0.86%,-1.22%,-1.20%,-0.88%,-1.58%,1.82%,2.57%
