
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
2/6/2023,21.2,21.56,21.14,21.43
2/7/2023,21.57,21.7,20.67,20.78
2/8/2023,20.95,22.02,20.75,21.82
2/9/2023,21.45,22.71,21.19,22.5
2/10/2023,22.83,23.43,22.49,22.55
2/13/2023,22.62,22.62,21.97,21.97
2/14/2023,21.74,21.86,20.82,21.14
2/15/2023,21.15,21.19,20.65,20.68
2/16/2023,21.22,21.93,20.6,21.88
2/17/2023,22.15,22.59,21.59,21.77
2/21/2023,22.66,23.53,22.58,23.38
2/22/2023,23.42,23.63,22.49,22.68
2/23/2023,22.17,22.7,21.58,21.74
2/24/2023,22.51,23.01,22.19,22.43
2/27/2023,21.91,21.92,21.44,21.59
2/28/2023,21.65,21.68,20.92,21.32
3/1/2023,21.35,21.83,20.98,21.36
3/2/2023,21.7,21.73,20.61,20.63
3/3/2023,20.52,21.4,19.94,19.98
3/6/2023,20.24,20.26,19.88,19.99
3/7/2023,20.16,20.73,19.8,20.59
3/8/2023,20.66,20.78,20.13,20.19
3/9/2023,20.2,22.89,19.91,22.87
3/10/2023,22.89,28.67,22.81,25.39
3/13/2023,29.07,29.42,25.73,26.64
3/14/2023,24.32,26,23.38,24.87
3/15/2023,27.31,30.05,26.88,27.2
3/16/2023,28.14,28.23,24.54,24.56
3/17/2023,25.16,27.82,25.06,27.42
3/20/2023,27.37,27.72,25.73,25.85
3/21/2023,24.45,24.52,23.45,23.57
3/22/2023,23.44,24.43,22.41,24.38
3/23/2023,23.32,25.75,22.72,24.53
3/24/2023,25.52,26.55,23.88,23.96
3/27/2023,23.33,23.77,22.84,22.87
3/28/2023,23.1,23.31,22.32,22.38
3/29/2023,21.62,21.85,21.48,21.49
3/30/2023,21.39,22.16,21.32,21.45
3/31/2023,21.31,21.5,21.02,21.23
4/3/2023,21.47,21.75,20.83,20.83
4/4/2023,21.05,22.05,20.94,21.34
4/5/2023,21.76,22.16,21.4,21.48
4/6/2023,21.81,21.95,20.86,21
4/10/2023,21.81,21.99,21.05,21.07
4/11/2023,21.09,21.15,20.64,21.01
4/12/2023,20.78,21.37,20.32,21.05
4/13/2023,20.75,20.81,20.22,20.26
4/14/2023,20.4,20.61,19.95,20.03
4/17/2023,20.31,20.33,19.6,19.65
4/18/2023,19.67,19.93,19.48,19.82
4/19/2023,20.03,20.19,19.7,20.02
4/20/2023,20.62,20.85,20,20.55
4/21/2023,20.65,21.02,20.27,20.39
4/24/2023,20.61,20.83,20.28,20.4
4/25/2023,20.79,22.23,20.62,21.65
4/26/2023,21.7,21.97,20.91,21.54
4/27/2023,20.92,20.95,20.19,20.37
4/28/2023,20.24,20.32,19.54,19.54
5/1/2023,19.83,19.83,19.17,19.67
5/2/2023,20.08,22.21,20.08,20.75
5/3/2023,20.92,21.67,20.36,21.29
