snapped_at,price,market_cap,total_volume
2017-09-16 00:00:00 UTC,0.10725062436515387,10725062.436515387,1.0512233074868058
2017-09-17 00:00:00 UTC,0.15404129090981247,15404129.090981247,14.678587222975715
2017-09-18 00:00:00 UTC,0.17349123907271635,17349123.907271635,6.001766937705406
2017-09-19 00:00:00 UTC,0.16833419058267893,16833419.05826789,3.8789274065435135
2017-09-20 00:00:00 UTC,0.16662792485643602,16662792.485643605,40.68761859734107
2017-09-21 00:00:00 UTC,0.09581702729678904,9581702.729678905,20.56770180249738
2017-09-22 00:00:00 UTC,0.09421298085257276,9421298.085257277,135.88034679041334
2017-09-23 00:00:00 UTC,0.08828963159130229,8828963.159130229,0.7930862653511168
2017-09-24 00:00:00 UTC,0.08545453920539132,8545453.920539133,0.7690987855933964
2017-09-25 00:00:00 UTC,0.10250635359918353,10250635.359918352,9.105908242854627
2017-09-26 00:00:00 UTC,0.08965780221748919,8965780.221748918,18.19319371023182
2017-09-27 00:00:00 UTC,0.11505513150836992,11505513.150836993,59.5540102770356
2017-09-28 00:00:00 UTC,0.13955236709152266,13955236.709152265,305.1864817562295
2017-09-29 00:00:00 UTC,0.1321732878720941,13217328.787209408,2.6198594390461167
2017-09-30 00:00:00 UTC,0.1719116468013488,17191164.68013488,204.64209576037842
2017-10-01 00:00:00 UTC,0.10116815717399877,10116815.717399877,123.59107846328659
2017-10-02 00:00:00 UTC,0.10787364049011648,10787364.049011648,14.443285103994635
2017-10-03 00:00:00 UTC,0.12443238401115728,12443238.401115727,42.0851710960265
2017-10-04 00:00:00 UTC,0.12880576985340142,12880576.98534014,7.21632856702682
2017-10-05 00:00:00 UTC,0.13059917950937042,13059917.950937042,3.087251112914524
2017-10-06 00:00:00 UTC,0.1356434738726733,13564347.38726733,3.129625354824145
2017-10-07 00:00:00 UTC,0.12937532581472053,12937532.581472054,0.7178009459996548
2017-10-08 00:00:00 UTC,0.12993885109848466,12993885.109848468,0.7209275003038341
2017-10-10 00:00:00 UTC,0.14007954967446368,14007954.967446368,8.46500718682784
2017-10-11 00:00:00 UTC,0.21645282378830927,21645282.37883093,183.7412635774829
2017-10-12 00:00:00 UTC,0.23970960381587386,23970960.381587386,3266.917394203301
2017-10-13 00:00:00 UTC,0.22988972432827995,22988972.432827994,55.33504943030852
2017-10-14 00:00:00 UTC,0.1121645203777135,11216452.03777135,22.47233695848216
2017-10-15 00:00:00 UTC,0.10973221368088956,10973221.368088957,1.8654476325751224
2017-10-16 00:00:00 UTC,0.1838616339844644,18386163.39844644,1302.8934556494728
2017-10-17 00:00:00 UTC,0.10929078576844647,10929078.576844648,27.431970516994227
2017-10-18 00:00:00 UTC,0.10849999581293626,10849999.581293626,5.967510520540023
2017-10-19 00:00:00 UTC,0.03981769718799225,3981769.7187992255,57.417911246215496
2017-10-20 00:00:00 UTC,0.10113758538588118,10014036.879397638,0.8091006830870494
2017-10-21 00:00:00 UTC,0.09851665772011536,9754528.3474995,0.8866499194810381
2017-10-22 00:00:00 UTC,0.04400539125878256,4357149.8100970965,16.388411602298998
2017-10-23 00:00:00 UTC,0.059659430236330725,5907118.82542005,20.270269541538465
2017-10-25 00:00:00 UTC,0.0869993407992432,8614152.729896264,27.945035042350806
2017-10-26 00:00:00 UTC,0.045946645370719366,4549361.144736407,9.40198248237758
2017-10-27 00:00:00 UTC,0.046723929822336537,4626323.18742883,4.15928022923269
2017-10-28 00:00:00 UTC,0.04674182044886063,4628094.609923487,3.693454616152237
2017-10-29 00:00:00 UTC,0.04937421879741597,4888738.900007344,2.362117554112693
2017-10-30 00:00:00 UTC,1.2990185938541825,128621027.051878,2366136.909424559
2017-10-31 00:00:00 UTC,1.289131969568573,127642112.83486268,3364798.05303072
2017-11-01 00:00:00 UTC,1.2560132082341102,124362891.8000922,2105110.8644101056
2017-11-02 00:00:00 UTC,1.2969478470827642,128415994.1310528,3545674.600832379
2017-11-03 00:00:00 UTC,1.4677175916390697,145324589.61855084,3208792.7785417736
2017-11-04 00:00:00 UTC,1.6259444665637772,160991265.41234583,4666853.022526658
2017-11-05 00:00:00 UTC,1.5369392859933428,152178506.46334484,2709302.5542377727
2017-11-06 00:00:00 UTC,1.6053159095699765,158948749.47016165,4669237.560842866
2017-11-07 00:00:00 UTC,1.8126235392322847,179475107.11354542,6148040.166284177
2017-11-08 00:00:00 UTC,2.03370247093617,201365016.4572739,13176873.458877586
2017-11-09 00:00:00 UTC,2.0346641101582845,201460232.20321235,11367249.922029044
2017-11-10 00:00:00 UTC,1.8070169067430288,178919972.00425422,7770039.244343555
2017-11-11 00:00:00 UTC,1.6915633452049703,167488453.06212497,5531033.5239018835
2017-11-12 00:00:00 UTC,1.5249497417928808,150991373.7338803,9288920.952425145
2017-11-13 00:00:00 UTC,1.6739537350179436,165744855.11906666,6612122.249519328
2017-11-14 00:00:00 UTC,1.58246676881987,156686364.647931,743952.339261882
2017-11-15 00:00:00 UTC,1.52243686388942,150742563.641147,4445617.40197932
2017-11-16 00:00:00 UTC,1.59569777786549,157996419.777573,5430129.00683232
2017-11-17 00:00:00 UTC,1.51454613875746,149961271.382931,4107948.52848623
2017-11-18 00:00:00 UTC,1.67240752925033,165591759.101192,4749664.50591603
2017-11-19 00:00:00 UTC,1.60129507521577,158550630.57741398,4583141.58979331
2017-11-20 00:00:00 UTC,1.62070853606007,160472834.989452,3663548.04936528
2017-11-21 00:00:00 UTC,1.57171927559821,155622212.354081,3126575.47257824
2017-11-22 00:00:00 UTC,1.60984260741505,159396955.930594,4314236.94523044
