,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,2.30%,4.33%,6.71%,7.15%,6.53%,6.93%,6.81%,7.24%,7.81%,11.16%,16.79%
STD,2.84%,4.65%,8.46%,7.95%,7.61%,8.56%,8.48%,8.26%,8.40%,12.34%,21.80%
MEDIAN,-1.81%,3.05%,-5.79%,-5.85%,-5.42%,-5.80%,-5.81%,-6.07%,-6.84%,-7.09%,-0.73%
