,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,2.87%,3.24%,2.95%,3.00%,2.30%,2.96%,2.98%,2.29%,2.28%,13.30%,221.50%
STD,3.92%,5.59%,4.76%,4.04%,3.15%,4.74%,4.66%,3.14%,3.14%,28.62%,614.54%
MEDIAN,-1.13%,-0.21%,-0.06%,-0.68%,0.20%,-0.08%,-0.30%,0.20%,0.02%,1.96%,2.18%
