,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,0.03320407254217545,0.04005851402721101,0.0340799688886496,0.03190890778281382,0.02264367188944635,0.034089947842436255,0.03415284648540721,0.02260292717118419,0.022391629270697648,0.09967881222312157,0.19760688315074493
STD,0.04229470331482979,0.06875241438294705,0.05643229609584607,0.042300611774023576,0.03142815376817763,0.056184255232740024,0.054969644886522256,0.031398605183125615,0.03131600266270899,0.17553501054070347,0.4046711033063387
