"","timestamp","AvgPrc","Day","index","Pred","CI_Up","CI_Low","CI_UpT"
"1055",2020-10-20 09:30:00,NA,"Tuesday",150.714285714286,134.812090296416,140.077456322655,129.546724270176,141.362469913524
"1056",2020-10-20 10:30:00,NA,"Tuesday",150.857142857143,134.936647529546,140.202013555785,129.671281503307,141.487088020369
"1057",2020-10-20 11:30:00,NA,"Tuesday",151,135.061208828892,140.326574855131,129.795842802653,141.611710138691
"1058",2020-10-21 05:30:00,NA,"Wednesday",151.142857142857,135.185774188646,140.451140214885,129.920408162407,141.736336262784
"1059",2020-10-21 06:30:00,NA,"Wednesday",151.285714285714,135.310343603015,140.575709629255,130.044977576776,141.860966386955
"1060",2020-10-21 07:30:00,NA,"Wednesday",151.428571428571,135.434917066221,140.700283092461,130.169551039982,141.985600505526
"1061",2020-10-21 08:30:00,NA,"Wednesday",151.571428571429,135.5594945725,140.82486059874,130.294128546261,142.110238612833
"1062",2020-10-21 09:30:00,NA,"Wednesday",151.714285714286,135.684076116103,140.949442142343,130.418710089864,142.234880703227
"1063",2020-10-21 10:30:00,NA,"Wednesday",151.857142857143,135.808661691295,141.074027717534,130.543295665056,142.359526771073
"1064",2020-10-21 11:30:00,NA,"Wednesday",152,135.933251292356,141.198617318595,130.667885266116,142.48417681075
"1065",2020-10-22 05:30:00,NA,"Thursday",152.142857142857,136.057844913579,141.323210939819,130.79247888734,142.608830816651
"1066",2020-10-22 06:30:00,NA,"Thursday",152.285714285714,136.182442549275,141.447808575514,130.917076523035,142.733488783183
"1067",2020-10-22 07:30:00,NA,"Thursday",152.428571428571,136.307044193764,141.572410220003,131.041678167525,142.858150704768
"1068",2020-10-22 08:30:00,NA,"Thursday",152.571428571429,136.431649841385,141.697015867624,131.166283815145,142.98281657584
"1069",2020-10-22 09:30:00,NA,"Thursday",152.714285714286,136.556259486488,141.821625512728,131.290893460249,143.107486390849
"1070",2020-10-22 10:30:00,NA,"Thursday",152.857142857143,136.680873123439,141.946239149679,131.4155070972,143.232160144258
"1071",2020-10-22 11:30:00,NA,"Thursday",153,136.805490746618,142.070856772858,131.540124720379,143.356837830544
"1072",2020-10-23 05:30:00,NA,"Friday",153.142857142857,136.930112350418,142.195478376658,131.664746324179,143.481519444197
"1073",2020-10-23 06:30:00,NA,"Friday",153.285714285714,137.054737929247,142.320103955486,131.789371903007,143.606204979722
"1074",2020-10-23 07:30:00,NA,"Friday",153.428571428571,137.179367477525,142.444733503765,131.914001451286,143.730894431637
"1075",2020-10-23 08:30:00,NA,"Friday",153.571428571429,137.304000989689,142.569367015929,132.03863496345,143.855587794473
"1076",2020-10-23 09:30:00,NA,"Friday",153.714285714286,137.428638460188,142.694004486427,132.163272433949,143.980285062776
"1077",2020-10-23 10:30:00,NA,"Friday",153.857142857143,137.553279883485,142.818645909724,132.287913857245,144.104986231105
"1078",2020-10-23 11:30:00,NA,"Friday",154,137.677925254056,142.943291280295,132.412559227816,144.229691294032
