,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,3.6%,3.3%,3.3%,3.9%,4.1%,3.3%,3.3%,4.1%,4.0%,4.9%,16.2%
STD,5.1%,4.0%,4.3%,4.9%,5.5%,4.3%,4.2%,5.5%,5.2%,6.2%,28.0%
MEDIAN,-0.2%,-2.5%,-0.7%,0.5%,0.6%,-0.7%,-0.8%,0.6%,0.6%,-1.1%,-5.3%
