,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,4.0%,4.7%,4.7%,2.9%,3.0%,4.7%,4.8%,2.9%,2.9%,9.0%,32.7%
STD,4.8%,5.0%,5.6%,3.5%,3.5%,5.6%,5.8%,3.5%,3.5%,14.5%,58.6%
