,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,5.30%,6.74%,7.87%,6.17%,6.56%,7.85%,7.88%,6.50%,6.44%,10.99%,14.21%
STD,8.36%,9.04%,10.20%,8.94%,8.48%,10.19%,10.20%,8.38%,8.25%,14.38%,17.75%
MEDIAN,0.57%,3.31%,2.51%,-2.15%,0.08%,2.46%,2.58%,0.07%,0.02%,3.12%,-2.18%
