Date,Close,Volume,Dividends,fedfunds,spy_returns,spy_returns_6mo,spy_returns_9mo,spy_returns_12mo,spy_returns_18mo,spy_returns_24mo
1995-12-01,37.45528793334961,465200,0.0,5.6,0.037480265939219715,0.2730958270939572,0.33107566807264077,0.4110127548571523,0.3886487301807191,0.47475752595516907
1996-02-01,39.49248504638672,373900,0.0,5.22,0.05439010685653334,0.26375543340832697,0.4598239251818801,0.43735835411112967,0.43884952278872835,0.5538726937896608
1996-03-01,40.10082244873047,1452600,0.0,5.31,0.015403877513132214,0.23412713087651138,0.41006438064289696,0.41725147568710064,0.47872299272819596,0.5442363872925393
1996-04-01,40.618370056152344,773400,0.0,5.22,0.012906159420634555,0.18595339837746816,0.3806081937979964,0.44348440611973206,0.43916709962982337,0.5427546568851354
1996-05-01,40.67654037475586,561900,0.0,5.24,0.0014321184853822722,0.17520461991789626,0.3016450813483087,0.5035920571457739,0.48276427881018,0.5586283278005502
1996-07-01,42.237613677978516,471300,0.0,5.4,0.03837773047659354,0.1699467041675018,0.29988817686018243,0.4852003259239446,0.5511109255712159,0.5640622710066472
1996-08-01,40.6580810546875,1168600,0.0,5.22,-0.03739635092392868,0.08550977173202212,0.18711285882850603,0.38195796066175136,0.5316681334359592,0.5073917661144349
1996-10-01,43.27819061279297,561400,0.0,5.24,0.064442528770142,0.09585888459436442,0.2503700924724206,0.384897619654917,0.5751419226986143,0.5767760331423895
1996-11-01,44.277835845947266,821300,0.0,5.31,0.023098129080719954,0.1041627862510095,0.22645915819444418,0.36267725141657325,0.564876338213024,0.6327508997441962
1997-04-01,47.997474670410156,3210900,0.0,5.51,0.0840067892524008,0.18166914635069453,0.2814605712234812,0.4014045398724082,0.7057209859500431,0.7006193580755784
1997-05-01,50.617313385009766,2149500,0.0,5.5,0.0545828448806851,0.24438590201302413,0.2816948167621296,0.46240806100640475,0.8710487582909625,0.845130964559897
1997-07-01,56.749366760253906,1749000,0.0,5.52,0.12114537428334038,0.3435741704754831,0.41516715356172207,0.5719101725523767,0.9954767958931812,1.0840325751398052
1997-08-01,60.30243682861328,7077700,0.0,5.54,0.06260986282666114,0.4831599343683479,0.4846099620750157,0.6099846017982664,1.0496646782348993,1.2717088082609673
1997-10-01,60.9619255065918,3567500,0.0,5.5,0.010936352039186525,0.4086061511215662,0.49869986348261786,0.5436335656008402,0.950775305719531,1.2187546012027184
1997-12-01,62.5357780456543,4850900,0.0,5.5,0.0258169755299531,0.41234947126211385,0.48057081355092435,0.5594637273489158,0.9245764955391078,1.2101522688657576
1998-04-01,71.13899993896484,2929000,0.0,5.45,0.1375727969200249,0.4821404756700909,0.7496890677963557,0.7513996706568886,1.0770783913327158,1.5281181134764532
1998-05-01,72.27233123779297,4008800,0.0,5.49,0.015931223376776327,0.42781839660412135,0.6699480781072529,0.7767570833690094,1.0880531328471066,1.671517838031134
1998-06-01,70.30658721923828,6092200,0.0,5.56,-0.027199122885450122,0.23889641828531505,0.5878505775180838,0.6645492275027396,0.9474338826413913,1.4721890552035188
1998-07-01,73.81031799316406,3489500,0.0,5.54,0.04983502844477483,0.22400224393819768,0.5377958632200124,0.8153910877860877,0.9706247653070235,1.50879416548038
1998-09-01,64.43309020996094,24748500,0.0,5.51,-0.12704494490962082,0.05693987967938785,0.2729456761141078,0.4888120158820737,0.6315278750952165,1.0618522169087221
1998-10-01,63.85289764404297,13335600,0.0,5.07,-0.009004574575382951,0.021061856741066087,0.125173747115082,0.44209617349415686,0.5923089289672276,0.9651116499753754
1998-12-01,76.00963592529297,8950600,0.0,4.68,0.19038663443309112,0.06846646692400782,0.2604737042604335,0.5836173975242902,0.8713118182786366,1.2192886103114682
1999-02-01,82.27961730957031,9426800,0.0,4.76,0.08248929636289626,0.13846635220401327,0.3496886232813208,0.625523201591677,1.0227781554557578,1.377178233360607
1999-03-01,80.33455657958984,7607200,0.0,4.81,-0.02363964239967642,0.14263200301674672,0.28461752760062464,0.41560269595562294,0.9019672179414338,1.2252002780652131
1999-04-01,84.06339263916016,7683600,0.0,4.74,0.04641633959697078,0.13891112956518747,0.18167802065370697,0.39402977823397656,1.0675691143930273,1.2443664774049545
1999-06-01,84.3274154663086,6705300,0.0,4.76,0.0031407586448688463,0.30875944629568797,0.16680082158760823,0.3832800516970267,0.9484967895441898,1.135277518425596
1999-07-01,89.98042297363281,9939500,0.0,4.99,0.06703641367477653,0.40918308007322457,0.27982919570601905,0.43886309222766084,1.0321775275263074,1.243854800950135
1999-09-01,87.14876556396484,6863900,0.0,5.22,-0.031469705476909526,0.14654891452999608,0.1807125065094033,0.22504906786342094,0.8156948081622921,1.1455505339945238
1999-10-01,83.98260498046875,11127100,0.0,5.2,-0.03633052703623463,0.020697564312812666,0.3034079959040299,0.16202983274672889,0.6591675725985895,1.0646447364188556
1999-11-01,88.61994934082031,4006500,0.0,5.42,0.055217915203154666,0.10313609875996366,0.3878767074102851,0.2604786101261771,0.5616024354105729,1.0981286967692547
1999-12-01,91.78640747070312,6980200,0.0,5.3,0.03573075987332208,0.09187131983470853,0.2075627827097679,0.24354439821277984,0.5221011338492181,1.2575194177817943
2000-02-01,92.3598403930664,8419900,0.0,5.73,0.0062474710380870935,0.09525282949015579,0.12251178861916778,0.43342248667732175,0.5150413905984574,1.1340966220007584
2000-03-01,90.72151184082031,6868000,0.0,5.85,-0.017738538148979743,0.008236112286387653,0.12929622946184804,0.42078927015278533,0.45071373021998706,1.0489147698288876
2000-05-01,96.61865234375,7328300,0.0,6.27,0.06500267007539273,0.10866346434746132,0.14935466331323255,0.2711368916266468,0.35816714357308843,1.012994496214906
2000-06-01,95.46893310546875,8961600,0.0,6.53,-0.011899557801642424,0.13677032437456904,0.13212212869978845,0.16029870127220835,0.320961029904425,0.8860924596946649
2000-08-01,94.74706268310547,3946600,0.0,6.5,-0.007561312344046001,0.06913921061634909,0.052974186516876465,0.17940605783062646,0.34762710622909365,0.669570395091428
2000-09-01,100.42694091796875,3191200,0.0,6.52,0.059947802855486954,0.0941373966512804,0.15236217367024074,0.19465724336214563,0.36060843048081415,0.6653877720297456
2000-11-01,94.05668640136719,6753600,0.0,6.51,-0.06343172915925965,0.01837211932241667,0.11995438130600133,0.11537494516176339,0.459757495641993,0.5428759118049324
2000-12-01,87.28971862792969,7587200,0.0,6.4,-0.0719456322813764,-0.03782777803474047,-0.015010510870128502,-0.02990321957579134,0.36704396900730485,0.39583645324127503
2001-02-01,91.33950805664062,8239100,0.0,5.49,0.04639480447832667,-0.05463897662665829,-0.004868906261584982,0.04808722723215042,0.20168327271577535,0.2839582807603034
2001-03-01,82.51222229003906,14672000,0.0,5.31,-0.09664258057014785,-0.13571651419960706,-0.10662229450719818,-0.017508181495104136,0.0028270061052131368,0.14168480353227353
2001-05-01,84.36114501953125,10578000,0.0,4.21,0.022407864897797003,-0.10961730495341415,-0.07010869519512575,-0.048056948271435806,0.050122744325502566,0.19990385476209216
2001-06-01,84.148681640625,8848300,0.0,3.97,-0.00251849804619253,-0.16209056184077375,-0.12906380290587494,-0.08321194870292725,0.001014579578425323,0.14006664553888548
2001-08-01,81.31158447265625,11940800,0.0,3.65,-0.03371528956431169,-0.1355044751876957,-0.14829272908258284,-0.11962186025214883,-0.03576335141988618,0.26195382229371966
