Date,Close,Volume,Dividends,t10yr_t2yr,Close_ewma,returns,returns_3mo,returns_6mo,returns_9mo,returns_12mo,returns_18mo,returns_24mo
1976-06-01,99.8499984741211,13880000,0,0.68,100.04365801021316,,,,,,,
1976-06-02,100.22000122070312,16120000,0,0.71,100.08774381283565,0.00044066564037459344,,,,,,
1976-06-03,100.12999725341797,18900000,0,0.7,100.09830717298124,0.00010554099576198794,,,,,,
1976-06-04,99.1500015258789,15960000,0,0.77,99.86123076120566,-0.0023684357755009433,,,,,,
1976-06-07,98.62999725341797,14510000,0,0.79,99.55342238425874,-0.0030823611385580874,,,,,,
1976-06-08,98.80000305175781,16660000,0,0.79,99.3650675511335,-0.0018919975688853619,,,,,,
1976-06-09,98.73999786376953,14560000,0,0.82,99.20880012929251,-0.0015726595441660773,,,,,,
1976-06-10,99.55999755859375,16100000,0,0.86,99.29659948661782,0.0008849956577530182,,,,,,
1976-06-11,100.91999816894531,19470000,0,0.83,99.7024491571997,0.004087246418106982,,,,,,
1976-06-14,101.94999694824219,21250000,0,0.83,100.26433610496032,0.005635638367064599,,,,,,
1976-06-15,101.45999908447266,18440000,0,0.83,100.56325184983841,0.0029812768576573667,,,,,,
1976-06-16,102.01000213623047,21620000,0,0.81,100.92493942143643,0.0035966177002519917,,,,,,
1976-06-17,103.61000061035156,27810000,0,0.79,101.59620471866522,0.00665113401183981,,,,,,
1976-06-18,103.76000213623047,25720000,0,0.82,102.13715407305654,0.005324503566735528,,,,,,
1976-06-21,104.27999877929688,18930000,0,0.85,102.67286524961662,0.005245017657109496,,,,,,
1976-06-22,103.47000122070312,21150000,0,0.8,102.87214924238825,0.001940960664603253,,,,,,
1976-06-23,103.25,17530000,0,0.8,102.96661193179119,0.0009182532891420792,,,,,,
1976-06-24,103.79000091552734,19850000,0,0.82,103.17245917772523,0.00199916499214714,,,,,,
1976-06-25,103.72000122070312,17830000,0,0.81,103.30934468846971,0.0013267640592793395,,,,,,
1976-06-28,103.43000030517578,17490000,0,0.84,103.33950859264623,0.00029197653191470607,,,,,,
1976-06-29,103.86000061035156,19620000,0,0.84,103.46963159707256,0.0012591796322476423,,,,,,
1976-06-30,104.27999877929688,23830000,0,0.84,103.67222339262865,0.0019579831534048964,,,,,,
1976-07-01,103.58999633789062,21130000,0,0.86,103.65166662894416,-0.00019828612729411166,,,,,,
1976-07-02,104.11000061035156,16730000,0,0.85,103.76625012429601,0.00110546698454983,,,,,,
1976-07-06,103.54000091552734,16130000,0,0.86,103.70968782210385,-0.0005450934395760942,,,,,,
1976-07-07,103.83000183105469,18470000,0,0.85,103.73976632434156,0.00029002596449156925,,,,,,
1976-07-08,103.9800033569336,21710000,0,0.9,103.79982558248958,0.0005789415214243476,,,,,,
1976-07-09,104.9800033569336,23500000,0,1.01,104.09487002610058,0.002842436795585268,,,,,,
1976-07-12,105.9000015258789,23750000,0,1.04,104.54615290104516,0.004335303697784898,,,,,,
1976-07-13,105.66999816894531,27550000,0,1.03,104.8271142180202,0.0026874381235335587,,,,,,
1976-07-14,105.94999694824219,23840000,0,1.03,105.1078349005757,0.002677939621343217,,,,,,
1976-07-15,105.19999694824219,20400000,0,1.05,105.13087541249233,0.00021920832008781588,,,,,,
1976-07-16,104.68000030517578,20450000,0,0.98,105.0181566356632,-0.0010721757655575148,,,,,,
1976-07-19,104.29000091552734,18200000,0,0.97,104.83611770562925,-0.0017334043546917144,,,,,,
1976-07-20,103.72000122070312,18810000,0,0.96,104.55708858439772,-0.002661574344206663,,,,,,
1976-07-21,103.81999969482422,18350000,0,0.96,104.37281636200434,-0.001762407741916383,,,,,,
1976-07-22,103.93000030517578,15600000,0,0.95,104.26211234779721,-0.0010606594520087276,,,,,,
1976-07-23,104.05999755859375,15870000,0,0.94,104.21158365049635,-0.0004846314367035198,,,,,,
1976-07-26,104.06999969482422,13530000,0,1.01,104.17618766157833,-0.0003396550333285564,,,,,,
1976-07-27,103.4800033569336,15580000,0,1.09,104.00214158541715,-0.0016706896275238137,,,,,,
1976-07-28,103.05000305175781,16000000,0,1.06,103.76410695200232,-0.002288747421795412,,,,,,
1976-07-29,102.93000030517578,13330000,0,1.1,103.5555802902957,-0.0020096222849301792,,,,,,
1976-07-30,103.44000244140625,14830000,0,1.12,103.52668582807334,-0.0002790237101791826,,,,,,
1976-08-02,103.19000244140625,13870000,0,1.1,103.44251498140657,-0.0008130352671247287,,,,,,
1976-08-03,104.13999938964844,18500000,0,1.1,103.61688608346705,0.0016856811929970572,,,,,,
1976-08-04,104.43000030517578,20650000,0,1.08,103.82016463889424,0.0019618284539397735,,,,,,
1976-08-05,103.8499984741211,15530000,0,1.08,103.82762309770096,7.184017510142304e-05,,,,,,
1976-08-06,103.79000091552734,13930000,0,1.13,103.81821755215756,-9.058808496997806e-05,,,,,,
1976-08-09,103.48999786376953,11700000,0,1.16,103.73616263006056,-0.0007903711316925577,,,,,,
1976-08-10,104.41000366210938,16690000,0,1.16,103.90462288807277,0.0016239299174094501,,,,,,
1976-08-11,104.05999755859375,18710000,0,1.16,103.94346655570301,0.0003738396478478734,,,,,,
1976-08-12,104.22000122070312,15560000,0,1.17,104.01260022195305,0.0006651083376461031,,,,,,
1976-08-13,104.25,13930000,0,1.18,104.07195016646479,0.0005706034113663883,,,,,,
1976-08-16,104.43000030517578,16210000,0,1.17,104.16146270114254,0.000860102405447094,,,,,,
1976-08-17,104.80000305175781,18500000,0,1.18,104.32109778879637,0.0015325734058846407,,,,,,
1976-08-18,104.55999755859375,17150000,0,1.17,104.38082273124571,0.0005725106782357159,,,,,,
1976-08-19,103.38999938964844,17230000,0,1.15,104.1331168958464,-0.0023730971735784756,,,,,,
1976-08-20,102.37000274658203,14920000,0,1.08,103.69233835853031,-0.00423283726114676,,,,,,
1976-08-23,101.95999908447266,15450000,0,1.11,103.2592535400159,-0.004176632771236699,,,,,,
1976-08-24,101.2699966430664,16740000,0,1.12,102.76193931577853,-0.0048161710179770445,,,,,,
1976-08-25,102.02999877929688,17400000,0,1.16,102.57895418165812,-0.0017806703078862007,,,,,,
1976-08-26,101.31999969482422,15270000,0,1.14,102.26421555994965,-0.003068257267968444,,,,,,
1976-08-27,101.4800033569336,12120000,0,1.12,102.06816250919564,-0.0019171227166855376,,,,,,
1976-08-30,102.06999969482422,11140000,0,1.14,102.06862180560279,4.499898850429673e-06,0.02024080122283123,,,,,
1976-08-31,102.91000366210938,15480000,0,1.16,102.27896726972943,0.0020608239868984413,0.02189302479423838,,,,,
1976-09-01,104.05999755859375,18640000,0,1.14,102.72422484194551,0.004353363981881575,0.026233387388124196,,,,,
1976-09-02,103.91999816894531,18920000,0,1.13,103.02316817369547,0.0029101541745377713,0.03166331306341319,,,,,
1976-09-03,104.30000305175781,13280000,0,1.13,103.34237689321105,0.003098416843261953,0.0380595103433774,,,,,
1976-09-07,105.02999877929688,16310000,0,1.18,103.76428236473251,0.004082598873813792,0.044273253387918876,,,,,
1976-09-08,104.94000244140625,19750000,0,1.2,104.05821238390095,0.0028326704764869426,0.04888086790978741,,,,,
1976-09-09,104.4000015258789,16540000,0,1.17,104.14365966939545,0.0008211488890397245,0.04881395946928535,,,,,
1976-09-10,104.6500015258789,16930000,0,1.18,104.27024513351631,0.0012154889171622774,0.045814280541038865,,,,,
1976-09-13,104.29000091552734,16100000,0,1.17,104.27518407901907,4.7366777515822633e-05,0.04000273806091981,,,,,
1976-09-14,103.94000244140625,15550000,0,1.15,104.19138866961588,-0.0008035987674660516,0.036078157309342274,,,,,
1976-09-15,104.25,17570000,0,1.17,104.20604150221192,0.00014063381612561265,0.03251032004165433,,,,,
