"Open","High","Low","Close","Volume","Adjusted","Date"
17.66,17.66,17.66,17.66,0,17.66,"1927-12-30"
17.76,17.76,17.26,17.57,0,17.57,"1928-01-31"
17.530001,17.629999,16.950001,17.26,0,17.26,"1928-02-29"
17.299999,19.280001,17.299999,19.280001,0,19.280001,"1928-03-30"
18.91,19.75,18.91,19.75,0,19.75,"1928-04-30"
19.780001,20.440001,19.360001,20,0,20,"1928-05-31"
20.07,20.07,18.34,19.139999,0,19.139999,"1928-06-29"
18.98,19.48,18.700001,19.43,0,19.43,"1928-07-31"
19.42,20.870001,19.129999,20.870001,0,20.870001,"1928-08-31"
20.969999,21.43,20.92,21.139999,0,21.139999,"1928-09-28"
21.360001,22,21.110001,21.68,0,21.68,"1928-10-31"
21.99,24.280001,21.950001,24.280001,0,24.280001,"1928-11-30"
23.85,24.35,22.309999,24.35,0,24.35,"1928-12-31"
24.809999,25.74,24.17,25.74,0,25.74,"1929-01-31"
25.84,25.84,24.35,25.59,0,25.59,"1929-02-28"
25.83,26.08,24.35,25.530001,0,25.530001,"1929-03-28"
24.879999,25.940001,24.629999,25.940001,0,25.940001,"1929-04-30"
25.99,26.370001,24.200001,24.83,0,24.83,"1929-05-31"
25.27,27.41,25.27,27.41,0,27.41,"1929-06-28"
27.77,28.879999,27.77,28.879999,0,28.879999,"1929-07-31"
29.08,31.709999,28.379999,31.709999,0,31.709999,"1929-08-30"
31.82,31.860001,30.16,30.16,0,30.16,"1929-09-30"
29.98,30.809999,20.43,24.15,0,24.15,"1929-10-31"
22.879999,22.879999,17.66,20.92,0,20.92,"1929-11-27"
20.950001,22.57,20.16,21.450001,0,21.450001,"1929-12-31"
21.18,22.790001,21.18,22.790001,0,22.790001,"1930-01-31"
22.74,23.360001,22.639999,23.280001,0,23.280001,"1930-02-28"
23.360001,24.85,23.360001,24.15,0,24.15,"1930-03-31"
25.370001,25.92,24.73,24.9,0,24.9,"1930-04-30"
24.299999,24.57,22.98,24.49,0,24.49,"1930-05-29"
24.4,24.4,19.389999,20.459999,0,20.459999,"1930-06-30"
20.24,21.82,19.83,21.209999,0,21.209999,"1930-07-31"
21.110001,21.52,19.879999,21.370001,0,21.370001,"1930-08-29"
21.379999,21.860001,18.59,18.59,0,18.59,"1930-09-30"
19.42,19.42,16.9,16.940001,0,16.940001,"1930-10-31"
17.129999,17.200001,15.54,16.379999,0,16.379999,"1930-11-28"
16.799999,16.959999,14.44,15.34,0,15.34,"1930-12-31"
15.85,16.42,15.09,16.190001,0,16.190001,"1931-01-30"
16.16,18.17,16.16,18.030001,0,18.030001,"1931-02-27"
17.52,18.059999,16.66,16.690001,0,16.690001,"1931-03-31"
16.52,16.719999,14.37,15.09,0,15.09,"1931-04-30"
14.65,15.44,13.02,13.02,0,13.02,"1931-05-29"
12.4,15.35,12.2,14.83,0,14.83,"1931-06-30"
15.07,15.26,13.73,13.73,0,13.73,"1931-07-31"
13.93,14.29,13.55,13.86,0,13.86,"1931-08-31"
13.92,13.92,9.71,9.71,0,9.71,"1931-09-30"
9.53,10.96,8.82,10.43,0,10.43,"1931-10-30"
10.5,11.52,9.31,9.5,0,9.5,"1931-11-30"
9.38,9.38,7.72,8.12,0,8.12,"1931-12-31"
7.56,8.92,7.55,7.94,0,7.94,"1932-01-29"
8.23,8.84,7.5,8.29,0,8.29,"1932-02-29"
8.35,8.98,7.31,7.31,0,7.31,"1932-03-31"
7.18,7.18,5.83,5.83,0,5.83,"1932-04-29"
5.74,6.09,4.47,4.47,0,4.47,"1932-05-31"
4.4,5.12,4.4,4.43,0,4.43,"1932-06-30"
4.6,6.03,4.41,6.03,0,6.03,"1932-07-29"
6.11,8.58,5.87,8.39,0,8.39,"1932-08-31"
8.47,9.31,7.34,8.08,0,8.08,"1932-09-30"
8.06,8.06,6.42,6.96,0,6.96,"1932-10-31"
6.76,7.68,6.48,6.55,0,6.55,"1932-11-30"
6.73,7.12,6.47,6.92,0,6.92,"1932-12-30"
6.83,7.34,6.83,6.94,0,6.94,"1933-01-31"
6.67,6.76,5.53,5.66,0,5.66,"1933-02-28"
5.77,6.93,5.65,5.85,0,5.85,"1933-03-31"
5.87,7.91,5.87,7.83,0,7.83,"1933-04-28"
8.43,9.78,8.34,9.64,0,9.64,"1933-05-31"
9.74,10.98,9.74,10.91,0,10.91,"1933-06-30"
11.62,12.2,9.65,9.95,0,9.95,"1933-07-31"
10.25,11.28,10.05,11.09,0,11.09,"1933-08-31"
11.23,11.23,9.65,9.72,0,9.72,"1933-09-29"
9.62,10.32,8.61,8.96,0,8.96,"1933-10-31"
9.12,10.23,9.12,9.88,0,9.88,"1933-11-29"
9.91,10.31,9.55,9.97,0,9.97,"1933-12-29"
10.11,11.33,9.76,11.17,0,11.17,"1934-01-31"
11.46,11.82,10.69,10.76,0,10.76,"1934-02-28"
10.72,11.07,10.42,10.62,0,10.62,"1934-03-29"
10.76,11.16,10.46,10.46,0,10.46,"1934-04-30"
10.46,10.46,9.45,9.61,0,9.61,"1934-05-31"
9.38,10.37,9.38,9.81,0,9.81,"1934-06-29"
9.69,9.99,8.36,8.68,0,8.68,"1934-07-31"
8.95,9.52,8.69,9.15,0,9.15,"1934-08-31"
9.06,9.21,8.45,9.08,0,9.08,"1934-09-28"
8.83,9.19,8.76,8.81,0,8.81,"1934-10-31"
8.77,9.54,8.77,9.54,0,9.54,"1934-11-30"
9.41,9.56,9.02,9.5,0,9.5,"1934-12-31"
