,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,3.83%,8.78%,11.36%,5.40%,6.01%,9.69%,12.66%,5.79%,5.09%,16.36%,15.61%
STD,5.47%,10.44%,13.40%,6.21%,6.92%,12.67%,14.50%,6.74%,6.24%,21.42%,17.36%
MEDIAN,0.50%,3.26%,2.98%,2.48%,3.02%,0.79%,-5.49%,2.97%,1.92%,18.24%,8.19%
