Date,Close,Adj Close,Volume,Dividends,Returns,ADV_20,Dollar_ADV_20
2000-07-28,34.14583206176758,21.769607543945312,4200,0.0,,,
2000-07-31,34.35416793823242,21.90243530273437,7500,0.0,0.0061013559748075,,
2000-08-01,34.69791793823242,22.12158966064453,2400,0.0,0.0100060639110237,,
2000-08-02,34.890625,22.24444007873535,1500,0.0,0.0055538508711279,,
2000-08-03,34.95833206176758,22.287612915039062,45300,0.0,0.0019405517031458,12180.0,425792.4845123291
2000-08-04,35.125,22.39386749267578,68100,0.0,0.0047676170000885,21500.0,755187.5
2000-08-07,35.41145706176758,22.57650184631348,6600,0.0,0.0081553611891125,19371.42857142857,685970.5110822405
2000-08-08,35.46354293823242,22.60970687866211,1800,0.0,0.0014708763995221,17175.0,609086.3499641418
2000-08-09,35.40104293823242,22.569854736328125,3000,0.0,-0.001762373266226,15600.0,552256.2698364258
2000-08-10,35.33333206176758,22.52669143676757,2700,0.0,-0.0019126802728096,14310.0,505619.9818038941
2000-08-11,35.27083206176758,22.48684883117676,600,0.0,-0.0017688679881857,13063.636363636364,460765.3242978183
2000-08-14,36.0625,22.99156379699707,1500,0.0,0.0224454001211547,12100.0,436356.25
2000-08-15,35.75,22.79234313964844,5400,0.0,-0.0086655112651646,11584.615384615385,414150.0
2000-08-16,35.85416793823242,22.85874938964844,5400,0.0,0.0029137884820258,11142.857142857143,399517.8713117327
2000-08-17,36.02083206176758,22.96500015258789,1200,0.0,0.004648389102831,10480.0,377498.3200073242
2000-08-18,36.02083206176758,22.96500015258789,0,0.0,0.0,9825.0,353904.67500686646
2000-08-21,35.78125,22.8122615814209,3000,0.0,-0.0066512084272997,9423.529411764706,337185.6617647059
2000-08-22,35.8125,22.832195281982425,600,0.0,0.0008733624454149,8933.333333333334,319925.0
2000-08-23,35.796875,22.82221794128418,300,0.0,-0.0004363001745201,8478.947368421053,303519.8190789474
2000-08-24,35.85416793823242,22.85874938964844,900,0.0,0.001600501111687,8100.0,290418.7602996826
2000-08-25,35.89583206176758,22.88530921936035,20100,0.0,0.0011620440783044,8895.0,319293.4261894226
2000-08-28,35.84375,22.85211563110352,9000,0.0,-0.0014509222596639,8970.0,321518.4375
2000-08-29,36.02083206176758,22.96500015258789,15000,0.0,0.0049403888200196,9600.0,345799.98779296875
2000-08-30,36.015625,22.961688995361328,37500,0.0,-0.0001445569541161,11400.0,410578.125
2000-08-31,36.20833206176758,23.084550857543945,12300,0.0,0.0053506516065617,9750.0,353031.2376022339
2000-09-01,36.27083206176758,23.12439727783203,32100,0.0,0.0017261220399045,7950.0,288353.11489105225
2000-09-05,36.27083206176758,23.12439727783203,11400,0.0,0.0,8190.0,297058.11458587646
2000-09-06,36.5,23.27050399780273,127800,0.0,0.0063182432055091,14490.0,528885.0
2000-09-07,36.8125,23.46973991394043,47700,0.0,0.0085616438356164,16725.0,615689.0625
2000-09-08,36.60416793823242,23.33691024780273,12600,0.0,-0.0056592750225488,17220.0,630323.7718963623
2000-09-11,36.78125,23.449819564819336,28200,0.0,0.0048377567840469,18600.0,684131.25
2000-09-12,36.70833206176758,23.4033203125,6900,0.0,-0.0019824758058092,18870.0,692686.2260055542
2000-09-13,36.8125,23.46973991394043,73200,0.0,0.0028377191874897,22260.0,819446.25
2000-09-14,36.91666793823242,23.53616523742676,8100,0.0,0.0028296893238008,22395.0,826748.7784767151
2000-09-15,36.45833206176758,23.24393653869629,46500,0.0,-0.012415418347932,24660.0,899062.4686431885
2000-09-18,35.83854293823242,22.848800659179688,34200,0.0,-0.0169999308384461,26370.0,945062.377281189
2000-09-19,35.8125,22.832195281982425,4800,0.0,-0.0007266740245915,26460.0,947598.75
2000-09-20,35.64583206176758,22.810850143432617,116400,0.133333,-0.0046539040344131,32250.0,1149578.0839920044
2000-09-21,35.54166793823242,22.74419212341309,4200,0.0,-0.0029221964395349,32445.0,1153149.416255951
2000-09-22,35.35416793823242,22.62421226501465,13200,0.0,-0.0052754980527603,33060.0,1168808.792037964
2000-09-25,35.27083206176758,22.570878982543945,16500,0.0,-0.0023571726142852,32880.0,1159704.958190918
2000-09-26,35.22916793823242,22.544225692749023,15900,0.0,-0.001181262848072,33225.0,1170489.1047477722
2000-09-27,35.23958206176758,22.55088996887207,4800,0.0,0.0002956108288851,32715.0,1152862.9271507263
2000-09-28,35.23958206176758,22.55088996887207,0,0.0,0.0,30840.0,1086788.710784912
2000-09-29,36.0,23.037500381469727,3900,0.0,0.0215785175005642,30420.0,1095120.0
2000-10-02,35.77083206176758,22.890850067138672,3300,0.0,-0.0063657760620117,28980.0,1036638.7131500244
2000-10-03,35.47916793823242,22.704200744628903,1200,0.0,-0.0081536857468543,28470.0,1010091.911201477
2000-10-04,35.40104293823242,22.654197692871094,1500,0.0,-0.0022019963978865,22155.0,784310.1062965393
2000-10-05,35.40104293823242,22.654197692871094,0,0.0,0.0,19770.0,699878.618888855
