Date,Close,Adj Close,Volume,Dividends,Returns,ADV_20,Dollar_ADV_20
2010-02-11,19970.560546875,18463.65625,19,0.0,,,
2010-02-12,20339.19921875,18804.478515625,14,0.0,0.0184591048914088,,
2010-02-16,19166.720703125,17720.46875,24,0.0,-0.0576462476725304,,
2010-02-17,18905.599609375,17479.05078125,22,0.0,-0.0136236708300041,,
2010-02-18,18416.640625,17026.986328125,93,0.0,-0.025863183103303,34.4,633532.4375
2010-02-19,18365.439453125,16979.6484375,220,0.0,-0.0027801580601782,65.33333333333333,1199875.3776041665
2010-02-22,18462.720703125,17069.587890625,38,0.0,0.0052969737124066,61.42857142857143,1134138.5574776786
2010-02-23,18977.279296875,17545.322265625,132,0.0,0.0278701390777635,70.25,1333153.8706054688
2010-02-24,18470.400390625,17076.689453125,189,0.0,-0.0267097774301855,83.44444444444444,1541252.2992621528
2010-02-25,18711.0390625,17299.16796875,178,0.0,0.013028340847291,92.9,1738255.52890625
2010-02-26,18711.0390625,17299.16796875,139,0.0,0.0,97.0909090909091,1816671.7926136365
2010-03-01,18301.439453125,16920.4765625,80,0.0,-0.021890799757663,95.66666666666669,1750837.7076822915
2010-03-02,18311.6796875,16929.947265625,110,0.0,0.0005595316369091,96.76923076923076,1772007.1574519232
2010-03-03,18319.359375,16937.046875,70,0.0,0.0004193873872335,94.85714285714286,1737722.0892857143
2010-03-04,18060.80078125,16698.0,47,0.0,-0.0141139539029322,91.66666666666669,1655573.4049479167
2010-03-05,17428.48046875,16113.3896484375,318,0.0,-0.0350106465465501,105.8125,1844151.089599609
2010-03-08,17495.0390625,16174.927734375,31,0.0,0.00381895563812,101.41176470588236,1774202.7849264706
2010-03-09,17418.240234375,16103.919921875,83,0.0,-0.0043897488797047,100.38888888888889,1748597.7835286458
2010-03-10,17384.9609375,16073.1533203125,75,0.0,-0.0019106004066543,99.05263157894736,1722026.1307565789
2010-03-11,17154.560546875,15860.1357421875,101,0.0,-0.0132528563885362,99.15,1700874.6782226562
2010-03-12,17093.119140625,15803.3330078125,172,0.0,-0.0035816368529004,106.8,1825545.12421875
2010-03-15,17003.51953125,15720.494140625,52,0.0,-0.0052418525043829,108.7,1848282.573046875
2010-03-16,16752.640625,15488.546875,122,0.0,-0.0147545280721982,113.6,1903099.975
2010-03-17,16583.6796875,15332.3349609375,69,0.0,-0.0100856301571859,115.95,1922877.659765625
2010-03-18,16353.2802734375,15119.3212890625,71,0.0,-0.0138931418360765,114.85,1878174.2394042967
2010-03-19,16535.0390625,15287.3662109375,144,0.0,0.0111145156215373,111.05,1836216.087890625
2010-03-22,16286.7197265625,15057.78125,127,0.0,-0.0150177653042662,115.5,1881116.1284179688
2010-03-23,15859.2001953125,14662.5224609375,136,0.0,-0.0262495787013972,115.7,1834909.4625976563
2010-03-24,16061.4404296875,14849.501953125,68,0.0,0.0127522341533197,109.65,1761136.9431152344
2010-03-25,16035.83984375,14825.8330078125,125,0.0,-0.0015939159410746,107.0,1715834.86328125
2010-03-26,15987.2001953125,14780.8642578125,75,0.0,-0.0030331837254197,103.8,1659471.3802734374
2010-03-29,15787.51953125,14596.2490234375,79,0.0,-0.0124900333781425,103.75,1637955.1513671875
2010-03-30,15772.16015625,14582.0498046875,52,0.0,-0.0009728808233362,100.85,1590622.3517578123
2010-03-31,15976.9599609375,14771.396484375,129,0.0,0.0129848925358739,103.8,1658408.4439453124
2010-04-01,15641.599609375,14461.3408203125,75,0.0,-0.0209902479809945,105.2,1645496.27890625
2010-04-05,15449.599609375,14283.828125,53,0.0,-0.0122749593900179,91.95,1420590.6840820312
2010-04-06,15467.51953125,14300.3955078125,154,0.0,0.0011598955525116,98.1,1517363.666015625
2010-04-07,15754.240234375,14565.482421875,78,0.0,0.0185369543284377,97.85,1541552.4069335936
2010-04-08,15598.080078125,14421.1064453125,71,0.0,-0.0099122619641959,97.65,1523152.5196289064
2010-04-09,15316.48046875,14160.751953125,67,0.0,-0.0180534788874382,95.95,1469616.3009765623
2010-04-12,15306.240234375,14151.287109375,47,0.0,-0.0006685762042979,89.7,1372969.7490234375
2010-04-13,15232.0,14082.6474609375,54,0.0,-0.0048503246544027,89.8,1367833.6
2010-04-14,14799.3603515625,13682.654296875,91,0.0,-0.0284033382640165,88.25,1306043.5510253906
2010-04-15,14696.9599609375,13587.9814453125,120,0.0,-0.0069192443587056,90.8,1334483.964453125
2010-04-16,15183.3603515625,14037.677734375,182,0.0,0.0330953062346079,96.35,1462916.7698730468
2010-04-19,14899.2001953125,13774.9580078125,104,0.0,-0.0187152349460478,94.35,1405739.5384277345
2010-04-20,14817.2802734375,13699.22265625,74,0.0,-0.0054982764712949,91.7,1358744.6010742188
2010-04-21,14776.3203125,13661.3544921875,101,0.0,-0.0027643373265286,89.95,1329130.012109375
2010-04-22,14712.3203125,13602.181640625,93,0.0,-0.0043312542396539,91.2,1341763.6125
2010-04-23,14446.080078125,13356.0322265625,123,0.0,-0.0180964136669044,91.1,1316037.8951171874
2010-04-26,14417.919921875,13329.9951171875,52,0.0,-0.0019493285443323,89.95,1296891.8969726562
2010-04-27,15249.919921875,14099.2158203125,180,0.0,0.0577059662217767,95.0,1448742.392578125
2010-04-28,15047.6796875,13912.236328125,170,0.0,-0.0132617243507554,100.9,1518310.88046875
2010-04-29,14548.48046875,13450.703125,83,0.0,-0.0331744979370262,98.6,1434480.17421875
2010-04-30,15137.2802734375,13995.0751953125,214,0.0,0.0404715671820323,105.55,1597739.932861328
2010-05-03,14548.48046875,13450.703125,91,0.0,-0.038897331228035,107.45,1563234.2263671877
2010-05-04,15429.1201171875,14264.8935546875,217,0.0,0.0605313833516225,110.6,1706460.6849609374
2010-05-05,15667.2001953125,14485.009765625,388,0.0,0.0154305674151689,126.1,1975633.9446289064
2010-05-06,17128.9609375,15836.4716796875,877,0.0,0.0933006998037113,166.4,2850259.1
2010-05-07,17827.83984375,16482.61328125,827,0.0,0.0408010099853728,204.4,3644010.4640625
