Date,Close,Adj Close,Volume,Dividends,Returns,ADV_20,Dollar_ADV_20
2007-04-11,104.3499984741211,36.38582992553711,1900,0.0,,,
2007-04-12,104.41999816894533,36.41021728515625,6100,0.0,0.0006708164431987,,
2007-04-13,104.2300033569336,36.34400939941406,3400,0.0,-0.0018195251421506,,
2007-04-16,104.19000244140624,36.33004760742188,7600,0.0,-0.0003837754412264,,
2007-04-17,104.13999938964844,36.31261444091797,28100,0.0,-0.0004799217831473,9420.0,980998.7942504884
2007-04-18,104.16999816894533,36.32307052612305,6300,0.0,0.0002880620268166,8900.0,927112.9837036132
2007-04-19,104.52999877929688,36.44857406616211,47500,0.0,0.0034558953314725,14414.285714285714,1506725.268118722
2007-04-20,104.47000122070312,36.42765808105469,4900,0.0,-0.0005739745460098,13225.0,1381615.7661437988
2007-04-23,104.52999877929688,36.44857406616211,1700,0.0,0.0005743041819918,11944.444444444443,1248552.7631971573
2007-04-24,105.25,36.69965362548828,398500,0.0,0.0068879865025477,50600.0,5325650.0
2007-04-25,105.41000366210938,36.75545120239258,16300,0.0,0.0015202248181414,47481.81818181818,5005058.628429066
2007-04-26,105.5999984741211,36.82168197631836,48200,0.0,0.0018024362528317,47541.66666666666,5020399.927457173
2007-04-27,105.5999984741211,36.82168197631836,8300,0.0,0.0,44523.07692307692,4701636.855140099
2007-04-30,105.61000061035156,36.82518005371094,15500,0.0,9.471720052078858e-05,42450.0,4483144.525909424
2007-05-01,105.33000183105467,36.8297233581543,8600,0.293,-0.0026512525109239,40193.333333333336,4233563.873596191
2007-05-02,105.29000091552734,36.81570816040039,4700,0.0,-0.0003797675385167,37975.0,3998387.784767151
2007-05-03,105.3000030517578,36.819244384765625,17200,0.0,9.499606936547168e-05,36752.94117647059,3870084.818043428
2007-05-04,105.43000030517578,36.86468124389648,4600,0.0,0.0012345417820556,34966.666666666664,3686535.677337646
2007-05-07,105.41999816894533,36.86118698120117,4200,0.0,-9.486992508311864e-05,33347.36842105263,3515479.5178865134
2007-05-08,105.5,36.88916015625,16100,0.0,0.0007588866670864,32485.0,3427167.5
2007-05-09,105.22000122070312,36.79124450683594,9400,0.0,-0.0026540168653732,32860.0,3457529.2401123047
2007-05-10,105.5999984741211,36.92411422729492,17400,0.0,0.0036114545619603,33425.0,3529679.9489974976
2007-05-11,105.66000366210938,36.94511795043945,12200,0.0,0.0005682309550694,33865.0,3578176.024017334
2007-05-14,105.6500015258789,36.94163131713867,11600,0.0,-9.466340984098932e-05,34065.0,3598967.301979065
2007-05-15,105.56999969482422,36.91363525390625,39400,0.0,-0.0007572345470822,34630.0,3655889.089431762
2007-05-16,105.8499984741211,37.01153945922852,78100,0.0,0.0026522570816167,38220.0,4045586.941680908
2007-05-17,105.81999969482422,37.00103378295898,14500,0.0,-0.0002834084055675,36570.0,3869837.3888397217
2007-05-18,105.8499984741211,37.01153945922852,5200,0.0,0.0002834887486617,36585.0,3872522.19417572
2007-05-21,105.9499969482422,37.046512603759766,14600,0.0,0.0009447187110309,37230.0,3944518.3863830566
2007-05-22,105.95999908447266,37.04999542236328,10200,0.0,9.440430881135776e-05,17815.0,1887677.3836898804
2007-05-23,105.87999725341795,37.02203750610352,22500,0.0,-0.0007550191746501,18125.0,1919074.9502182007
2007-05-24,105.91000366210938,37.03252410888672,17100,0.0,0.000283400164996,16570.0,1754928.7606811523
2007-05-25,106.05999755859376,37.0849609375,7400,0.0,0.0014162391775842,16525.0,1752641.4596557615
2007-05-29,105.63999938964844,36.93810272216797,4900,0.0,-0.0039600054555279,15995.0,1689711.7902374268
2007-05-30,105.87999725341795,37.02203750610352,4300,0.0,0.0022718465084832,15780.0,1670786.3566589355
2007-05-31,105.70999908447266,36.96258544921875,6200,0.0,-0.0016055739833316,15855.0,1676032.035484314
