,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC
AVG,3.46%,1.69%,1.88%,8.87%,1.84%,1.76%,1.98%,2.34%,3.44%,4.15%,20.30%
STD,4.57%,1.96%,2.43%,11.03%,2.52%,2.45%,2.47%,3.03%,5.15%,7.08%,48.46%
MEDIAN,3.38%,1.16%,0.74%,10.41%,0.49%,0.74%,1.12%,1.04%,0.66%,0.88%,0.31%
