Date,Close,Adj Close,Volume,Dividends,Returns,ADV_20,Dollar_ADV_20,B_Mkt_3mo,R2_Mkt_3mo,B_Mom_3mo,R2_Mom_3mo,B_Vol_3mo,R2_Vol_3mo,B_Qual_3mo,R2_Qual_3mo,B_Hedge_3mo,R2_Hedge_3mo,B_SHedge_3mo,R2_SHedge_3mo,B_Mkt_1yr,R2_Mkt_1yr,B_Mom_1yr,R2_Mom_1yr,B_Vol_1yr,R2_Vol_1yr,B_Qual_1yr,R2_Qual_1yr,B_Hedge_1yr,R2_Hedge_1yr,B_Mkt_Delta,R2_Mkt_Delta,RSI_7,RSI_21,AvgRet_10,AvgRet_42,AvgRet_1yr,STD_10,STD_42,STD_1yr,Returns_10,Returns_42,Returns_1yr,alpha,Mkt_Beta_3mo,Mom_Beta_3mo,Vol_Beta_3mo,Qual_Beta_3mo,R2_multi_ols_3mo,Mkt_Beta_1yr,Mom_Beta_1yr,Vol_Beta_1yr,Qual_Beta_1yr,R2_multi_ols_1yr
2015-11-19,13.06999969482422,13.06999969482422,47466100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,12.850000381469728,12.850000381469728,16550300,0,-0.016832388560928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-23,12.119999885559082,12.119999885559082,5172200,0,-0.0568093754272052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,12.020000457763672,12.020000457763672,4714700,0,-0.0082507779488149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,11.899999618530272,11.899999618530272,3583400,0,-0.0099834305044381,,,,,,,,,,,,,,,,,,,,,,,,,-0.0978584591707402,0.03544018962545159,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,12.050000190734863,12.050000190734863,942300,0,0.0126050905052983,,,2.8773305179422985,0.16704287260204043,-0.3917206997347994,0.0038517003999364308,9.744669196269662,0.2071638835059444,-0.37140179633678116,0.0006827921295841088,-0.19505301367623304,0.19763297809501623,-0.05194374797579746,0.03135049202728124,2.8773305179422985,0.16704287260204043,-0.3917206997347994,0.0038517003999364308,9.744669196269662,0.2071638835059444,-0.37140179633678116,0.0006827921295841088,-0.19505301367623304,0.19763297809501623,-0.13718423420249784,0.0680670086241717,,,-0.015854176387217582,-0.015854176387217582,-0.015854176387217582,0.02539927373250328,0.02539927373250328,0.02539927373250328,,,,0.005546383077282382,11.639552661587816,-4.336970000374494,11.663943878606972,-18.307811712145934,1.0,11.639552661587816,-4.336970000374494,11.663943878606972,-18.307811712145934,1.0
2015-11-30,12.039999961853027,12.039999961853027,1997100,0,-0.0008298944998793,,,1.6677478161985146,0.06312729313659227,-0.9391589791339655,0.060930988996943936,-0.5176547027561976,0.0032170548802886723,-1.7480959467973722,0.056959156231186414,-0.12447718953413286,0.06802112945518046,0.015248880089616107,0.001662462149799926,1.6677478161985146,0.06312729313659227,-0.9391589791339655,0.060930988996943936,-0.5176547027561976,0.0032170548802886723,-1.7480959467973722,0.056959156231186414,-0.12447718953413286,0.06802112945518046,-0.10554829453493099,0.04120560745841739,,,-0.013350129405994534,-0.013350129405994534,-0.013350129405994534,0.02353125565319323,0.02353125565319323,0.02353125565319323,,,,-0.004078410595405661,8.073669406649245,-3.453603705479863,19.418494098193467,-16.94241048197514,0.9610309844014525,8.073669406649245,-3.453603705479863,19.418494098193467,-16.94241048197514,0.9610309844014525
2015-12-01,11.90999984741211,11.90999984741211,1256100,0,-0.0107973517319605,,,0.8923187832492447,0.040421617972117185,-0.5563855185721193,0.0315017810627225,0.047294994009910094,0.00010599907692210309,-0.9193186934613773,0.025465057825142523,-0.14634268111109155,0.04554133596429932,-0.00546786225841527,8.490869801536238e-05,0.8923187832492447,0.040421617972117185,-0.5563855185721193,0.0315017810627225,0.047294994009910094,0.00010599907692210309,-0.9193186934613773,0.025465057825142523,-0.14634268111109155,0.04554133596429932,-0.33966442161925503,0.12747338907433048,13.718754964286909,,-0.012985446881132527,-0.012985446881132527,-0.012985446881132527,0.02150265752383939,0.02150265752383939,0.02150265752383939,,,,-0.012565824973899253,6.126756709097537,-3.8213905808775825,-0.28668113050315885,-0.5230506310780533,0.5077469855393404,6.126756709097537,-3.8213905808775825,-0.28668113050315885,-0.5230506310780533,0.5077469855393404
2015-12-02,11.93000030517578,11.93000030517578,1708100,0,0.0016792995818566,,,0.11787142315367241,0.0009223293010822697,-0.7674425346038737,0.06713778360080247,-0.5687008233739821,0.02596176320405119,-1.2333838182522956,0.0814875303509971,-0.03380003712760898,0.001878391233911647,0.11970098096290399,0.02491772364558642,0.11787142315367241,0.0009223293010822697,-0.7674425346038737,0.06713778360080247,-0.5687008233739821,0.02596176320405119,-1.2333838182522956,0.0814875303509971,-0.03380003712760898,0.001878391233911647,-0.3561881754489147,0.14500750621994452,16.154227619182457,,-0.011152353573258887,-0.011152353573258887,-0.011152353573258887,0.020571681727718893,0.020571681727718893,0.020571681727718893,,,,-0.012063364425940465,5.822220455293505,-1.4051315998474971,0.40055282892645677,-5.586821628962425,0.5193085449847052,5.822220455293505,-1.4051315998474971,0.40055282892645677,-5.586821628962425,0.5193085449847052
2015-12-03,11.920000076293944,11.920000076293944,1431400,0,-0.0008382421312678,,,-0.29273872548040786,0.013385110618214235,-0.6766940853769224,0.09402533042916217,-0.6507901042818267,0.054776756886090294,-0.9160569721813902,0.10068729402356547,0.12907560593753753,0.011601910010548555,0.24763685297436627,0.05487934388949944,-0.29273872548040786,0.013385110618214235,-0.6766940853769224,0.09402533042916217,-0.6507901042818267,0.054776756886090294,-0.9160569721813902,0.10068729402356547,0.12907560593753753,0.011601910010548555,-0.04904601975057793,0.0009252736081702961,15.892543683892455,,-0.010006341190815433,-0.010006341190815433,-0.010006341190815433,0.01954776016311502,0.01954776016311502,0.01954776016311502,,,,-0.011932769996132978,5.442150280692884,-1.1255531910096133,1.00786462752589,-6.436915463944038,0.5302321373780525,5.442150280692884,-1.1255531910096133,1.00786462752589,-6.436915463944038,0.5302321373780525
